"Ptime","Pload","Vtime","Vload"
182.154,0.48193,182.22,0.2231
182.232,0.24292,182.244,0.22397
182.262,0.24329,182.274,0.23002
182.292,0.24151,182.304,0.23
215.634,0.37085,215.706,-0.01888
270.726,0.33258,270.804,0.20573
280.278,0.35409,280.35,0.30516
288.54,0.32893,288.69,0.19544
293.592,0.22385,293.682,0.17391
296.232,0.20886,296.286,0.15537
300.666,0.20322,300.726,0.1367
302.526,0.15264,302.724,0.07115
307.272,0.09399,307.386,0.02753
329.1,0.10167,329.19,0.00056
329.202,0.00187,329.22,-0.02085
329.238,-0.00306,329.256,-0.01532
398.412,0.09355,398.484,0.00222
398.49,0.00342,398.514,-0.01689
487.128,0.0988,487.194,0.02063
