"Ptime","Pload","Vtime","Vload"
194.4,0.56001,194.508,0.50884
194.58,0.50951,194.658,0.39946
207.156,0.59025,207.24,0.44229
209.076,0.45504,209.142,0.11059
209.16,0.12076,209.19,0.09038
223.284,0.28267,223.374,0.11297
238.956,0.25023,239.034,0.1825
256.236,0.29659,256.314,0.06475
256.32,0.06508,256.338,0.0505
281.334,0.24805,281.496,0.1469
310.434,0.29325,310.542,0.26535
314.694,0.29834,314.796,0.11125
314.808,0.1226,314.82,0.11081
318.012,0.10609,318.132,-0.00897
318.15,0.0037,318.168,-0.00734
