"Ptime","Pload","Vtime","Vload"
171.3,0.32923,171.366,0.14379
243.738,0.45052,243.822,0.42169
254.22,0.46121,254.286,0.1183
254.292,0.12133,254.316,0.0963
304.86,0.52115,304.95,0.41848
310.968,0.48909,311.082,0.44416
311.154,0.44356,311.226,0.38127
311.328,0.38537,311.388,0.35166
311.562,0.35466,311.736,0.28089
311.916,0.28003,312.072,-0.0082
383.514,0.52656,383.604,0.19445
400.662,0.41912,400.752,0.3563
420.612,0.51276,420.696,0.46048
422.058,0.46014,422.154,0.37677
426.69,0.39612,426.762,0.36614
451.68,0.55607,451.758,0.52006
453.702,0.53107,453.78,0.35613
460.89,0.41558,460.944,0.34613
476.826,0.46543,476.88,0.36002
486.144,0.41324,486.24,0.0541
486.246,0.05505,486.264,0.03621
486.312,0.05998,486.336,0.03947
510.9,0.14969,510.984,0.02267
553.422,0.12067,553.476,-0.00282
553.488,0.00341,553.506,-0.0208
