"Ptime","Pload","Vtime","Vload"
143.892,0.1943,143.976,0.04151
152.85,0.09108,153,0.00529
191.982,0.22858,192.054,0.12
196.35,0.13235,196.44,0.02188
242.136,0.24798,242.196,0.10274
242.208,0.11159,242.244,0.08872
248.394,0.13011,248.472,0.04073
264.252,0.11294,264.324,0.03916
268.77,0.06306,268.842,0.00754
305.976,0.10659,306.072,0.02759
354.93,0.22703,355.002,0.06412
355.014,0.06868,355.026,0.05605
365.868,0.10586,365.952,0.00868
365.958,0.01006,365.976,-0.01274
393.516,0.04803,393.582,-0.00531
