"Ptime","Pload","Vtime","Vload"
219.246,0.42587,219.426,0.37406
236.25,0.46725,236.418,0.42246
267.942,0.62547,268.026,0.31683
268.038,0.33393,268.074,0.30937
275.142,0.38138,275.19,0.35185
342.612,0.94169,342.81,0.22573
400.398,0.58236,400.458,0.54717
400.8,0.53693,400.86,0.49092
428.31,0.74099,428.382,0.4573
428.394,0.46599,428.412,0.45469
437.598,0.57171,437.712,0.29751
437.724,0.30297,437.736,0.28682
468.036,0.63985,468.102,0.6092
476.25,0.64925,476.31,0.51473
476.316,0.51477,476.34,0.49823
476.844,0.51882,476.898,0.32708
490.5,0.55171,490.626,0.42914
493.254,0.46048,493.332,0.31645
