End date,"12/17/2016"
Specimen label,"15CG_17"
Maximum Load,"0.12803",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00020"
"0.00600","0.00000","-0.00031"
"0.01200","0.00000","-0.00048"
"0.01800","0.00006","-0.00057"
"0.02400","0.00018","-0.00053"
"0.03000","0.00030","-0.00056"
"0.03600","0.00042","-0.00046"
"0.04200","0.00060","-0.00040"
"0.04800","0.00078","-0.00049"
"0.05400","0.00102","-0.00063"
"0.06000","0.00126","-0.00065"
"0.06600","0.00155","-0.00065"
"0.07200","0.00179","-0.00059"
"0.07800","0.00215","-0.00059"
"0.08400","0.00251","-0.00055"
"0.09000","0.00287","-0.00042"
"0.09600","0.00323","-0.00038"
"0.10200","0.00365","-0.00037"
"0.10800","0.00407","-0.00039"
"0.11400","0.00448","-0.00048"
"0.12000","0.00496","-0.00041"
"0.12600","0.00544","-0.00030"
"0.13200","0.00598","-0.00028"
"0.13800","0.00652","-0.00019"
"0.14400","0.00711","-0.00014"
"0.15000","0.00765","-0.00012"
"0.15600","0.00831","-0.00007"
"0.16200","0.00891","-0.00008"
"0.16800","0.00951","-0.00002"
"0.17400","0.01016","0.00011"
"0.18000","0.01082","0.00014"
"0.18600","0.01142","0.00021"
"0.19200","0.01214","0.00029"
"0.19800","0.01279","0.00015"
"0.20400","0.01345","0.00002"
"0.21000","0.01417","0.00004"
"0.21600","0.01489","0.00009"
"0.22200","0.01555","0.00014"
"0.22800","0.01626","0.00015"
"0.23400","0.01692","0.00019"
"0.24000","0.01758","0.00022"
"0.24600","0.01830","0.00016"
"0.25200","0.01895","0.00018"
"0.25800","0.01961","0.00026"
"0.26400","0.02027","0.00026"
"0.27000","0.02093","0.00033"
"0.27600","0.02158","0.00037"
"0.28200","0.02218","0.00034"
"0.28800","0.02284","0.00044"
"0.29400","0.02344","0.00052"
"0.30000","0.02404","0.00058"
"0.30600","0.02469","0.00070"
"0.31200","0.02529","0.00073"
"0.31800","0.02589","0.00077"
"0.32400","0.02649","0.00084"
"0.33000","0.02708","0.00086"
"0.33600","0.02768","0.00097"
"0.34200","0.02822","0.00101"
"0.34800","0.02882","0.00092"
"0.35400","0.02936","0.00088"
"0.36000","0.02989","0.00081"
"0.36600","0.03043","0.00081"
"0.37200","0.03097","0.00088"
"0.37800","0.03157","0.00089"
"0.38400","0.03205","0.00093"
"0.39000","0.03259","0.00104"
"0.39600","0.03312","0.00107"
"0.40200","0.03366","0.00110"
"0.40800","0.03414","0.00119"
"0.41400","0.03468","0.00119"
"0.42000","0.03522","0.00122"
"0.42600","0.03569","0.00128"
"0.43200","0.03623","0.00134"
"0.43800","0.03671","0.00144"
"0.44400","0.03725","0.00146"
"0.45000","0.03773","0.00152"
"0.45600","0.03827","0.00159"
"0.46200","0.03874","0.00150"
"0.46800","0.03928","0.00149"
"0.47400","0.03976","0.00158"
"0.48000","0.04024","0.00161"
"0.48600","0.04078","0.00155"
"0.49200","0.04125","0.00145"
"0.49800","0.04173","0.00138"
"0.50400","0.04221","0.00136"
"0.51000","0.04269","0.00137"
"0.51600","0.04323","0.00140"
"0.52200","0.04371","0.00148"
"0.52800","0.04418","0.00159"
"0.53400","0.04466","0.00173"
"0.54000","0.04520","0.00188"
"0.54600","0.04568","0.00183"
"0.55200","0.04616","0.00171"
"0.55800","0.04670","0.00159"
"0.56400","0.04717","0.00144"
"0.57000","0.04765","0.00136"
"0.57600","0.04819","0.00136"
"0.58200","0.04867","0.00145"
"0.58800","0.04921","0.00153"
"0.59400","0.04969","0.00156"
"0.60000","0.05022","0.00160"
"0.60600","0.05070","0.00167"
"0.61200","0.05124","0.00163"
"0.61800","0.05172","0.00164"
"0.62400","0.05220","0.00171"
"0.63000","0.05273","0.00166"
"0.63600","0.05321","0.00164"
"0.64200","0.05369","0.00171"
"0.64800","0.05417","0.00169"
"0.65400","0.05465","0.00175"
"0.66000","0.05513","0.00185"
"0.66600","0.05566","0.00196"
"0.67200","0.05614","0.00201"
"0.67800","0.05662","0.00203"
"0.68400","0.05710","0.00204"
"0.69000","0.05764","0.00203"
"0.69600","0.05812","0.00191"
"0.70200","0.05859","0.00186"
"0.70800","0.05913","0.00197"
"0.71400","0.05961","0.00200"
"0.72000","0.06015","0.00199"
"0.72600","0.06063","0.00199"
"0.73200","0.06116","0.00208"
"0.73800","0.06164","0.00221"
"0.74400","0.06218","0.00231"
"0.75000","0.06272","0.00231"
"0.75600","0.06320","0.00227"
"0.76200","0.06368","0.00222"
"0.76800","0.06415","0.00215"
"0.77400","0.06469","0.00214"
"0.78000","0.06517","0.00212"
"0.78600","0.06565","0.00208"
"0.79200","0.06613","0.00209"
"0.79800","0.06667","0.00209"
"0.80400","0.06714","0.00207"
"0.81000","0.06768","0.00211"
"0.81600","0.06816","0.00211"
"0.82200","0.06870","0.00215"
"0.82800","0.06918","0.00216"
"0.83400","0.06971","0.00212"
"0.84000","0.07019","0.00214"
"0.84600","0.07067","0.00209"
"0.85200","0.07121","0.00198"
"0.85800","0.07169","0.00197"
"0.86400","0.07223","0.00199"
"0.87000","0.07270","0.00203"
"0.87600","0.07318","0.00210"
"0.88200","0.07372","0.00221"
"0.88800","0.07426","0.00232"
"0.89400","0.07474","0.00235"
"0.90000","0.07522","0.00234"
"0.90600","0.07569","0.00236"
"0.91200","0.07623","0.00238"
"0.91800","0.07671","0.00240"
"0.92400","0.07719","0.00245"
"0.93000","0.07767","0.00243"
"0.93600","0.07814","0.00238"
"0.94200","0.07868","0.00241"
"0.94800","0.07916","0.00239"
"0.95400","0.07964","0.00246"
"0.96000","0.08018","0.00255"
"0.96600","0.08066","0.00254"
