End date,"12/17/2016"
Specimen label,"6CT_42"
Maximum Load,"0.30066",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09166","0.00311"
"1.10400","0.09214","0.00317"
"1.11000","0.09267","0.00330"
"1.11600","0.09315","0.00341"
"1.12200","0.09363","0.00340"
"1.12800","0.09417","0.00332"
"1.13400","0.09465","0.00324"
"1.14000","0.09513","0.00323"
"1.14600","0.09560","0.00326"
"1.15200","0.09614","0.00332"
"1.15800","0.09662","0.00332"
"1.16400","0.09716","0.00328"
"1.17000","0.09764","0.00318"
"1.17600","0.09811","0.00309"
"1.18200","0.09865","0.00309"
"1.18800","0.09913","0.00317"
"1.19400","0.09961","0.00325"
"1.20000","0.10015","0.00328"
"1.20600","0.10063","0.00333"
"1.21200","0.10116","0.00336"
"1.21800","0.10164","0.00332"
"1.22400","0.10218","0.00337"
"1.23000","0.10266","0.00348"
"1.23600","0.10320","0.00354"
"1.24200","0.10368","0.00355"
"1.24800","0.10421","0.00357"
"1.25400","0.10469","0.00358"
"1.26000","0.10523","0.00360"
"1.26600","0.10571","0.00359"
"1.27200","0.10619","0.00360"
"1.27800","0.10672","0.00364"
"1.28400","0.10720","0.00363"
"1.29000","0.10768","0.00364"
"1.29600","0.10822","0.00367"
"1.30200","0.10870","0.00364"
"1.30800","0.10918","0.00361"
"1.31400","0.10971","0.00357"
"1.32000","0.11019","0.00351"
"1.32600","0.11067","0.00348"
"1.33200","0.11115","0.00344"
"1.33800","0.11169","0.00349"
"1.34400","0.11217","0.00351"
"1.35000","0.11270","0.00353"
"1.35600","0.11318","0.00358"
"1.36200","0.11366","0.00361"
"1.36800","0.11420","0.00361"
"1.37400","0.11474","0.00362"
"1.38000","0.11521","0.00363"
"1.38600","0.11575","0.00358"
"1.39200","0.11623","0.00353"
"1.39800","0.11671","0.00352"
"1.40400","0.11725","0.00355"
"1.41000","0.11773","0.00356"
"1.41600","0.11820","0.00355"
"1.42200","0.11868","0.00356"
"1.42800","0.11922","0.00356"
"1.43400","0.11970","0.00357"
"1.44000","0.12018","0.00358"
"1.44600","0.12072","0.00357"
"1.45200","0.12119","0.00355"
"1.45800","0.12167","0.00352"
"1.46400","0.12221","0.00349"
"1.47000","0.12269","0.00346"
"1.47600","0.12317","0.00349"
"1.48200","0.12370","0.00353"
"1.48800","0.12418","0.00360"
"1.49400","0.12466","0.00360"
"1.50000","0.12514","0.00360"
"1.50600","0.12568","0.00360"
"1.51200","0.12616","0.00364"
"1.51800","0.12669","0.00363"
"1.52400","0.12717","0.00364"
"1.53000","0.12771","0.00363"
"1.53600","0.12819","0.00355"
"1.54200","0.12867","0.00350"
"1.54800","0.12921","0.00350"
"1.55400","0.12968","0.00352"
"1.56000","0.13016","0.00355"
"1.56600","0.13070","0.00356"
"1.57200","0.13118","0.00359"
"1.57800","0.13166","0.00354"
"1.58400","0.13213","0.00355"
"1.59000","0.13261","0.00365"
