End date,"12/17/2016"
Specimen label,"6CT_43"
Maximum Load,"0.38913",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00001"
"0.00600","0.00000","0.00005"
"0.01200","0.00000","0.00010"
"0.01800","0.00012","0.00011"
"0.02400","0.00018","0.00010"
"0.03000","0.00030","0.00015"
"0.03600","0.00042","0.00015"
"0.04200","0.00060","0.00012"
"0.04800","0.00078","0.00004"
"0.05400","0.00102","-0.00005"
"0.06000","0.00126","-0.00015"
"0.06600","0.00155","-0.00018"
"0.07200","0.00185","-0.00015"
"0.07800","0.00215","-0.00018"
"0.08400","0.00251","-0.00022"
"0.09000","0.00287","-0.00023"
"0.09600","0.00323","-0.00027"
"0.10200","0.00365","-0.00025"
"0.10800","0.00407","-0.00025"
"0.11400","0.00454","-0.00031"
"0.12000","0.00502","-0.00031"
"0.12600","0.00550","-0.00028"
"0.13200","0.00604","-0.00021"
"0.13800","0.00658","-0.00010"
"0.14400","0.00717","-0.00002"
"0.15000","0.00777","0.00004"
"0.15600","0.00837","0.00009"
"0.16200","0.00897","0.00013"
"0.16800","0.00963","0.00024"
"0.17400","0.01028","0.00028"
"0.18000","0.01094","0.00027"
"0.18600","0.01160","0.00023"
"0.19200","0.01226","0.00019"
"0.19800","0.01297","0.00020"
"0.20400","0.01363","0.00026"
"0.21000","0.01429","0.00033"
"0.21600","0.01501","0.00036"
"0.22200","0.01566","0.00040"
"0.22800","0.01632","0.00049"
"0.23400","0.01704","0.00054"
"0.24000","0.01770","0.00054"
"0.24600","0.01842","0.00062"
"0.25200","0.01907","0.00069"
"0.25800","0.01973","0.00068"
"0.26400","0.02039","0.00066"
"0.27000","0.02105","0.00068"
"0.27600","0.02164","0.00077"
"0.28200","0.02230","0.00084"
"0.28800","0.02290","0.00097"
"0.29400","0.02356","0.00104"
"0.30000","0.02415","0.00102"
"0.30600","0.02475","0.00099"
"0.31200","0.02535","0.00107"
"0.31800","0.02595","0.00113"
"0.32400","0.02655","0.00118"
"0.33000","0.02714","0.00121"
"0.33600","0.02768","0.00116"
"0.34200","0.02828","0.00116"
"0.34800","0.02882","0.00120"
"0.35400","0.02936","0.00119"
"0.36000","0.02995","0.00123"
"0.36600","0.03049","0.00126"
"0.37200","0.03103","0.00127"
"0.37800","0.03157","0.00128"
"0.38400","0.03205","0.00130"
"0.39000","0.03259","0.00130"
"0.39600","0.03312","0.00130"
"0.40200","0.03366","0.00130"
"0.40800","0.03420","0.00126"
"0.41400","0.03468","0.00125"
"0.42000","0.03522","0.00133"
"0.42600","0.03569","0.00145"
"0.43200","0.03623","0.00147"
"0.43800","0.03677","0.00142"
"0.44400","0.03725","0.00146"
"0.45000","0.03779","0.00147"
"0.45600","0.03827","0.00143"
"0.46200","0.03874","0.00141"
"0.46800","0.03928","0.00141"
"0.47400","0.03976","0.00143"
"0.48000","0.04030","0.00141"
"0.48600","0.04078","0.00142"
"0.49200","0.04125","0.00141"
"0.49800","0.04179","0.00143"
"0.50400","0.04227","0.00151"
"0.51000","0.04281","0.00159"
"0.51600","0.04329","0.00162"
"0.52200","0.04377","0.00164"
"0.52800","0.04424","0.00161"
"0.53400","0.04478","0.00163"
"0.54000","0.04526","0.00162"
"0.54600","0.04574","0.00158"
"0.55200","0.04622","0.00158"
"0.55800","0.04676","0.00166"
"0.56400","0.04723","0.00170"
"0.57000","0.04771","0.00167"
"0.57600","0.04825","0.00165"
"0.58200","0.04873","0.00165"
"0.58800","0.04921","0.00167"
"0.59400","0.04969","0.00175"
"0.60000","0.05022","0.00184"
"0.60600","0.05070","0.00185"
"0.61200","0.05124","0.00185"
"0.61800","0.05172","0.00190"
"0.62400","0.05220","0.00190"
"0.63000","0.05273","0.00186"
"0.63600","0.05321","0.00190"
"0.64200","0.05375","0.00194"
"0.64800","0.05423","0.00193"
"0.65400","0.05471","0.00193"
"0.66000","0.05525","0.00193"
"0.66600","0.05572","0.00197"
"0.67200","0.05626","0.00196"
"0.67800","0.05674","0.00190"
"0.68400","0.05728","0.00185"
"0.69000","0.05776","0.00179"
"0.69600","0.05824","0.00175"
"0.70200","0.05871","0.00174"
"0.70800","0.05925","0.00177"
"0.71400","0.05973","0.00183"
"0.72000","0.06021","0.00187"
"0.72600","0.06069","0.00194"
"0.73200","0.06122","0.00200"
"0.73800","0.06170","0.00204"
"0.74400","0.06218","0.00202"
"0.75000","0.06272","0.00203"
"0.75600","0.06320","0.00207"
"0.76200","0.06368","0.00208"
"0.76800","0.06421","0.00207"
"0.77400","0.06469","0.00204"
"0.78000","0.06523","0.00203"
"0.78600","0.06571","0.00200"
"0.79200","0.06625","0.00201"
"0.79800","0.06673","0.00210"
"0.80400","0.06720","0.00218"
"0.81000","0.06774","0.00227"
"0.81600","0.06822","0.00234"
"0.82200","0.06870","0.00234"
"0.82800","0.06924","0.00231"
"0.83400","0.06971","0.00230"
"0.84000","0.07019","0.00231"
"0.84600","0.07067","0.00236"
"0.85200","0.07121","0.00238"
"0.85800","0.07169","0.00241"
"0.86400","0.07217","0.00245"
"0.87000","0.07264","0.00252"
"0.87600","0.07318","0.00256"
"0.88200","0.07366","0.00254"
"0.88800","0.07414","0.00251"
"0.89400","0.07468","0.00253"
"0.90000","0.07516","0.00246"
"0.90600","0.07569","0.00235"
"0.91200","0.07617","0.00230"
"0.91800","0.07665","0.00230"
"0.92400","0.07719","0.00228"
"0.93000","0.07767","0.00230"
"0.93600","0.07820","0.00236"
"0.94200","0.07868","0.00244"
"0.94800","0.07916","0.00249"
"0.95400","0.07964","0.00253"
"0.96000","0.08018","0.00254"
"0.96600","0.08066","0.00246"
"0.97200","0.08113","0.00238"
"0.97800","0.08161","0.00236"
"0.98400","0.08215","0.00236"
"0.99000","0.08263","0.00237"
"0.99600","0.08311","0.00242"
"1.00200","0.08365","0.00249"
