End date,"12/17/2016"
Specimen label,"15AG_22"
Maximum Load,"0.00258",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00036"
"0.00600","0.00000","-0.00045"
"0.01200","0.00006","-0.00041"
"0.01800","0.00012","-0.00041"
"0.02400","0.00018","-0.00039"
"0.03000","0.00030","-0.00034"
"0.03600","0.00042","-0.00033"
"0.04200","0.00060","-0.00033"
"0.04800","0.00084","-0.00031"
"0.05400","0.00108","-0.00024"
"0.06000","0.00138","-0.00012"
"0.06600","0.00161","-0.00002"
"0.07200","0.00197","0.00005"
"0.07800","0.00233","0.00009"
"0.08400","0.00275","0.00020"
"0.09000","0.00311","0.00031"
"0.09600","0.00359","0.00038"
"0.10200","0.00401","0.00034"
"0.10800","0.00454","0.00026"
"0.11400","0.00502","0.00020"
"0.12000","0.00556","0.00008"
"0.12600","0.00610","0.00000"
"0.13200","0.00670","-0.00006"
"0.13800","0.00729","-0.00003"
"0.14400","0.00795","-0.00003"
"0.15000","0.00861","-0.00004"
"0.15600","0.00927","-0.00010"
"0.16200","0.00987","-0.00018"
"0.16800","0.01052","-0.00023"
"0.17400","0.01118","-0.00020"
"0.18000","0.01184","-0.00015"
"0.18600","0.01250","-0.00016"
"0.19200","0.01315","-0.00019"
"0.19800","0.01381","-0.00020"
"0.20400","0.01447","-0.00019"
"0.21000","0.01513","-0.00015"
"0.21600","0.01578","-0.00015"
"0.22200","0.01644","-0.00014"
"0.22800","0.01710","-0.00013"
"0.23400","0.01770","-0.00008"
"0.24000","0.01836","-0.00006"
"0.24600","0.01901","-0.00004"
"0.25200","0.01967","-0.00009"
"0.25800","0.02033","-0.00016"
"0.26400","0.02099","-0.00013"
"0.27000","0.02158","-0.00013"
"0.27600","0.02218","-0.00015"
"0.28200","0.02278","-0.00018"
"0.28800","0.02338","-0.00017"
"0.29400","0.02392","-0.00014"
"0.30000","0.02451","-0.00009"
"0.30600","0.02505","0.00001"
"0.31200","0.02565","0.00006"
"0.31800","0.02619","0.00002"
"0.32400","0.02673","0.00002"
"0.33000","0.02732","-0.00001"
"0.33600","0.02786","-0.00005"
"0.34200","0.02840","-0.00006"
"0.34800","0.02900","-0.00005"
"0.35400","0.02954","-0.00004"
"0.36000","0.03007","-0.00006"
"0.36600","0.03061","-0.00007"
"0.37200","0.03115","0.00000"
"0.37800","0.03169","0.00009"
"0.38400","0.03223","0.00008"
"0.39000","0.03270","0.00005"
"0.39600","0.03324","0.00004"
"0.40200","0.03378","-0.00002"
"0.40800","0.03426","-0.00008"
"0.41400","0.03480","-0.00010"
"0.42000","0.03528","-0.00010"
"0.42600","0.03575","-0.00008"
"0.43200","0.03629","-0.00003"
"0.43800","0.03677","0.00007"
"0.44400","0.03725","0.00016"
"0.45000","0.03779","0.00019"
"0.45600","0.03827","0.00020"
"0.46200","0.03874","0.00024"
"0.46800","0.03928","0.00027"
"0.47400","0.03976","0.00027"
"0.48000","0.04030","0.00025"
"0.48600","0.04078","0.00016"
"0.49200","0.04125","0.00010"
"0.49800","0.04179","0.00002"
"0.50400","0.04227","-0.00002"
"0.51000","0.04281","-0.00002"
"0.51600","0.04329","0.00000"
"0.52200","0.04383","-0.00005"
"0.52800","0.04430","-0.00012"
"0.53400","0.04478","-0.00015"
"0.54000","0.04532","-0.00008"
"0.54600","0.04580","-0.00005"
"0.55200","0.04628","-0.00005"
"0.55800","0.04676","-0.00008"
"0.56400","0.04723","-0.00011"
"0.57000","0.04777","-0.00013"
"0.57600","0.04825","-0.00013"
"0.58200","0.04873","-0.00008"
"0.58800","0.04921","-0.00004"
"0.59400","0.04974","-0.00003"
"0.60000","0.05022","-0.00001"
"0.60600","0.05070","0.00002"
"0.61200","0.05124","0.00005"
"0.61800","0.05172","0.00004"
"0.62400","0.05220","0.00003"
"0.63000","0.05267","0.00007"
"0.63600","0.05321","0.00006"
"0.64200","0.05369","0.00005"
"0.64800","0.05423","0.00005"
"0.65400","0.05471","0.00002"
"0.66000","0.05519","-0.00001"
"0.66600","0.05572","-0.00003"
"0.67200","0.05620","-0.00004"
"0.67800","0.05668","-0.00001"
"0.68400","0.05722","-0.00002"
"0.69000","0.05770","-0.00003"
"0.69600","0.05818","-0.00002"
"0.70200","0.05871","0.00001"
"0.70800","0.05919","0.00001"
"0.71400","0.05967","0.00002"
"0.72000","0.06021","-0.00001"
"0.72600","0.06069","-0.00004"
"0.73200","0.06116","0.00001"
"0.73800","0.06170","0.00010"
"0.74400","0.06218","0.00022"
"0.75000","0.06266","0.00030"
"0.75600","0.06320","0.00034"
"0.76200","0.06368","0.00032"
"0.76800","0.06415","0.00019"
"0.77400","0.06469","0.00009"
"0.78000","0.06517","0.00007"
"0.78600","0.06565","0.00003"
"0.79200","0.06619","0.00006"
"0.79800","0.06667","0.00009"
"0.80400","0.06720","0.00011"
"0.81000","0.06768","0.00009"
"0.81600","0.06822","0.00008"
"0.82200","0.06870","0.00011"
"0.82800","0.06924","0.00013"
"0.83400","0.06971","0.00015"
"0.84000","0.07019","0.00012"
"0.84600","0.07067","0.00012"
"0.85200","0.07121","0.00012"
"0.85800","0.07169","0.00013"
"0.86400","0.07217","0.00015"
"0.87000","0.07270","0.00015"
"0.87600","0.07318","0.00015"
"0.88200","0.07366","0.00016"
"0.88800","0.07420","0.00025"
"0.89400","0.07468","0.00031"
"0.90000","0.07522","0.00027"
"0.90600","0.07569","0.00021"
"0.91200","0.07617","0.00016"
"0.91800","0.07671","0.00001"
"0.92400","0.07719","-0.00013"
"0.93000","0.07767","-0.00020"
"0.93600","0.07820","-0.00021"
"0.94200","0.07868","-0.00014"
"0.94800","0.07922","-0.00002"
"0.95400","0.07970","0.00012"
"0.96000","0.08024","0.00020"
"0.96600","0.08078","0.00019"
"0.97200","0.08125","0.00016"
"0.97800","0.08173","0.00015"
"0.98400","0.08227","0.00018"
"0.99000","0.08275","0.00028"
"0.99600","0.08323","0.00033"
"1.00200","0.08371","0.00036"
"1.00800","0.08424","0.00039"
"1.01400","0.08472","0.00044"
"1.02000","0.08520","0.00043"
"1.02600","0.08574","0.00039"
"1.03200","0.08622","0.00030"
"1.03800","0.08669","0.00024"
"1.04400","0.08723","0.00018"
"1.05000","0.08771","0.00011"
"1.05600","0.08825","0.00001"
"1.06200","0.08873","-0.00003"
"1.06800","0.08921","-0.00003"
"1.07400","0.08974","-0.00005"
"1.08000","0.09022","-0.00004"
"1.08600","0.09076","-0.00003"
"1.09200","0.09124","-0.00001"
"1.09800","0.09172","0.00001"
"1.10400","0.09226","0.00003"
"1.11000","0.09273","0.00003"
"1.11600","0.09327","-0.00002"
"1.12200","0.09375","-0.00003"
"1.12800","0.09423","-0.00001"
"1.13400","0.09471","0.00000"
"1.14000","0.09518","0.00002"
"1.14600","0.09572","0.00005"
"1.15200","0.09620","0.00009"
"1.15800","0.09668","0.00011"
"1.16400","0.09716","0.00014"
"1.17000","0.09770","0.00013"
"1.17600","0.09817","0.00012"
"1.18200","0.09865","0.00003"
"1.18800","0.09919","0.00001"
"1.19400","0.09967","0.00003"
"1.20000","0.10015","0.00004"
"1.20600","0.10069","0.00007"
"1.21200","0.10116","0.00009"
"1.21800","0.10164","0.00013"
"1.22400","0.10218","0.00014"
"1.23000","0.10266","0.00011"
"1.23600","0.10320","0.00006"
"1.24200","0.10368","0.00006"
"1.24800","0.10421","0.00006"
"1.25400","0.10469","0.00001"
"1.26000","0.10523","0.00000"
"1.26600","0.10571","0.00000"
"1.27200","0.10619","0.00003"
"1.27800","0.10666","0.00005"
"1.28400","0.10720","0.00010"
"1.29000","0.10768","0.00020"
"1.29600","0.10816","0.00024"
"1.30200","0.10870","0.00020"
"1.30800","0.10918","0.00017"
"1.31400","0.10965","0.00011"
"1.32000","0.11019","0.00005"
"1.32600","0.11067","-0.00001"
"1.33200","0.11121","-0.00007"
"1.33800","0.11169","-0.00009"
"1.34400","0.11217","-0.00002"
"1.35000","0.11270","0.00004"
"1.35600","0.11318","0.00004"
"1.36200","0.11372","0.00004"
"1.36800","0.11420","-0.00002"
"1.37400","0.11474","-0.00001"
"1.38000","0.11521","0.00002"
"1.38600","0.11575","0.00009"
"1.39200","0.11623","0.00018"
"1.39800","0.11677","0.00029"
"1.40400","0.11725","0.00032"
"1.41000","0.11779","0.00034"
"1.41600","0.11826","0.00041"
"1.42200","0.11874","0.00048"
"1.42800","0.11922","0.00053"
"1.43400","0.11970","0.00052"
"1.44000","0.12024","0.00042"
"1.44600","0.12072","0.00028"
"1.45200","0.12125","0.00017"
"1.45800","0.12173","0.00012"
"1.46400","0.12221","0.00013"
"1.47000","0.12275","0.00012"
"1.47600","0.12323","0.00013"
"1.48200","0.12370","0.00010"
"1.48800","0.12424","0.00016"
"1.49400","0.12472","0.00024"
"1.50000","0.12520","0.00027"
"1.50600","0.12574","0.00032"
"1.51200","0.12622","0.00036"
"1.51800","0.12669","0.00029"
"1.52400","0.12723","0.00023"
"1.53000","0.12771","0.00016"
"1.53600","0.12825","0.00007"
"1.54200","0.12873","-0.00005"
"1.54800","0.12926","-0.00017"
"1.55400","0.12974","-0.00021"
"1.56000","0.13022","-0.00024"
"1.56600","0.13070","-0.00027"
"1.57200","0.13118","-0.00023"
"1.57800","0.13172","-0.00021"
"1.58400","0.13219","-0.00017"
"1.59000","0.13273","-0.00013"
"1.59600","0.13321","-0.00008"
"1.60200","0.13369","0.00001"
"1.60800","0.13423","0.00012"
"1.61400","0.13471","0.00020"
"1.62000","0.13524","0.00026"
"1.62600","0.13572","0.00028"
"1.63200","0.13620","0.00026"
"1.63800","0.13674","0.00026"
"1.64400","0.13722","0.00029"
"1.65000","0.13770","0.00029"
"1.65600","0.13823","0.00028"
"1.66200","0.13871","0.00028"
"1.66800","0.13919","0.00024"
"1.67400","0.13973","0.00019"
"1.68000","0.14021","0.00017"
"1.68600","0.14074","0.00018"
"1.69200","0.14122","0.00018"
"1.69800","0.14176","0.00016"
"1.70400","0.14224","0.00017"
"1.71000","0.14272","0.00019"
"1.71600","0.14320","0.00015"
"1.72200","0.14367","0.00017"
"1.72800","0.14415","0.00024"
"1.73400","0.14469","0.00017"
"1.74000","0.14517","0.00010"
"1.74600","0.14565","0.00005"
"1.75200","0.14619","0.00004"
"1.75800","0.14666","0.00003"
"1.76400","0.14714","-0.00005"
"1.77000","0.14768","-0.00011"
"1.77600","0.14816","-0.00010"
"1.78200","0.14864","-0.00004"
"1.78800","0.14917","0.00004"
"1.79400","0.14965","0.00008"
"1.80000","0.15019","0.00009"
"1.80600","0.15067","0.00009"
"1.81200","0.15121","0.00007"
"1.81800","0.15169","0.00007"
"1.82400","0.15222","0.00012"
"1.83000","0.15270","0.00015"
"1.83600","0.15318","0.00009"
"1.84200","0.15372","0.00002"
"1.84800","0.15420","0.00002"
"1.85400","0.15468","0.00002"
"1.86000","0.15515","0.00003"
"1.86600","0.15569","0.00001"
"1.87200","0.15617","0.00006"
"1.87800","0.15665","0.00016"
"1.88400","0.15713","0.00021"
