End date,"12/17/2016"
Specimen label,"15CG_Unk"
Maximum Load,"0.01489",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00262"
"1.10400","0.09220","0.00266"
"1.11000","0.09273","0.00266"
"1.11600","0.09321","0.00267"
"1.12200","0.09375","0.00265"
"1.12800","0.09423","0.00263"
"1.13400","0.09471","0.00265"
"1.14000","0.09518","0.00270"
"1.14600","0.09566","0.00282"
"1.15200","0.09620","0.00287"
"1.15800","0.09668","0.00279"
"1.16400","0.09716","0.00279"
"1.17000","0.09770","0.00278"
"1.17600","0.09817","0.00270"
"1.18200","0.09865","0.00271"
"1.18800","0.09919","0.00280"
"1.19400","0.09967","0.00278"
"1.20000","0.10015","0.00262"
"1.20600","0.10069","0.00240"
"1.21200","0.10116","0.00231"
"1.21800","0.10170","0.00237"
"1.22400","0.10218","0.00243"
"1.23000","0.10272","0.00260"
"1.23600","0.10320","0.00276"
"1.24200","0.10373","0.00277"
"1.24800","0.10427","0.00276"
"1.25400","0.10475","0.00285"
"1.26000","0.10529","0.00298"
"1.26600","0.10577","0.00303"
"1.27200","0.10631","0.00306"
"1.27800","0.10678","0.00309"
"1.28400","0.10726","0.00310"
"1.29000","0.10774","0.00307"
"1.29600","0.10822","0.00306"
"1.30200","0.10876","0.00300"
"1.30800","0.10924","0.00295"
"1.31400","0.10971","0.00290"
"1.32000","0.11019","0.00284"
"1.32600","0.11073","0.00276"
"1.33200","0.11121","0.00272"
"1.33800","0.11175","0.00275"
"1.34400","0.11222","0.00282"
"1.35000","0.11270","0.00292"
"1.35600","0.11324","0.00295"
"1.36200","0.11372","0.00298"
"1.36800","0.11426","0.00304"
"1.37400","0.11474","0.00308"
"1.38000","0.11527","0.00306"
"1.38600","0.11575","0.00300"
"1.39200","0.11629","0.00295"
"1.39800","0.11677","0.00293"
"1.40400","0.11731","0.00290"
"1.41000","0.11779","0.00283"
"1.41600","0.11832","0.00280"
"1.42200","0.11880","0.00287"
"1.42800","0.11928","0.00295"
"1.43400","0.11976","0.00300"
"1.44000","0.12024","0.00299"
"1.44600","0.12077","0.00294"
"1.45200","0.12125","0.00293"
"1.45800","0.12173","0.00294"
"1.46400","0.12227","0.00303"
"1.47000","0.12275","0.00314"
"1.47600","0.12329","0.00322"
"1.48200","0.12376","0.00321"
"1.48800","0.12424","0.00317"
"1.49400","0.12478","0.00314"
"1.50000","0.12526","0.00314"
"1.50600","0.12574","0.00314"
"1.51200","0.12628","0.00307"
"1.51800","0.12675","0.00302"
"1.52400","0.12723","0.00301"
"1.53000","0.12777","0.00307"
"1.53600","0.12825","0.00314"
"1.54200","0.12879","0.00317"
"1.54800","0.12926","0.00319"
"1.55400","0.12974","0.00315"
"1.56000","0.13022","0.00304"
"1.56600","0.13076","0.00301"
"1.57200","0.13124","0.00305"
"1.57800","0.13172","0.00316"
"1.58400","0.13219","0.00324"
"1.59000","0.13273","0.00330"
"1.59600","0.13321","0.00340"
"1.60200","0.13369","0.00341"
"1.60800","0.13423","0.00340"
"1.61400","0.13471","0.00352"
"1.62000","0.13518","0.00367"
"1.62600","0.13572","0.00366"
"1.63200","0.13620","0.00360"
"1.63800","0.13674","0.00352"
"1.64400","0.13722","0.00343"
"1.65000","0.13770","0.00333"
"1.65600","0.13823","0.00334"
"1.66200","0.13871","0.00344"
"1.66800","0.13919","0.00351"
"1.67400","0.13973","0.00353"
"1.68000","0.14021","0.00348"
"1.68600","0.14074","0.00353"
"1.69200","0.14122","0.00349"
"1.69800","0.14170","0.00344"
"1.70400","0.14224","0.00340"
"1.71000","0.14272","0.00338"
"1.71600","0.14320","0.00332"
"1.72200","0.14367","0.00329"
"1.72800","0.14421","0.00329"
"1.73400","0.14469","0.00333"
"1.74000","0.14523","0.00332"
"1.74600","0.14571","0.00338"
"1.75200","0.14625","0.00342"
"1.75800","0.14672","0.00337"
"1.76400","0.14720","0.00336"
"1.77000","0.14774","0.00330"
"1.77600","0.14822","0.00319"
"1.78200","0.14870","0.00312"
"1.78800","0.14923","0.00314"
"1.79400","0.14971","0.00322"
"1.80000","0.15025","0.00328"
"1.80600","0.15073","0.00330"
"1.81200","0.15121","0.00333"
"1.81800","0.15175","0.00336"
"1.82400","0.15222","0.00341"
"1.83000","0.15270","0.00345"
"1.83600","0.15324","0.00350"
"1.84200","0.15372","0.00348"
"1.84800","0.15420","0.00342"
"1.85400","0.15474","0.00340"
"1.86000","0.15521","0.00343"
"1.86600","0.15575","0.00342"
"1.87200","0.15623","0.00342"
"1.87800","0.15677","0.00348"
"1.88400","0.15725","0.00357"
"1.89000","0.15778","0.00357"
"1.89600","0.15826","0.00357"
"1.90200","0.15880","0.00364"
"1.90800","0.15928","0.00365"
"1.91400","0.15976","0.00358"
"1.92000","0.16030","0.00358"
"1.92600","0.16077","0.00352"
"1.93200","0.16125","0.00348"
"1.93800","0.16179","0.00355"
"1.94400","0.16227","0.00364"
"1.95000","0.16275","0.00369"
"1.95600","0.16323","0.00369"
"1.96200","0.16376","0.00366"
"1.96800","0.16424","0.00360"
"1.97400","0.16478","0.00354"
"1.98000","0.16526","0.00348"
"1.98600","0.16574","0.00348"
"1.99200","0.16627","0.00354"
"1.99800","0.16675","0.00363"
"2.00400","0.16723","0.00373"
"2.01000","0.16777","0.00375"
"2.01600","0.16825","0.00371"
"2.02200","0.16879","0.00365"
"2.02800","0.16926","0.00364"
"2.03400","0.16980","0.00368"
"2.04000","0.17028","0.00370"
"2.04600","0.17076","0.00370"
"2.05200","0.17130","0.00372"
"2.05800","0.17178","0.00378"
"2.06400","0.17225","0.00377"
"2.07000","0.17279","0.00379"
"2.07600","0.17327","0.00376"
"2.08200","0.17375","0.00373"
"2.08800","0.17423","0.00370"
"2.09400","0.17476","0.00366"
"2.10000","0.17524","0.00360"
"2.10600","0.17572","0.00364"
"2.11200","0.17626","0.00368"
"2.11800","0.17674","0.00368"
"2.12400","0.17722","0.00361"
"2.13000","0.17769","0.00357"
"2.13600","0.17823","0.00355"
"2.14200","0.17871","0.00354"
"2.14800","0.17919","0.00353"
"2.15400","0.17973","0.00356"
"2.16000","0.18021","0.00362"
"2.16600","0.18068","0.00370"
"2.17200","0.18122","0.00372"
"2.17800","0.18170","0.00373"
"2.18400","0.18224","0.00377"
"2.19000","0.18272","0.00381"
"2.19600","0.18325","0.00377"
"2.20200","0.18373","0.00372"
"2.20800","0.18421","0.00373"
"2.21400","0.18475","0.00383"
"2.22000","0.18523","0.00396"
"2.22600","0.18571","0.00404"
"2.23200","0.18618","0.00408"
"2.23800","0.18672","0.00408"
"2.24400","0.18720","0.00407"
"2.25000","0.18768","0.00407"
"2.25600","0.18822","0.00407"
"2.26200","0.18870","0.00409"
"2.26800","0.18917","0.00408"
"2.27400","0.18971","0.00411"
"2.28000","0.19019","0.00412"
"2.28600","0.19073","0.00416"
"2.29200","0.19121","0.00419"
"2.29800","0.19169","0.00415"
"2.30400","0.19222","0.00408"
"2.31000","0.19270","0.00400"
"2.31600","0.19324","0.00388"
"2.32200","0.19372","0.00382"
"2.32800","0.19426","0.00384"
"2.33400","0.19473","0.00385"
"2.34000","0.19521","0.00380"
"2.34600","0.19575","0.00376"
"2.35200","0.19623","0.00376"
"2.35800","0.19677","0.00379"
