End date,"12/17/2016"
Specimen label,"6CT_43_run2"
Maximum Load,"0.34031",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00033"
"0.00600","0.00000","0.00036"
"0.01200","0.00000","0.00035"
"0.01800","0.00018","0.00034"
"0.02400","0.00024","0.00029"
"0.03000","0.00036","0.00016"
"0.03600","0.00048","0.00007"
"0.04200","0.00066","-0.00003"
"0.04800","0.00084","-0.00009"
"0.05400","0.00102","-0.00008"
"0.06000","0.00132","-0.00008"
"0.06600","0.00161","-0.00008"
"0.07200","0.00191","-0.00013"
"0.07800","0.00227","-0.00015"
"0.08400","0.00263","-0.00009"
"0.09000","0.00305","-0.00003"
"0.09600","0.00353","-0.00006"
"0.10200","0.00401","-0.00004"
"0.10800","0.00454","-0.00012"
"0.11400","0.00502","-0.00026"
"0.12000","0.00562","-0.00031"
"0.12600","0.00616","-0.00034"
"0.13200","0.00676","-0.00040"
"0.13800","0.00735","-0.00046"
"0.14400","0.00795","-0.00054"
"0.15000","0.00861","-0.00055"
"0.15600","0.00927","-0.00053"
"0.16200","0.00987","-0.00051"
"0.16800","0.01058","-0.00040"
"0.17400","0.01124","-0.00027"
"0.18000","0.01190","-0.00019"
"0.18600","0.01256","-0.00009"
"0.19200","0.01321","-0.00004"
"0.19800","0.01387","-0.00003"
"0.20400","0.01459","0.00005"
"0.21000","0.01525","0.00013"
"0.21600","0.01590","0.00015"
"0.22200","0.01656","0.00006"
"0.22800","0.01728","-0.00006"
"0.23400","0.01788","-0.00014"
"0.24000","0.01853","-0.00018"
"0.24600","0.01919","-0.00016"
"0.25200","0.01979","-0.00004"
"0.25800","0.02039","0.00002"
"0.26400","0.02099","0.00006"
"0.27000","0.02158","0.00009"
"0.27600","0.02218","0.00010"
"0.28200","0.02278","0.00009"
"0.28800","0.02338","0.00003"
"0.29400","0.02398","-0.00003"
"0.30000","0.02457","-0.00005"
"0.30600","0.02511","0.00001"
"0.31200","0.02571","0.00000"
"0.31800","0.02631","0.00011"
"0.32400","0.02685","0.00018"
"0.33000","0.02738","0.00018"
"0.33600","0.02798","0.00016"
"0.34200","0.02852","0.00015"
"0.34800","0.02906","0.00009"
"0.35400","0.02960","0.00004"
"0.36000","0.03007","-0.00006"
"0.36600","0.03061","-0.00010"
"0.37200","0.03115","-0.00014"
"0.37800","0.03169","-0.00019"
"0.38400","0.03223","-0.00025"
"0.39000","0.03270","-0.00016"
"0.39600","0.03324","-0.00010"
"0.40200","0.03372","-0.00002"
"0.40800","0.03426","0.00005"
"0.41400","0.03474","0.00004"
"0.42000","0.03528","0.00007"
"0.42600","0.03575","0.00018"
"0.43200","0.03629","0.00019"
"0.43800","0.03677","0.00012"
"0.44400","0.03725","0.00000"
"0.45000","0.03779","-0.00011"
"0.45600","0.03827","-0.00016"
"0.46200","0.03880","-0.00018"
"0.46800","0.03928","-0.00011"
"0.47400","0.03982","-0.00003"
"0.48000","0.04030","-0.00004"
"0.48600","0.04084","0.00006"
"0.49200","0.04131","0.00018"
"0.49800","0.04179","0.00021"
"0.50400","0.04233","0.00027"
"0.51000","0.04281","0.00030"
"0.51600","0.04329","0.00036"
"0.52200","0.04377","0.00036"
"0.52800","0.04430","0.00029"
"0.53400","0.04478","0.00020"
"0.54000","0.04526","0.00008"
"0.54600","0.04580","-0.00005"
"0.55200","0.04628","-0.00008"
"0.55800","0.04676","-0.00008"
"0.56400","0.04729","-0.00004"
"0.57000","0.04777","0.00006"
"0.57600","0.04825","0.00013"
"0.58200","0.04873","0.00016"
"0.58800","0.04927","0.00021"
"0.59400","0.04974","0.00023"
"0.60000","0.05022","0.00031"
"0.60600","0.05076","0.00038"
"0.61200","0.05124","0.00038"
"0.61800","0.05178","0.00032"
"0.62400","0.05226","0.00029"
"0.63000","0.05273","0.00023"
"0.63600","0.05327","0.00018"
"0.64200","0.05375","0.00013"
"0.64800","0.05429","0.00006"
"0.65400","0.05477","0.00002"
"0.66000","0.05525","0.00003"
"0.66600","0.05578","0.00010"
"0.67200","0.05626","0.00016"
"0.67800","0.05674","0.00025"
"0.68400","0.05728","0.00035"
"0.69000","0.05776","0.00034"
"0.69600","0.05829","0.00030"
"0.70200","0.05877","0.00026"
"0.70800","0.05925","0.00020"
"0.71400","0.05979","0.00013"
"0.72000","0.06027","0.00011"
"0.72600","0.06081","0.00016"
"0.73200","0.06128","0.00020"
"0.73800","0.06176","0.00016"
"0.74400","0.06224","0.00008"
"0.75000","0.06278","0.00007"
"0.75600","0.06326","0.00007"
"0.76200","0.06380","0.00003"
"0.76800","0.06427","0.00008"
"0.77400","0.06481","0.00010"
"0.78000","0.06529","0.00000"
"0.78600","0.06577","-0.00005"
"0.79200","0.06631","-0.00007"
"0.79800","0.06678","-0.00014"
"0.80400","0.06726","-0.00015"
"0.81000","0.06780","-0.00018"
"0.81600","0.06828","-0.00017"
"0.82200","0.06876","-0.00018"
"0.82800","0.06924","-0.00025"
"0.83400","0.06977","-0.00022"
"0.84000","0.07025","-0.00015"
"0.84600","0.07073","-0.00010"
"0.85200","0.07127","-0.00006"
"0.85800","0.07175","-0.00006"
"0.86400","0.07229","-0.00002"
"0.87000","0.07276","0.00002"
"0.87600","0.07324","0.00006"
"0.88200","0.07378","0.00007"
"0.88800","0.07426","0.00008"
"0.89400","0.07474","0.00001"
"0.90000","0.07528","-0.00007"
"0.90600","0.07575","-0.00012"
"0.91200","0.07623","-0.00017"
"0.91800","0.07677","-0.00015"
"0.92400","0.07725","-0.00008"
"0.93000","0.07779","-0.00005"
"0.93600","0.07826","-0.00006"
"0.94200","0.07874","-0.00009"
