End date,"12/17/2016"
Specimen label,"15CG_21_run2"
Maximum Load,"0.15933",N

Time,Extension,Load
(s),(mm),(N)
"1.08600","0.09070","0.00031"
"1.09200","0.09118","0.00028"
"1.09800","0.09166","0.00028"
"1.10400","0.09220","0.00025"
"1.11000","0.09267","0.00020"
"1.11600","0.09315","0.00025"
"1.12200","0.09369","0.00026"
"1.12800","0.09417","0.00022"
"1.13400","0.09465","0.00021"
"1.14000","0.09518","0.00027"
"1.14600","0.09566","0.00034"
"1.15200","0.09620","0.00042"
"1.15800","0.09668","0.00046"
"1.16400","0.09716","0.00052"
"1.17000","0.09770","0.00052"
"1.17600","0.09817","0.00050"
"1.18200","0.09871","0.00058"
"1.18800","0.09919","0.00073"
"1.19400","0.09967","0.00076"
"1.20000","0.10021","0.00078"
"1.20600","0.10069","0.00079"
"1.21200","0.10122","0.00072"
"1.21800","0.10170","0.00057"
"1.22400","0.10218","0.00045"
"1.23000","0.10272","0.00040"
"1.23600","0.10320","0.00042"
"1.24200","0.10373","0.00046"
"1.24800","0.10421","0.00045"
"1.25400","0.10469","0.00044"
"1.26000","0.10523","0.00039"
"1.26600","0.10571","0.00032"
"1.27200","0.10625","0.00033"
"1.27800","0.10672","0.00027"
"1.28400","0.10720","0.00027"
"1.29000","0.10774","0.00033"
"1.29600","0.10822","0.00042"
"1.30200","0.10870","0.00049"
"1.30800","0.10924","0.00046"
"1.31400","0.10971","0.00047"
"1.32000","0.11019","0.00049"
"1.32600","0.11067","0.00047"
"1.33200","0.11121","0.00051"
"1.33800","0.11169","0.00061"
"1.34400","0.11222","0.00064"
"1.35000","0.11270","0.00063"
"1.35600","0.11324","0.00066"
"1.36200","0.11372","0.00067"
"1.36800","0.11426","0.00069"
"1.37400","0.11474","0.00071"
"1.38000","0.11527","0.00072"
"1.38600","0.11575","0.00071"
"1.39200","0.11623","0.00060"
"1.39800","0.11677","0.00046"
"1.40400","0.11725","0.00032"
"1.41000","0.11773","0.00023"
"1.41600","0.11826","0.00025"
"1.42200","0.11874","0.00036"
"1.42800","0.11928","0.00044"
"1.43400","0.11976","0.00053"
"1.44000","0.12024","0.00064"
"1.44600","0.12077","0.00068"
"1.45200","0.12125","0.00072"
"1.45800","0.12173","0.00069"
"1.46400","0.12221","0.00067"
"1.47000","0.12269","0.00066"
"1.47600","0.12317","0.00059"
"1.48200","0.12364","0.00055"
"1.48800","0.12418","0.00057"
"1.49400","0.12466","0.00055"
"1.50000","0.12514","0.00046"
"1.50600","0.12568","0.00035"
"1.51200","0.12616","0.00030"
"1.51800","0.12663","0.00034"
"1.52400","0.12717","0.00038"
"1.53000","0.12765","0.00050"
"1.53600","0.12813","0.00061"
"1.54200","0.12867","0.00063"
"1.54800","0.12915","0.00059"
"1.55400","0.12962","0.00058"
"1.56000","0.13016","0.00055"
"1.56600","0.13064","0.00052"
"1.57200","0.13118","0.00056"
"1.57800","0.13166","0.00057"
"1.58400","0.13219","0.00058"
"1.59000","0.13267","0.00064"
"1.59600","0.13321","0.00068"
"1.60200","0.13369","0.00069"
"1.60800","0.13417","0.00060"
"1.61400","0.13465","0.00056"
"1.62000","0.13512","0.00059"
"1.62600","0.13566","0.00063"
"1.63200","0.13614","0.00065"
"1.63800","0.13662","0.00069"
"1.64400","0.13716","0.00062"
"1.65000","0.13764","0.00055"
"1.65600","0.13811","0.00055"
"1.66200","0.13865","0.00056"
"1.66800","0.13913","0.00050"
"1.67400","0.13967","0.00047"
"1.68000","0.14015","0.00046"
"1.68600","0.14062","0.00050"
"1.69200","0.14116","0.00046"
"1.69800","0.14164","0.00044"
"1.70400","0.14218","0.00054"
"1.71000","0.14266","0.00057"
"1.71600","0.14320","0.00064"
"1.72200","0.14367","0.00074"
"1.72800","0.14421","0.00074"
"1.73400","0.14469","0.00075"
"1.74000","0.14523","0.00075"
"1.74600","0.14571","0.00078"
"1.75200","0.14619","0.00085"
"1.75800","0.14666","0.00077"
"1.76400","0.14720","0.00061"
"1.77000","0.14768","0.00056"
"1.77600","0.14822","0.00053"
"1.78200","0.14870","0.00064"
"1.78800","0.14917","0.00079"
"1.79400","0.14971","0.00081"
"1.80000","0.15019","0.00077"
"1.80600","0.15067","0.00071"
"1.81200","0.15121","0.00062"
"1.81800","0.15169","0.00059"
"1.82400","0.15222","0.00055"
"1.83000","0.15270","0.00053"
"1.83600","0.15324","0.00054"
"1.84200","0.15372","0.00053"
"1.84800","0.15420","0.00046"
"1.85400","0.15474","0.00050"
"1.86000","0.15521","0.00064"
"1.86600","0.15575","0.00076"
"1.87200","0.15623","0.00075"
"1.87800","0.15671","0.00070"
"1.88400","0.15719","0.00076"
"1.89000","0.15772","0.00092"
"1.89600","0.15820","0.00105"
"1.90200","0.15868","0.00106"
"1.90800","0.15922","0.00101"
"1.91400","0.15970","0.00092"
"1.92000","0.16024","0.00092"
"1.92600","0.16071","0.00091"
"1.93200","0.16119","0.00085"
"1.93800","0.16173","0.00081"
"1.94400","0.16221","0.00072"
"1.95000","0.16269","0.00065"
"1.95600","0.16323","0.00059"
"1.96200","0.16370","0.00053"
"1.96800","0.16418","0.00061"
"1.97400","0.16472","0.00071"
"1.98000","0.16520","0.00081"
"1.98600","0.16574","0.00089"
"1.99200","0.16621","0.00079"
"1.99800","0.16669","0.00065"
"2.00400","0.16723","0.00051"
"2.01000","0.16771","0.00035"
"2.01600","0.16819","0.00030"
"2.02200","0.16867","0.00021"
"2.02800","0.16920","0.00009"
"2.03400","0.16968","0.00010"
"2.04000","0.17016","0.00009"
"2.04600","0.17064","0.00012"
"2.05200","0.17118","0.00024"
"2.05800","0.17166","0.00042"
"2.06400","0.17219","0.00062"
"2.07000","0.17267","0.00078"
"2.07600","0.17315","0.00079"
"2.08200","0.17369","0.00083"
"2.08800","0.17417","0.00093"
"2.09400","0.17471","0.00094"
"2.10000","0.17518","0.00087"
"2.10600","0.17566","0.00085"
"2.11200","0.17620","0.00088"
"2.11800","0.17668","0.00087"
"2.12400","0.17716","0.00078"
"2.13000","0.17769","0.00078"
"2.13600","0.17817","0.00076"
"2.14200","0.17865","0.00064"
"2.14800","0.17913","0.00062"
"2.15400","0.17967","0.00062"
"2.16000","0.18015","0.00057"
"2.16600","0.18062","0.00046"
"2.17200","0.18116","0.00045"
"2.17800","0.18164","0.00039"
"2.18400","0.18212","0.00036"
"2.19000","0.18266","0.00031"
"2.19600","0.18314","0.00031"
"2.20200","0.18361","0.00035"
"2.20800","0.18415","0.00049"
"2.21400","0.18469","0.00072"
"2.22000","0.18517","0.00090"
"2.22600","0.18571","0.00085"
"2.23200","0.18618","0.00075"
"2.23800","0.18672","0.00069"
"2.24400","0.18720","0.00059"
"2.25000","0.18774","0.00054"
"2.25600","0.18822","0.00054"
"2.26200","0.18870","0.00060"
"2.26800","0.18923","0.00069"
"2.27400","0.18971","0.00065"
"2.28000","0.19019","0.00060"
"2.28600","0.19067","0.00058"
"2.29200","0.19121","0.00055"
"2.29800","0.19169","0.00056"
"2.30400","0.19216","0.00062"
"2.31000","0.19270","0.00063"
"2.31600","0.19318","0.00061"
"2.32200","0.19366","0.00063"
"2.32800","0.19420","0.00071"
"2.33400","0.19467","0.00077"
"2.34000","0.19515","0.00076"
"2.34600","0.19569","0.00069"
"2.35200","0.19623","0.00073"
"2.35800","0.19671","0.00075"
"2.36400","0.19725","0.00076"
"2.37000","0.19772","0.00083"
"2.37600","0.19826","0.00093"
"2.38200","0.19874","0.00100"
"2.38800","0.19922","0.00111"
"2.39400","0.19976","0.00112"
"2.40000","0.20024","0.00106"
"2.40600","0.20071","0.00094"
"2.41200","0.20119","0.00091"
"2.41800","0.20173","0.00094"
"2.42400","0.20221","0.00089"
"2.43000","0.20269","0.00081"
"2.43600","0.20316","0.00083"
"2.44200","0.20364","0.00083"
"2.44800","0.20418","0.00082"
"2.45400","0.20466","0.00089"
"2.46000","0.20514","0.00088"
"2.46600","0.20568","0.00087"
