End date,"2/25/2017"
Specimen label,"6BG_41"
Maximum Load,"1.72377",N

Time,Extension,Load
(s),(mm),(N)
"1.09200","0.09124","0.00014"
"1.09800","0.09172","0.00023"
"1.10400","0.09226","0.00020"
"1.11000","0.09273","-0.00003"
"1.11600","0.09321","-0.00019"
"1.12200","0.09375","-0.00024"
"1.12800","0.09423","-0.00023"
"1.13400","0.09471","-0.00030"
"1.14000","0.09524","-0.00022"
"1.14600","0.09572","-0.00008"
"1.15200","0.09620","0.00012"
"1.15800","0.09674","0.00043"
"1.16400","0.09722","0.00071"
"1.17000","0.09770","0.00089"
"1.17600","0.09817","0.00092"
"1.18200","0.09871","0.00084"
"1.18800","0.09919","0.00078"
"1.19400","0.09967","0.00072"
"1.20000","0.10021","0.00074"
"1.20600","0.10069","0.00086"
"1.21200","0.10116","0.00101"
"1.21800","0.10170","0.00102"
"1.22400","0.10218","0.00104"
"1.23000","0.10266","0.00096"
"1.23600","0.10320","0.00077"
"1.24200","0.10368","0.00060"
"1.24800","0.10421","0.00058"
"1.25400","0.10469","0.00071"
"1.26000","0.10523","0.00071"
"1.26600","0.10571","0.00073"
"1.27200","0.10619","0.00070"
"1.27800","0.10672","0.00050"
"1.28400","0.10720","0.00031"
"1.29000","0.10768","0.00038"
"1.29600","0.10822","0.00051"
"1.30200","0.10870","0.00056"
"1.30800","0.10918","0.00055"
"1.31400","0.10971","0.00044"
"1.32000","0.11019","0.00042"
"1.32600","0.11073","0.00047"
"1.33200","0.11121","0.00055"
"1.33800","0.11169","0.00071"
"1.34400","0.11217","0.00087"
"1.35000","0.11270","0.00080"
"1.35600","0.11318","0.00059"
"1.36200","0.11372","0.00042"
"1.36800","0.11420","0.00011"
"1.37400","0.11468","-0.00010"
"1.38000","0.11521","-0.00009"
"1.38600","0.11569","0.00014"
"1.39200","0.11623","0.00030"
"1.39800","0.11671","0.00041"
"1.40400","0.11719","0.00055"
"1.41000","0.11773","0.00063"
"1.41600","0.11820","0.00054"
"1.42200","0.11874","0.00052"
"1.42800","0.11922","0.00054"
"1.43400","0.11976","0.00052"
"1.44000","0.12024","0.00053"
"1.44600","0.12072","0.00063"
"1.45200","0.12125","0.00081"
"1.45800","0.12173","0.00094"
"1.46400","0.12221","0.00101"
"1.47000","0.12269","0.00098"
"1.47600","0.12323","0.00095"
"1.48200","0.12370","0.00100"
"1.48800","0.12418","0.00104"
"1.49400","0.12472","0.00104"
"1.50000","0.12520","0.00089"
"1.50600","0.12568","0.00071"
"1.51200","0.12622","0.00060"
"1.51800","0.12669","0.00051"
"1.52400","0.12723","0.00043"
"1.53000","0.12771","0.00040"
"1.53600","0.12819","0.00043"
"1.54200","0.12873","0.00039"
"1.54800","0.12921","0.00036"
"1.55400","0.12974","0.00032"
"1.56000","0.13022","0.00022"
"1.56600","0.13070","0.00022"
"1.57200","0.13124","0.00035"
"1.57800","0.13172","0.00050"
"1.58400","0.13219","0.00061"
"1.59000","0.13273","0.00062"
"1.59600","0.13321","0.00071"
"1.60200","0.13369","0.00077"
"1.60800","0.13423","0.00070"
"1.61400","0.13471","0.00063"
"1.62000","0.13524","0.00061"
"1.62600","0.13572","0.00041"
"1.63200","0.13620","0.00019"
"1.63800","0.13668","0.00015"
"1.64400","0.13716","0.00028"
"1.65000","0.13764","0.00038"
"1.65600","0.13817","0.00038"
"1.66200","0.13865","0.00034"
"1.66800","0.13913","0.00040"
"1.67400","0.13961","0.00063"
"1.68000","0.14015","0.00091"
"1.68600","0.14062","0.00102"
"1.69200","0.14116","0.00100"
"1.69800","0.14164","0.00095"
"1.70400","0.14212","0.00093"
"1.71000","0.14266","0.00095"
"1.71600","0.14314","0.00101"
"1.72200","0.14367","0.00087"
"1.72800","0.14415","0.00063"
"1.73400","0.14463","0.00048"
"1.74000","0.14517","0.00041"
"1.74600","0.14565","0.00047"
"1.75200","0.14613","0.00061"
"1.75800","0.14666","0.00080"
"1.76400","0.14714","0.00113"
"1.77000","0.14768","0.00137"
"1.77600","0.14816","0.00143"
"1.78200","0.14864","0.00139"
"1.78800","0.14917","0.00132"
"1.79400","0.14965","0.00123"
"1.80000","0.15013","0.00120"
"1.80600","0.15061","0.00118"
"1.81200","0.15115","0.00107"
"1.81800","0.15163","0.00094"
"1.82400","0.15216","0.00084"
"1.83000","0.15264","0.00075"
"1.83600","0.15318","0.00068"
"1.84200","0.15366","0.00063"
"1.84800","0.15420","0.00060"
"1.85400","0.15468","0.00051"
"1.86000","0.15515","0.00049"
"1.86600","0.15569","0.00050"
"1.87200","0.15617","0.00063"
"1.87800","0.15671","0.00077"
"1.88400","0.15719","0.00072"
"1.89000","0.15766","0.00069"
"1.89600","0.15820","0.00074"
"1.90200","0.15874","0.00073"
"1.90800","0.15922","0.00052"
"1.91400","0.15976","0.00033"
"1.92000","0.16024","0.00021"
"1.92600","0.16077","0.00012"
"1.93200","0.16125","0.00006"
"1.93800","0.16173","0.00013"
"1.94400","0.16221","0.00036"
"1.95000","0.16275","0.00063"
"1.95600","0.16323","0.00090"
"1.96200","0.16370","0.00119"
"1.96800","0.16418","0.00126"
"1.97400","0.16472","0.00126"
"1.98000","0.16520","0.00130"
"1.98600","0.16574","0.00142"
"1.99200","0.16621","0.00148"
"1.99800","0.16669","0.00135"
"2.00400","0.16723","0.00126"
"2.01000","0.16771","0.00105"
"2.01600","0.16819","0.00076"
"2.02200","0.16873","0.00055"
"2.02800","0.16920","0.00057"
"2.03400","0.16968","0.00070"
"2.04000","0.17022","0.00074"
"2.04600","0.17070","0.00091"
"2.05200","0.17124","0.00087"
"2.05800","0.17172","0.00071"
"2.06400","0.17225","0.00068"
"2.07000","0.17273","0.00077"
"2.07600","0.17327","0.00088"
"2.08200","0.17375","0.00103"
"2.08800","0.17423","0.00125"
"2.09400","0.17471","0.00127"
"2.10000","0.17524","0.00109"
"2.10600","0.17572","0.00104"
"2.11200","0.17620","0.00092"
"2.11800","0.17674","0.00077"
"2.12400","0.17722","0.00073"
"2.13000","0.17769","0.00081"
"2.13600","0.17823","0.00098"
"2.14200","0.17871","0.00110"
"2.14800","0.17919","0.00123"
"2.15400","0.17973","0.00130"
"2.16000","0.18021","0.00124"
"2.16600","0.18068","0.00113"
"2.17200","0.18122","0.00112"
"2.17800","0.18170","0.00108"
"2.18400","0.18218","0.00114"
"2.19000","0.18272","0.00128"
"2.19600","0.18320","0.00134"
"2.20200","0.18367","0.00138"
"2.20800","0.18415","0.00130"
"2.21400","0.18469","0.00116"
"2.22000","0.18517","0.00113"
"2.22600","0.18565","0.00118"
"2.23200","0.18618","0.00117"
"2.23800","0.18666","0.00115"
"2.24400","0.18720","0.00102"
"2.25000","0.18768","0.00096"
"2.25600","0.18816","0.00093"
"2.26200","0.18870","0.00080"
"2.26800","0.18917","0.00079"
"2.27400","0.18965","0.00089"
"2.28000","0.19019","0.00097"
"2.28600","0.19067","0.00111"
"2.29200","0.19121","0.00123"
"2.29800","0.19169","0.00134"
"2.30400","0.19216","0.00135"
"2.31000","0.19270","0.00130"
"2.31600","0.19318","0.00114"
"2.32200","0.19366","0.00108"
"2.32800","0.19420","0.00102"
"2.33400","0.19467","0.00095"
"2.34000","0.19521","0.00095"
"2.34600","0.19569","0.00097"
"2.35200","0.19623","0.00084"
"2.35800","0.19671","0.00070"
"2.36400","0.19719","0.00059"
"2.37000","0.19772","0.00060"
"2.37600","0.19820","0.00056"
"2.38200","0.19868","0.00070"
"2.38800","0.19922","0.00089"
"2.39400","0.19970","0.00109"
"2.40000","0.20018","0.00131"
"2.40600","0.20071","0.00148"
"2.41200","0.20119","0.00145"
"2.41800","0.20167","0.00125"
"2.42400","0.20221","0.00110"
"2.43000","0.20269","0.00105"
"2.43600","0.20316","0.00100"
"2.44200","0.20364","0.00100"
"2.44800","0.20418","0.00109"
"2.45400","0.20466","0.00122"
"2.46000","0.20520","0.00124"
"2.46600","0.20568","0.00113"
"2.47200","0.20615","0.00095"
"2.47800","0.20669","0.00079"
"2.48400","0.20717","0.00068"
"2.49000","0.20765","0.00067"
"2.49600","0.20819","0.00072"
"2.50200","0.20867","0.00073"
"2.50800","0.20920","0.00074"
"2.51400","0.20968","0.00064"
"2.52000","0.21016","0.00065"
"2.52600","0.21070","0.00077"
"2.53200","0.21118","0.00087"
"2.53800","0.21165","0.00105"
"2.54400","0.21219","0.00124"
"2.55000","0.21267","0.00126"
"2.55600","0.21321","0.00124"
"2.56200","0.21369","0.00122"
"2.56800","0.21417","0.00110"
"2.57400","0.21470","0.00098"
"2.58000","0.21518","0.00097"
"2.58600","0.21572","0.00102"
"2.59200","0.21620","0.00089"
"2.59800","0.21668","0.00076"
"2.60400","0.21722","0.00070"
"2.61000","0.21769","0.00057"
"2.61600","0.21817","0.00055"
"2.62200","0.21871","0.00064"
"2.62800","0.21919","0.00067"
"2.63400","0.21967","0.00069"
"2.64000","0.22020","0.00073"
"2.64600","0.22068","0.00084"
"2.65200","0.22116","0.00108"
"2.65800","0.22170","0.00124"
"2.66400","0.22218","0.00131"
"2.67000","0.22266","0.00135"
"2.67600","0.22319","0.00137"
"2.68200","0.22367","0.00132"
"2.68800","0.22421","0.00133"
"2.69400","0.22469","0.00139"
"2.70000","0.22523","0.00132"
"2.70600","0.22571","0.00116"
"2.71200","0.22624","0.00110"
"2.71800","0.22672","0.00108"
"2.72400","0.22720","0.00105"
"2.73000","0.22774","0.00100"
"2.73600","0.22822","0.00113"
"2.74200","0.22869","0.00120"
"2.74800","0.22917","0.00116"
"2.75400","0.22971","0.00113"
"2.76000","0.23019","0.00115"
"2.76600","0.23067","0.00124"
"2.77200","0.23115","0.00132"
"2.77800","0.23168","0.00137"
"2.78400","0.23216","0.00134"
"2.79000","0.23264","0.00124"
"2.79600","0.23312","0.00109"
"2.80200","0.23366","0.00098"
"2.80800","0.23414","0.00094"
"2.81400","0.23461","0.00104"
"2.82000","0.23515","0.00117"
"2.82600","0.23563","0.00123"
"2.83200","0.23617","0.00137"
"2.83800","0.23665","0.00155"
"2.84400","0.23719","0.00158"
"2.85000","0.23766","0.00149"
"2.85600","0.23814","0.00148"
"2.86200","0.23868","0.00155"
"2.86800","0.23916","0.00147"
"2.87400","0.23964","0.00128"
"2.88000","0.24011","0.00128"
"2.88600","0.24065","0.00129"
"2.89200","0.24113","0.00128"
"2.89800","0.24161","0.00125"
"2.90400","0.24215","0.00126"
"2.91000","0.24263","0.00127"
"2.91600","0.24316","0.00125"
"2.92200","0.24364","0.00129"
"2.92800","0.24412","0.00133"
"2.93400","0.24466","0.00141"
"2.94000","0.24514","0.00148"
"2.94600","0.24568","0.00158"
"2.95200","0.24615","0.00165"
"2.95800","0.24669","0.00171"
"2.96400","0.24717","0.00171"
"2.97000","0.24771","0.00161"
"2.97600","0.24825","0.00136"
"2.98200","0.24872","0.00116"
"2.98800","0.24926","0.00108"
"2.99400","0.24974","0.00104"
"3.00000","0.25022","0.00109"
"3.00600","0.25076","0.00119"
"3.01200","0.25124","0.00132"
"3.01800","0.25177","0.00138"
"3.02400","0.25225","0.00137"
"3.03000","0.25273","0.00130"
"3.03600","0.25321","0.00130"
"3.04200","0.25375","0.00123"
"3.04800","0.25423","0.00121"
"3.05400","0.25476","0.00128"
"3.06000","0.25524","0.00125"
"3.06600","0.25572","0.00118"
"3.07200","0.25620","0.00120"
"3.07800","0.25674","0.00128"
"3.08400","0.25721","0.00122"
"3.09000","0.25769","0.00114"
"3.09600","0.25817","0.00119"
"3.10200","0.25871","0.00121"
"3.10800","0.25919","0.00116"
"3.11400","0.25973","0.00108"
"3.12000","0.26020","0.00090"
"3.12600","0.26074","0.00059"
"3.13200","0.26122","0.00036"
"3.13800","0.26176","0.00039"
"3.14400","0.26224","0.00062"
"3.15000","0.26278","0.00086"
"3.15600","0.26325","0.00117"
"3.16200","0.26373","0.00153"
"3.16800","0.26421","0.00173"
"3.17400","0.26475","0.00175"
"3.18000","0.26523","0.00162"
"3.18600","0.26576","0.00151"
"3.19200","0.26624","0.00150"
"3.19800","0.26672","0.00152"
"3.20400","0.26726","0.00145"
"3.21000","0.26774","0.00121"
"3.21600","0.26822","0.00104"
"3.22200","0.26875","0.00084"
"3.22800","0.26923","0.00057"
"3.23400","0.26971","0.00044"
"3.24000","0.27019","0.00040"
"3.24600","0.27073","0.00042"
"3.25200","0.27121","0.00046"
"3.25800","0.27168","0.00065"
"3.26400","0.27222","0.00092"
"3.27000","0.27276","0.00122"
"3.27600","0.27324","0.00141"
"3.28200","0.27372","0.00150"
"3.28800","0.27425","0.00158"
"3.29400","0.27473","0.00155"
"3.30000","0.27521","0.00135"
"3.30600","0.27569","0.00113"
"3.31200","0.27617","0.00104"
"3.31800","0.27671","0.00098"
"3.32400","0.27718","0.00091"
"3.33000","0.27766","0.00092"
"3.33600","0.27820","0.00106"
"3.34200","0.27868","0.00122"
"3.34800","0.27916","0.00139"
"3.35400","0.27970","0.00155"
"3.36000","0.28017","0.00172"
"3.36600","0.28065","0.00177"
"3.37200","0.28119","0.00168"
"3.37800","0.28167","0.00164"
"3.38400","0.28215","0.00175"
"3.39000","0.28263","0.00179"
"3.39600","0.28316","0.00175"
"3.40200","0.28364","0.00170"
"3.40800","0.28412","0.00166"
"3.41400","0.28466","0.00157"
"3.42000","0.28514","0.00149"
"3.42600","0.28567","0.00132"
"3.43200","0.28615","0.00100"
"3.43800","0.28669","0.00081"
"3.44400","0.28717","0.00081"
"3.45000","0.28771","0.00096"
"3.45600","0.28819","0.00109"
"3.46200","0.28872","0.00120"
"3.46800","0.28920","0.00137"
"3.47400","0.28968","0.00153"
"3.48000","0.29022","0.00161"
"3.48600","0.29070","0.00166"
"3.49200","0.29123","0.00171"
"3.49800","0.29171","0.00175"
"3.50400","0.29225","0.00182"
"3.51000","0.29273","0.00179"
"3.51600","0.29321","0.00175"
"3.52200","0.29375","0.00171"
"3.52800","0.29422","0.00179"
"3.53400","0.29476","0.00180"
"3.54000","0.29524","0.00165"
"3.54600","0.29578","0.00152"
"3.55200","0.29626","0.00134"
"3.55800","0.29674","0.00125"
"3.56400","0.29727","0.00114"
"3.57000","0.29775","0.00127"
"3.57600","0.29829","0.00140"
"3.58200","0.29877","0.00143"
"3.58800","0.29931","0.00153"
"3.59400","0.29978","0.00157"
"3.60000","0.30026","0.00147"
"3.60600","0.30074","0.00134"
"3.61200","0.30122","0.00142"
"3.61800","0.30176","0.00160"
"3.62400","0.30224","0.00178"
"3.63000","0.30271","0.00177"
"3.63600","0.30319","0.00161"
"3.64200","0.30373","0.00136"
"3.64800","0.30421","0.00120"
"3.65400","0.30469","0.00121"
"3.66000","0.30517","0.00127"
"3.66600","0.30570","0.00130"
"3.67200","0.30618","0.00126"
"3.67800","0.30672","0.00119"
"3.68400","0.30720","0.00124"
"3.69000","0.30768","0.00146"
"3.69600","0.30822","0.00149"
"3.70200","0.30869","0.00130"
"3.70800","0.30923","0.00115"
"3.71400","0.30971","0.00108"
"3.72000","0.31019","0.00110"
"3.72600","0.31073","0.00104"
"3.73200","0.31120","0.00104"
"3.73800","0.31168","0.00119"
"3.74400","0.31216","0.00149"
"3.75000","0.31270","0.00173"
"3.75600","0.31318","0.00179"
"3.76200","0.31366","0.00174"
"3.76800","0.31419","0.00172"
"3.77400","0.31467","0.00174"
"3.78000","0.31521","0.00174"
"3.78600","0.31569","0.00178"
"3.79200","0.31617","0.00185"
"3.79800","0.31671","0.00186"
"3.80400","0.31718","0.00188"
"3.81000","0.31766","0.00184"
"3.81600","0.31820","0.00174"
"3.82200","0.31868","0.00166"
"3.82800","0.31916","0.00171"
"3.83400","0.31969","0.00169"
"3.84000","0.32017","0.00168"
"3.84600","0.32071","0.00171"
"3.85200","0.32119","0.00168"
"3.85800","0.32167","0.00148"
"3.86400","0.32221","0.00114"
"3.87000","0.32268","0.00093"
"3.87600","0.32322","0.00072"
"3.88200","0.32370","0.00060"
"3.88800","0.32418","0.00068"
"3.89400","0.32466","0.00075"
"3.90000","0.32514","0.00074"
"3.90600","0.32567","0.00064"
"3.91200","0.32615","0.00064"
"3.91800","0.32663","0.00079"
"3.92400","0.32717","0.00090"
"3.93000","0.32765","0.00108"
"3.93600","0.32812","0.00127"
"3.94200","0.32866","0.00147"
"3.94800","0.32914","0.00158"
"3.95400","0.32962","0.00169"
"3.96000","0.33010","0.00177"
"3.96600","0.33064","0.00176"
"3.97200","0.33111","0.00174"
"3.97800","0.33165","0.00168"
"3.98400","0.33219","0.00151"
"3.99000","0.33267","0.00137"
"3.99600","0.33321","0.00137"
"4.00200","0.33375","0.00130"
"4.00800","0.33422","0.00121"
"4.01400","0.33476","0.00105"
"4.02000","0.33524","0.00093"
"4.02600","0.33572","0.00093"
"4.03200","0.33626","0.00095"
"4.03800","0.33673","0.00102"
"4.04400","0.33721","0.00100"
"4.05000","0.33775","0.00108"
"4.05600","0.33823","0.00118"
"4.06200","0.33871","0.00123"
"4.06800","0.33925","0.00120"
"4.07400","0.33972","0.00115"
"4.08000","0.34026","0.00121"
