End date,"2/25/2017"
Specimen label,"1DG_unk"
Maximum Load,"0.41180",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00127"
"1.10400","0.09220","0.00152"
"1.11000","0.09267","0.00169"
"1.11600","0.09321","0.00175"
"1.12200","0.09369","0.00171"
"1.12800","0.09417","0.00169"
"1.13400","0.09471","0.00176"
"1.14000","0.09518","0.00194"
"1.14600","0.09566","0.00205"
"1.15200","0.09620","0.00209"
"1.15800","0.09668","0.00217"
"1.16400","0.09722","0.00217"
"1.17000","0.09770","0.00212"
"1.17600","0.09823","0.00216"
"1.18200","0.09871","0.00213"
"1.18800","0.09919","0.00202"
"1.19400","0.09973","0.00188"
"1.20000","0.10021","0.00170"
"1.20600","0.10069","0.00157"
"1.21200","0.10122","0.00145"
"1.21800","0.10170","0.00142"
"1.22400","0.10218","0.00147"
"1.23000","0.10272","0.00155"
"1.23600","0.10320","0.00176"
"1.24200","0.10368","0.00196"
"1.24800","0.10415","0.00212"
"1.25400","0.10469","0.00203"
"1.26000","0.10517","0.00180"
"1.26600","0.10565","0.00163"
"1.27200","0.10619","0.00140"
"1.27800","0.10666","0.00132"
"1.28400","0.10720","0.00130"
"1.29000","0.10768","0.00143"
"1.29600","0.10816","0.00163"
"1.30200","0.10870","0.00165"
"1.30800","0.10918","0.00169"
"1.31400","0.10965","0.00180"
"1.32000","0.11019","0.00181"
"1.32600","0.11067","0.00190"
"1.33200","0.11115","0.00191"
"1.33800","0.11169","0.00189"
"1.34400","0.11217","0.00187"
"1.35000","0.11264","0.00182"
"1.35600","0.11318","0.00182"
"1.36200","0.11366","0.00192"
"1.36800","0.11420","0.00196"
"1.37400","0.11468","0.00198"
"1.38000","0.11521","0.00200"
"1.38600","0.11569","0.00196"
"1.39200","0.11617","0.00198"
"1.39800","0.11671","0.00195"
"1.40400","0.11719","0.00188"
"1.41000","0.11767","0.00185"
"1.41600","0.11820","0.00204"
"1.42200","0.11868","0.00225"
"1.42800","0.11922","0.00240"
"1.43400","0.11970","0.00244"
"1.44000","0.12024","0.00241"
"1.44600","0.12072","0.00236"
"1.45200","0.12119","0.00232"
"1.45800","0.12173","0.00240"
"1.46400","0.12221","0.00240"
"1.47000","0.12269","0.00234"
"1.47600","0.12323","0.00224"
"1.48200","0.12370","0.00216"
"1.48800","0.12424","0.00210"
"1.49400","0.12472","0.00206"
"1.50000","0.12520","0.00210"
"1.50600","0.12574","0.00218"
"1.51200","0.12622","0.00206"
"1.51800","0.12675","0.00188"
"1.52400","0.12723","0.00175"
"1.53000","0.12771","0.00177"
"1.53600","0.12825","0.00188"
"1.54200","0.12873","0.00196"
"1.54800","0.12921","0.00216"
"1.55400","0.12968","0.00224"
"1.56000","0.13022","0.00218"
"1.56600","0.13070","0.00215"
"1.57200","0.13118","0.00212"
"1.57800","0.13172","0.00220"
"1.58400","0.13225","0.00217"
"1.59000","0.13273","0.00226"
"1.59600","0.13327","0.00229"
"1.60200","0.13375","0.00213"
"1.60800","0.13429","0.00206"
"1.61400","0.13477","0.00216"
"1.62000","0.13524","0.00221"
"1.62600","0.13572","0.00217"
"1.63200","0.13626","0.00219"
"1.63800","0.13674","0.00225"
"1.64400","0.13728","0.00234"
"1.65000","0.13776","0.00241"
"1.65600","0.13823","0.00250"
"1.66200","0.13877","0.00240"
"1.66800","0.13925","0.00228"
"1.67400","0.13973","0.00233"
"1.68000","0.14027","0.00229"
"1.68600","0.14074","0.00232"
"1.69200","0.14122","0.00223"
"1.69800","0.14170","0.00220"
"1.70400","0.14218","0.00229"
"1.71000","0.14266","0.00222"
"1.71600","0.14314","0.00211"
"1.72200","0.14367","0.00211"
"1.72800","0.14415","0.00214"
"1.73400","0.14469","0.00218"
"1.74000","0.14517","0.00231"
"1.74600","0.14571","0.00244"
"1.75200","0.14619","0.00243"
"1.75800","0.14666","0.00248"
"1.76400","0.14720","0.00257"
"1.77000","0.14768","0.00256"
"1.77600","0.14816","0.00250"
"1.78200","0.14870","0.00235"
"1.78800","0.14917","0.00233"
"1.79400","0.14965","0.00232"
"1.80000","0.15013","0.00234"
"1.80600","0.15067","0.00227"
