End date,"2/25/2017"
Specimen label,"1BG_5.2"
Maximum Load,"0.02768",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09166","0.00060"
"1.10400","0.09220","0.00051"
"1.11000","0.09267","0.00039"
"1.11600","0.09321","0.00026"
"1.12200","0.09369","0.00022"
"1.12800","0.09417","0.00020"
"1.13400","0.09471","0.00024"
"1.14000","0.09518","0.00043"
"1.14600","0.09566","0.00056"
"1.15200","0.09614","0.00052"
"1.15800","0.09662","0.00047"
"1.16400","0.09716","0.00042"
"1.17000","0.09764","0.00047"
"1.17600","0.09811","0.00057"
"1.18200","0.09865","0.00072"
"1.18800","0.09913","0.00082"
"1.19400","0.09967","0.00083"
"1.20000","0.10015","0.00075"
"1.20600","0.10063","0.00076"
"1.21200","0.10116","0.00072"
"1.21800","0.10164","0.00060"
"1.22400","0.10212","0.00053"
"1.23000","0.10266","0.00047"
"1.23600","0.10314","0.00046"
"1.24200","0.10362","0.00049"
"1.24800","0.10415","0.00040"
"1.25400","0.10463","0.00031"
"1.26000","0.10511","0.00025"
"1.26600","0.10565","0.00009"
"1.27200","0.10613","0.00009"
"1.27800","0.10666","0.00013"
"1.28400","0.10714","0.00006"
"1.29000","0.10768","0.00007"
"1.29600","0.10816","0.00006"
"1.30200","0.10864","0.00020"
"1.30800","0.10912","0.00028"
"1.31400","0.10959","0.00030"
"1.32000","0.11013","0.00042"
"1.32600","0.11061","0.00052"
"1.33200","0.11109","0.00062"
"1.33800","0.11163","0.00079"
"1.34400","0.11211","0.00082"
"1.35000","0.11264","0.00066"
"1.35600","0.11312","0.00057"
"1.36200","0.11360","0.00054"
"1.36800","0.11414","0.00050"
"1.37400","0.11462","0.00050"
"1.38000","0.11515","0.00057"
"1.38600","0.11563","0.00068"
"1.39200","0.11617","0.00073"
"1.39800","0.11671","0.00076"
"1.40400","0.11719","0.00090"
"1.41000","0.11773","0.00082"
"1.41600","0.11826","0.00070"
"1.42200","0.11874","0.00070"
"1.42800","0.11928","0.00071"
"1.43400","0.11976","0.00081"
"1.44000","0.12024","0.00079"
"1.44600","0.12072","0.00077"
"1.45200","0.12119","0.00075"
"1.45800","0.12167","0.00066"
"1.46400","0.12221","0.00062"
"1.47000","0.12269","0.00058"
"1.47600","0.12317","0.00049"
"1.48200","0.12364","0.00032"
"1.48800","0.12418","0.00023"
"1.49400","0.12466","0.00028"
"1.50000","0.12514","0.00033"
"1.50600","0.12568","0.00042"
"1.51200","0.12616","0.00046"
"1.51800","0.12669","0.00044"
"1.52400","0.12717","0.00042"
"1.53000","0.12771","0.00038"
"1.53600","0.12819","0.00034"
"1.54200","0.12873","0.00022"
"1.54800","0.12921","0.00014"
"1.55400","0.12968","0.00018"
"1.56000","0.13022","0.00023"
"1.56600","0.13070","0.00031"
"1.57200","0.13118","0.00054"
"1.57800","0.13172","0.00074"
"1.58400","0.13219","0.00078"
"1.59000","0.13267","0.00079"
"1.59600","0.13315","0.00081"
"1.60200","0.13363","0.00079"
"1.60800","0.13411","0.00073"
"1.61400","0.13465","0.00062"
"1.62000","0.13512","0.00061"
"1.62600","0.13560","0.00062"
"1.63200","0.13614","0.00054"
"1.63800","0.13662","0.00033"
"1.64400","0.13710","0.00015"
"1.65000","0.13758","0.00017"
"1.65600","0.13811","0.00045"
"1.66200","0.13859","0.00070"
"1.66800","0.13913","0.00086"
"1.67400","0.13961","0.00102"
"1.68000","0.14009","0.00109"
"1.68600","0.14062","0.00109"
"1.69200","0.14116","0.00097"
"1.69800","0.14164","0.00066"
"1.70400","0.14212","0.00053"
"1.71000","0.14266","0.00051"
"1.71600","0.14314","0.00050"
"1.72200","0.14361","0.00051"
"1.72800","0.14415","0.00062"
"1.73400","0.14463","0.00066"
"1.74000","0.14511","0.00066"
"1.74600","0.14559","0.00055"
"1.75200","0.14613","0.00051"
"1.75800","0.14660","0.00045"
"1.76400","0.14708","0.00044"
"1.77000","0.14756","0.00044"
"1.77600","0.14810","0.00037"
"1.78200","0.14858","0.00029"
"1.78800","0.14906","0.00026"
"1.79400","0.14959","0.00027"
"1.80000","0.15007","0.00039"
"1.80600","0.15055","0.00049"
"1.81200","0.15109","0.00043"
"1.81800","0.15157","0.00035"
"1.82400","0.15210","0.00031"
"1.83000","0.15264","0.00034"
"1.83600","0.15318","0.00036"
"1.84200","0.15366","0.00033"
"1.84800","0.15414","0.00026"
"1.85400","0.15468","0.00018"
"1.86000","0.15515","0.00004"
"1.86600","0.15563","-0.00003"
"1.87200","0.15611","0.00000"
"1.87800","0.15659","0.00004"
"1.88400","0.15713","0.00003"
"1.89000","0.15761","0.00002"
"1.89600","0.15808","-0.00001"
"1.90200","0.15862","-0.00003"
"1.90800","0.15910","0.00007"
"1.91400","0.15964","0.00026"
"1.92000","0.16012","0.00047"
"1.92600","0.16059","0.00046"
"1.93200","0.16113","0.00032"
"1.93800","0.16161","0.00021"
"1.94400","0.16215","0.00010"
"1.95000","0.16263","0.00005"
"1.95600","0.16317","0.00008"
"1.96200","0.16364","0.00023"
"1.96800","0.16418","0.00042"
"1.97400","0.16466","0.00067"
"1.98000","0.16520","0.00087"
"1.98600","0.16568","0.00096"
"1.99200","0.16621","0.00105"
"1.99800","0.16669","0.00118"
"2.00400","0.16717","0.00129"
"2.01000","0.16765","0.00133"
"2.01600","0.16819","0.00124"
"2.02200","0.16867","0.00104"
"2.02800","0.16914","0.00091"
"2.03400","0.16962","0.00073"
"2.04000","0.17016","0.00060"
"2.04600","0.17064","0.00049"
