End date,"1/8/2017"
Specimen label,"10DG_59"
Maximum Load,"0.72436",N

Time,Extension,Load
(s),(mm),(N)
"1.08000","0.09010","-0.00012"
"1.08600","0.09064","-0.00013"
"1.09200","0.09112","-0.00011"
"1.09800","0.09160","-0.00011"
"1.10400","0.09214","-0.00020"
"1.11000","0.09261","-0.00021"
"1.11600","0.09309","-0.00023"
"1.12200","0.09363","-0.00028"
"1.12800","0.09411","-0.00021"
"1.13400","0.09459","-0.00010"
"1.14000","0.09513","-0.00004"
"1.14600","0.09560","0.00005"
"1.15200","0.09614","0.00014"
"1.15800","0.09668","0.00032"
"1.16400","0.09716","0.00054"
"1.17000","0.09770","0.00072"
"1.17600","0.09817","0.00073"
"1.18200","0.09871","0.00064"
"1.18800","0.09919","0.00054"
"1.19400","0.09967","0.00037"
"1.20000","0.10015","0.00020"
"1.20600","0.10063","0.00008"
"1.21200","0.10116","0.00000"
"1.21800","0.10164","-0.00008"
"1.22400","0.10212","-0.00015"
"1.23000","0.10266","-0.00016"
"1.23600","0.10314","-0.00004"
"1.24200","0.10368","0.00009"
"1.24800","0.10415","0.00007"
"1.25400","0.10469","0.00000"
"1.26000","0.10517","0.00000"
"1.26600","0.10571","0.00004"
"1.27200","0.10619","0.00008"
"1.27800","0.10672","0.00024"
"1.28400","0.10720","0.00038"
"1.29000","0.10768","0.00041"
"1.29600","0.10822","0.00035"
"1.30200","0.10870","0.00032"
"1.30800","0.10924","0.00026"
"1.31400","0.10971","0.00017"
"1.32000","0.11025","0.00018"
"1.32600","0.11073","0.00019"
"1.33200","0.11121","0.00019"
"1.33800","0.11169","0.00009"
"1.34400","0.11217","-0.00005"
"1.35000","0.11264","-0.00012"
"1.35600","0.11318","-0.00011"
"1.36200","0.11366","-0.00009"
"1.36800","0.11414","-0.00008"
"1.37400","0.11462","-0.00013"
"1.38000","0.11515","-0.00015"
"1.38600","0.11563","-0.00010"
"1.39200","0.11617","-0.00002"
"1.39800","0.11665","-0.00005"
"1.40400","0.11713","-0.00006"
"1.41000","0.11767","0.00006"
"1.41600","0.11814","0.00016"
"1.42200","0.11868","0.00026"
"1.42800","0.11916","0.00033"
"1.43400","0.11970","0.00038"
"1.44000","0.12018","0.00032"
"1.44600","0.12072","0.00026"
"1.45200","0.12125","0.00023"
"1.45800","0.12173","0.00014"
"1.46400","0.12221","0.00003"
"1.47000","0.12275","0.00006"
"1.47600","0.12323","0.00018"
"1.48200","0.12376","0.00030"
"1.48800","0.12424","0.00030"
"1.49400","0.12472","0.00024"
"1.50000","0.12520","0.00008"
"1.50600","0.12568","-0.00006"
"1.51200","0.12616","-0.00018"
"1.51800","0.12669","-0.00028"
"1.52400","0.12717","-0.00037"
"1.53000","0.12765","-0.00042"
"1.53600","0.12819","-0.00050"
"1.54200","0.12867","-0.00047"
"1.54800","0.12915","-0.00033"
"1.55400","0.12968","-0.00019"
"1.56000","0.13016","-0.00010"
"1.56600","0.13070","0.00004"
"1.57200","0.13118","0.00015"
"1.57800","0.13166","0.00024"
"1.58400","0.13219","0.00031"
"1.59000","0.13267","0.00031"
"1.59600","0.13315","0.00027"
"1.60200","0.13369","0.00027"
"1.60800","0.13417","0.00035"
"1.61400","0.13465","0.00031"
"1.62000","0.13518","0.00026"
"1.62600","0.13566","0.00017"
"1.63200","0.13614","0.00013"
"1.63800","0.13662","0.00018"
"1.64400","0.13716","0.00021"
"1.65000","0.13764","0.00029"
"1.65600","0.13811","0.00034"
"1.66200","0.13865","0.00033"
"1.66800","0.13913","0.00030"
"1.67400","0.13961","0.00019"
"1.68000","0.14009","-0.00003"
"1.68600","0.14062","-0.00026"
"1.69200","0.14110","-0.00039"
"1.69800","0.14158","-0.00045"
"1.70400","0.14212","-0.00040"
"1.71000","0.14266","-0.00026"
"1.71600","0.14314","-0.00013"
"1.72200","0.14367","-0.00004"
"1.72800","0.14415","-0.00002"
"1.73400","0.14469","-0.00007"
"1.74000","0.14517","-0.00004"
"1.74600","0.14571","-0.00006"
"1.75200","0.14619","-0.00001"
"1.75800","0.14666","0.00012"
"1.76400","0.14720","0.00019"
"1.77000","0.14768","0.00019"
"1.77600","0.14822","0.00010"
"1.78200","0.14870","0.00000"
"1.78800","0.14917","0.00002"
"1.79400","0.14971","0.00004"
"1.80000","0.15019","0.00000"
"1.80600","0.15073","-0.00003"
"1.81200","0.15121","-0.00001"
"1.81800","0.15169","0.00008"
"1.82400","0.15222","0.00010"
"1.83000","0.15270","0.00014"
"1.83600","0.15318","0.00018"
"1.84200","0.15372","0.00030"
"1.84800","0.15420","0.00042"
"1.85400","0.15474","0.00050"
"1.86000","0.15521","0.00056"
"1.86600","0.15569","0.00051"
"1.87200","0.15623","0.00046"
"1.87800","0.15671","0.00042"
"1.88400","0.15725","0.00033"
"1.89000","0.15772","0.00022"
"1.89600","0.15820","0.00020"
"1.90200","0.15874","0.00030"
"1.90800","0.15922","0.00035"
"1.91400","0.15970","0.00032"
"1.92000","0.16024","0.00032"
"1.92600","0.16071","0.00035"
"1.93200","0.16119","0.00029"
"1.93800","0.16167","0.00017"
"1.94400","0.16221","0.00009"
"1.95000","0.16269","0.00011"
"1.95600","0.16317","0.00008"
"1.96200","0.16370","0.00006"
"1.96800","0.16418","0.00007"
"1.97400","0.16466","0.00001"
"1.98000","0.16520","-0.00009"
"1.98600","0.16568","-0.00007"
"1.99200","0.16616","-0.00002"
"1.99800","0.16669","0.00004"
"2.00400","0.16717","0.00022"
"2.01000","0.16765","0.00034"
"2.01600","0.16819","0.00032"
"2.02200","0.16867","0.00030"
"2.02800","0.16920","0.00027"
"2.03400","0.16968","0.00035"
"2.04000","0.17022","0.00042"
"2.04600","0.17070","0.00041"
"2.05200","0.17118","0.00034"
"2.05800","0.17172","0.00020"
"2.06400","0.17219","0.00010"
"2.07000","0.17267","0.00010"
"2.07600","0.17315","0.00016"
"2.08200","0.17363","0.00015"
"2.08800","0.17417","0.00020"
"2.09400","0.17465","0.00034"
"2.10000","0.17512","0.00055"
"2.10600","0.17566","0.00070"
"2.11200","0.17614","0.00074"
"2.11800","0.17668","0.00084"
"2.12400","0.17716","0.00089"
"2.13000","0.17763","0.00081"
"2.13600","0.17817","0.00068"
"2.14200","0.17865","0.00064"
"2.14800","0.17919","0.00057"
"2.15400","0.17967","0.00051"
"2.16000","0.18021","0.00048"
"2.16600","0.18068","0.00043"
"2.17200","0.18116","0.00028"
"2.17800","0.18170","0.00020"
"2.18400","0.18218","0.00027"
"2.19000","0.18266","0.00038"
"2.19600","0.18320","0.00038"
"2.20200","0.18367","0.00028"
"2.20800","0.18415","0.00009"
"2.21400","0.18463","-0.00007"
"2.22000","0.18517","-0.00009"
"2.22600","0.18565","-0.00014"
"2.23200","0.18612","-0.00017"
"2.23800","0.18666","-0.00015"
"2.24400","0.18714","-0.00013"
"2.25000","0.18762","-0.00015"
"2.25600","0.18810","-0.00014"
"2.26200","0.18864","-0.00012"
"2.26800","0.18911","-0.00003"
"2.27400","0.18965","0.00008"
"2.28000","0.19019","0.00008"
"2.28600","0.19067","0.00005"
"2.29200","0.19115","0.00007"
"2.29800","0.19169","0.00009"
"2.30400","0.19216","0.00010"
"2.31000","0.19270","0.00009"
"2.31600","0.19318","0.00009"
"2.32200","0.19366","0.00004"
"2.32800","0.19420","-0.00011"
"2.33400","0.19467","-0.00019"
"2.34000","0.19515","-0.00017"
"2.34600","0.19569","-0.00008"
"2.35200","0.19617","0.00002"
"2.35800","0.19665","0.00011"
"2.36400","0.19713","0.00009"
"2.37000","0.19766","0.00008"
"2.37600","0.19814","0.00003"
"2.38200","0.19862","0.00008"
"2.38800","0.19916","0.00025"
"2.39400","0.19964","0.00043"
"2.40000","0.20018","0.00046"
"2.40600","0.20065","0.00050"
"2.41200","0.20113","0.00062"
"2.41800","0.20167","0.00066"
"2.42400","0.20215","0.00061"
"2.43000","0.20269","0.00057"
"2.43600","0.20316","0.00062"
"2.44200","0.20370","0.00059"
"2.44800","0.20418","0.00053"
"2.45400","0.20472","0.00050"
"2.46000","0.20520","0.00049"
"2.46600","0.20574","0.00047"
"2.47200","0.20621","0.00038"
"2.47800","0.20669","0.00033"
"2.48400","0.20723","0.00022"
"2.49000","0.20771","0.00011"
"2.49600","0.20819","0.00008"
"2.50200","0.20867","0.00015"
"2.50800","0.20914","0.00027"
"2.51400","0.20968","0.00041"
"2.52000","0.21016","0.00049"
"2.52600","0.21070","0.00049"
"2.53200","0.21118","0.00035"
"2.53800","0.21165","0.00018"
"2.54400","0.21219","0.00013"
"2.55000","0.21267","0.00011"
"2.55600","0.21315","0.00007"
"2.56200","0.21369","0.00000"
"2.56800","0.21417","0.00002"
"2.57400","0.21464","0.00001"
"2.58000","0.21518","0.00003"
"2.58600","0.21566","0.00009"
"2.59200","0.21620","0.00019"
"2.59800","0.21668","0.00014"
"2.60400","0.21722","0.00002"
"2.61000","0.21769","-0.00006"
"2.61600","0.21823","-0.00005"
"2.62200","0.21871","-0.00007"
"2.62800","0.21919","-0.00011"
"2.63400","0.21967","-0.00003"
"2.64000","0.22015","-0.00010"
"2.64600","0.22062","-0.00021"
"2.65200","0.22110","-0.00034"
"2.65800","0.22164","-0.00038"
"2.66400","0.22212","-0.00035"
"2.67000","0.22266","-0.00028"
"2.67600","0.22313","-0.00019"
"2.68200","0.22367","-0.00006"
"2.68800","0.22415","0.00005"
"2.69400","0.22463","0.00010"
"2.70000","0.22517","0.00023"
"2.70600","0.22565","0.00035"
"2.71200","0.22612","0.00044"
"2.71800","0.22660","0.00043"
"2.72400","0.22714","0.00033"
"2.73000","0.22762","0.00015"
"2.73600","0.22816","0.00002"
"2.74200","0.22864","0.00005"
"2.74800","0.22911","0.00016"
"2.75400","0.22965","0.00022"
"2.76000","0.23013","0.00024"
"2.76600","0.23067","0.00037"
"2.77200","0.23115","0.00045"
"2.77800","0.23162","0.00048"
"2.78400","0.23210","0.00055"
"2.79000","0.23264","0.00059"
"2.79600","0.23312","0.00051"
"2.80200","0.23360","0.00045"
"2.80800","0.23414","0.00033"
"2.81400","0.23461","0.00025"
"2.82000","0.23515","0.00030"
"2.82600","0.23563","0.00036"
"2.83200","0.23617","0.00032"
"2.83800","0.23665","0.00020"
"2.84400","0.23713","0.00004"
"2.85000","0.23766","-0.00005"
"2.85600","0.23814","0.00009"
"2.86200","0.23862","0.00028"
"2.86800","0.23916","0.00038"
"2.87400","0.23964","0.00037"
"2.88000","0.24017","0.00026"
"2.88600","0.24065","0.00013"
"2.89200","0.24119","0.00008"
"2.89800","0.24173","0.00001"
"2.90400","0.24221","0.00006"
"2.91000","0.24269","0.00015"
"2.91600","0.24322","0.00020"
"2.92200","0.24370","0.00021"
"2.92800","0.24418","0.00019"
"2.93400","0.24466","0.00015"
"2.94000","0.24520","0.00014"
"2.94600","0.24568","0.00015"
"2.95200","0.24615","0.00016"
"2.95800","0.24669","0.00011"
"2.96400","0.24717","0.00006"
"2.97000","0.24765","0.00004"
"2.97600","0.24819","-0.00006"
"2.98200","0.24866","-0.00008"
"2.98800","0.24914","-0.00003"
"2.99400","0.24968","-0.00001"
"3.00000","0.25016","-0.00007"
"3.00600","0.25064","-0.00013"
"3.01200","0.25118","-0.00011"
"3.01800","0.25165","-0.00003"
"3.02400","0.25219","0.00015"
"3.03000","0.25267","0.00035"
"3.03600","0.25321","0.00046"
"3.04200","0.25369","0.00051"
"3.04800","0.25417","0.00043"
"3.05400","0.25470","0.00038"
"3.06000","0.25518","0.00036"
"3.06600","0.25566","0.00021"
"3.07200","0.25614","0.00005"
"3.07800","0.25668","0.00001"
"3.08400","0.25715","0.00007"
"3.09000","0.25763","0.00012"
"3.09600","0.25817","0.00018"
"3.10200","0.25865","0.00024"
"3.10800","0.25913","0.00041"
"3.11400","0.25967","0.00054"
"3.12000","0.26014","0.00045"
"3.12600","0.26062","0.00039"
"3.13200","0.26116","0.00043"
"3.13800","0.26164","0.00039"
"3.14400","0.26212","0.00034"
"3.15000","0.26266","0.00032"
"3.15600","0.26313","0.00023"
"3.16200","0.26361","0.00017"
"3.16800","0.26415","0.00013"
"3.17400","0.26463","0.00011"
"3.18000","0.26517","0.00010"
"3.18600","0.26564","0.00017"
"3.19200","0.26612","0.00031"
"3.19800","0.26660","0.00035"
"3.20400","0.26714","0.00035"
"3.21000","0.26762","0.00033"
"3.21600","0.26810","0.00039"
"3.22200","0.26863","0.00052"
