End date,"1/8/2017"
Specimen label,"11AT_86"
Maximum Load,"0.17094",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00013"
"0.00600","0.00000","-0.00024"
"0.01200","0.00006","-0.00027"
"0.01800","0.00012","-0.00020"
"0.02400","0.00024","-0.00006"
"0.03000","0.00036","0.00010"
"0.03600","0.00054","0.00026"
"0.04200","0.00072","0.00037"
"0.04800","0.00096","0.00043"
"0.05400","0.00120","0.00041"
"0.06000","0.00149","0.00032"
"0.06600","0.00179","0.00021"
"0.07200","0.00209","0.00013"
"0.07800","0.00251","0.00003"
"0.08400","0.00287","0.00004"
"0.09000","0.00329","0.00011"
"0.09600","0.00371","0.00008"
"0.10200","0.00419","0.00008"
"0.10800","0.00466","0.00009"
"0.11400","0.00520","0.00030"
"0.12000","0.00568","0.00054"
"0.12600","0.00622","0.00060"
"0.13200","0.00682","0.00059"
"0.13800","0.00741","0.00053"
"0.14400","0.00801","0.00044"
"0.15000","0.00861","0.00046"
"0.15600","0.00921","0.00053"
"0.16200","0.00987","0.00061"
"0.16800","0.01052","0.00062"
"0.17400","0.01112","0.00055"
"0.18000","0.01178","0.00042"
"0.18600","0.01244","0.00028"
"0.19200","0.01309","0.00026"
"0.19800","0.01375","0.00022"
"0.20400","0.01441","0.00017"
"0.21000","0.01507","0.00012"
"0.21600","0.01572","-0.00005"
"0.22200","0.01638","-0.00026"
"0.22800","0.01704","-0.00049"
"0.23400","0.01764","-0.00060"
"0.24000","0.01830","-0.00051"
"0.24600","0.01895","-0.00032"
"0.25200","0.01955","-0.00023"
"0.25800","0.02021","-0.00029"
"0.26400","0.02081","-0.00024"
"0.27000","0.02140","-0.00006"
"0.27600","0.02206","0.00020"
"0.28200","0.02266","0.00044"
"0.28800","0.02326","0.00065"
"0.29400","0.02380","0.00067"
"0.30000","0.02439","0.00049"
"0.30600","0.02499","0.00027"
"0.31200","0.02553","0.00015"
"0.31800","0.02613","0.00015"
"0.32400","0.02667","0.00015"
"0.33000","0.02720","0.00012"
"0.33600","0.02780","0.00012"
"0.34200","0.02834","0.00009"
"0.34800","0.02888","-0.00001"
"0.35400","0.02942","0.00006"
"0.36000","0.02989","0.00015"
"0.36600","0.03043","0.00018"
"0.37200","0.03097","0.00021"
"0.37800","0.03151","0.00019"
"0.38400","0.03205","0.00013"
"0.39000","0.03253","0.00013"
"0.39600","0.03306","0.00018"
"0.40200","0.03360","0.00028"
"0.40800","0.03408","0.00039"
"0.41400","0.03462","0.00040"
"0.42000","0.03510","0.00046"
"0.42600","0.03563","0.00049"
"0.43200","0.03611","0.00039"
"0.43800","0.03665","0.00034"
"0.44400","0.03713","0.00040"
"0.45000","0.03767","0.00044"
"0.45600","0.03815","0.00045"
"0.46200","0.03862","0.00049"
"0.46800","0.03916","0.00050"
"0.47400","0.03964","0.00049"
"0.48000","0.04012","0.00038"
"0.48600","0.04066","0.00019"
"0.49200","0.04114","0.00005"
"0.49800","0.04167","-0.00010"
"0.50400","0.04215","-0.00019"
"0.51000","0.04269","-0.00022"
"0.51600","0.04317","-0.00020"
"0.52200","0.04365","-0.00027"
"0.52800","0.04418","-0.00026"
"0.53400","0.04466","-0.00019"
"0.54000","0.04520","-0.00013"
"0.54600","0.04568","-0.00008"
"0.55200","0.04622","0.00003"
"0.55800","0.04670","0.00017"
"0.56400","0.04717","0.00019"
"0.57000","0.04771","0.00014"
"0.57600","0.04819","0.00006"
"0.58200","0.04867","-0.00003"
"0.58800","0.04921","-0.00011"
"0.59400","0.04969","-0.00002"
"0.60000","0.05022","0.00004"
"0.60600","0.05070","0.00011"
"0.61200","0.05124","0.00018"
"0.61800","0.05172","0.00011"
"0.62400","0.05220","0.00007"
"0.63000","0.05273","0.00007"
"0.63600","0.05321","0.00008"
"0.64200","0.05369","0.00003"
"0.64800","0.05417","-0.00004"
"0.65400","0.05471","0.00000"
"0.66000","0.05519","0.00007"
"0.66600","0.05566","0.00001"
"0.67200","0.05620","-0.00002"
"0.67800","0.05668","0.00000"
"0.68400","0.05716","-0.00003"
"0.69000","0.05770","-0.00009"
"0.69600","0.05818","-0.00009"
"0.70200","0.05865","-0.00008"
"0.70800","0.05913","-0.00006"
"0.71400","0.05961","0.00005"
"0.72000","0.06015","0.00010"
"0.72600","0.06063","0.00008"
"0.73200","0.06110","0.00004"
"0.73800","0.06164","0.00002"
"0.74400","0.06212","-0.00001"
"0.75000","0.06266","0.00000"
"0.75600","0.06314","0.00002"
"0.76200","0.06368","0.00005"
"0.76800","0.06421","-0.00002"
"0.77400","0.06469","-0.00001"
"0.78000","0.06517","0.00016"
"0.78600","0.06571","0.00029"
"0.79200","0.06619","0.00045"
"0.79800","0.06667","0.00059"
"0.80400","0.06714","0.00070"
"0.81000","0.06768","0.00077"
"0.81600","0.06816","0.00073"
"0.82200","0.06870","0.00076"
"0.82800","0.06918","0.00069"
"0.83400","0.06965","0.00052"
"0.84000","0.07013","0.00028"
"0.84600","0.07061","0.00021"
"0.85200","0.07115","0.00031"
"0.85800","0.07163","0.00034"
"0.86400","0.07211","0.00039"
"0.87000","0.07264","0.00031"
"0.87600","0.07312","0.00027"
"0.88200","0.07366","0.00014"
"0.88800","0.07414","0.00009"
"0.89400","0.07468","0.00017"
"0.90000","0.07516","0.00018"
"0.90600","0.07569","0.00015"
"0.91200","0.07617","0.00012"
"0.91800","0.07665","0.00011"
"0.92400","0.07713","0.00007"
"0.93000","0.07761","0.00004"
"0.93600","0.07809","0.00003"
"0.94200","0.07862","0.00003"
"0.94800","0.07910","-0.00003"
"0.95400","0.07958","-0.00008"
"0.96000","0.08006","0.00003"
"0.96600","0.08060","0.00015"
"0.97200","0.08107","0.00030"
"0.97800","0.08155","0.00034"
"0.98400","0.08209","0.00017"
"0.99000","0.08257","0.00007"
"0.99600","0.08305","0.00017"
"1.00200","0.08359","0.00032"
"1.00800","0.08406","0.00048"
"1.01400","0.08460","0.00056"
"1.02000","0.08508","0.00058"
"1.02600","0.08556","0.00053"
"1.03200","0.08610","0.00040"
"1.03800","0.08658","0.00025"
"1.04400","0.08711","0.00009"
"1.05000","0.08759","0.00002"
"1.05600","0.08813","-0.00004"
"1.06200","0.08861","-0.00006"
"1.06800","0.08915","-0.00006"
"1.07400","0.08962","-0.00010"
"1.08000","0.09010","-0.00011"
"1.08600","0.09058","0.00009"
"1.09200","0.09112","0.00028"
"1.09800","0.09160","0.00030"
"1.10400","0.09208","0.00028"
"1.11000","0.09261","0.00029"
"1.11600","0.09309","0.00022"
"1.12200","0.09363","0.00010"
"1.12800","0.09411","0.00003"
"1.13400","0.09465","0.00004"
"1.14000","0.09513","0.00014"
"1.14600","0.09566","0.00024"
"1.15200","0.09614","0.00040"
"1.15800","0.09662","0.00051"
"1.16400","0.09716","0.00063"
"1.17000","0.09770","0.00078"
"1.17600","0.09817","0.00098"
"1.18200","0.09871","0.00108"
"1.18800","0.09919","0.00107"
"1.19400","0.09973","0.00095"
"1.20000","0.10021","0.00072"
"1.20600","0.10075","0.00048"
"1.21200","0.10122","0.00037"
"1.21800","0.10170","0.00035"
"1.22400","0.10218","0.00032"
"1.23000","0.10272","0.00023"
"1.23600","0.10320","0.00015"
"1.24200","0.10368","-0.00004"
"1.24800","0.10415","-0.00011"
"1.25400","0.10463","-0.00001"
"1.26000","0.10511","0.00003"
"1.26600","0.10559","-0.00002"
"1.27200","0.10613","-0.00003"
"1.27800","0.10660","0.00003"
"1.28400","0.10714","0.00006"
"1.29000","0.10762","0.00011"
"1.29600","0.10810","0.00017"
"1.30200","0.10864","0.00027"
"1.30800","0.10912","0.00029"
"1.31400","0.10959","0.00030"
"1.32000","0.11013","0.00029"
"1.32600","0.11061","0.00020"
"1.33200","0.11115","0.00014"
"1.33800","0.11163","0.00017"
"1.34400","0.11217","0.00021"
"1.35000","0.11264","0.00024"
"1.35600","0.11312","0.00022"
"1.36200","0.11360","0.00018"
"1.36800","0.11414","0.00012"
"1.37400","0.11462","0.00007"
"1.38000","0.11509","0.00005"
"1.38600","0.11563","0.00003"
"1.39200","0.11611","-0.00005"
"1.39800","0.11665","-0.00010"
"1.40400","0.11713","0.00008"
"1.41000","0.11761","0.00033"
"1.41600","0.11814","0.00058"
"1.42200","0.11862","0.00067"
"1.42800","0.11910","0.00061"
"1.43400","0.11964","0.00049"
"1.44000","0.12012","0.00034"
"1.44600","0.12060","0.00018"
"1.45200","0.12113","0.00014"
"1.45800","0.12161","0.00016"
"1.46400","0.12215","0.00017"
"1.47000","0.12263","0.00018"
"1.47600","0.12317","0.00017"
"1.48200","0.12364","0.00010"
"1.48800","0.12412","0.00017"
"1.49400","0.12460","0.00033"
"1.50000","0.12514","0.00041"
"1.50600","0.12562","0.00048"
"1.51200","0.12610","0.00047"
"1.51800","0.12657","0.00051"
"1.52400","0.12711","0.00055"
"1.53000","0.12759","0.00048"
"1.53600","0.12807","0.00040"
"1.54200","0.12855","0.00033"
"1.54800","0.12909","0.00028"
"1.55400","0.12956","0.00030"
"1.56000","0.13004","0.00034"
"1.56600","0.13052","0.00028"
"1.57200","0.13106","0.00025"
"1.57800","0.13154","0.00033"
"1.58400","0.13208","0.00045"
"1.59000","0.13255","0.00039"
"1.59600","0.13303","0.00033"
"1.60200","0.13357","0.00026"
"1.60800","0.13411","0.00027"
"1.61400","0.13459","0.00033"
"1.62000","0.13512","0.00034"
"1.62600","0.13560","0.00044"
"1.63200","0.13614","0.00041"
"1.63800","0.13662","0.00037"
"1.64400","0.13710","0.00034"
"1.65000","0.13758","0.00042"
"1.65600","0.13811","0.00056"
"1.66200","0.13859","0.00061"
"1.66800","0.13907","0.00056"
"1.67400","0.13955","0.00037"
"1.68000","0.14009","0.00014"
"1.68600","0.14057","0.00003"
"1.69200","0.14110","0.00016"
"1.69800","0.14158","0.00026"
"1.70400","0.14212","0.00035"
"1.71000","0.14260","0.00049"
"1.71600","0.14314","0.00055"
"1.72200","0.14361","0.00052"
"1.72800","0.14415","0.00042"
"1.73400","0.14463","0.00031"
"1.74000","0.14517","0.00029"
"1.74600","0.14565","0.00031"
"1.75200","0.14619","0.00035"
"1.75800","0.14666","0.00029"
"1.76400","0.14720","0.00018"
"1.77000","0.14768","0.00015"
"1.77600","0.14816","0.00017"
"1.78200","0.14864","0.00015"
"1.78800","0.14912","0.00010"
"1.79400","0.14965","0.00015"
"1.80000","0.15013","0.00020"
"1.80600","0.15061","0.00030"
"1.81200","0.15109","0.00047"
"1.81800","0.15157","0.00064"
"1.82400","0.15210","0.00065"
"1.83000","0.15258","0.00061"
"1.83600","0.15312","0.00057"
"1.84200","0.15360","0.00054"
"1.84800","0.15408","0.00047"
"1.85400","0.15462","0.00043"
"1.86000","0.15509","0.00039"
"1.86600","0.15563","0.00035"
"1.87200","0.15611","0.00038"
"1.87800","0.15665","0.00026"
"1.88400","0.15713","0.00023"
"1.89000","0.15766","0.00032"
"1.89600","0.15814","0.00041"
"1.90200","0.15868","0.00048"
"1.90800","0.15916","0.00053"
"1.91400","0.15970","0.00052"
"1.92000","0.16018","0.00052"
"1.92600","0.16065","0.00059"
"1.93200","0.16119","0.00050"
"1.93800","0.16167","0.00045"
"1.94400","0.16215","0.00047"
"1.95000","0.16263","0.00050"
"1.95600","0.16317","0.00061"
"1.96200","0.16364","0.00062"
"1.96800","0.16412","0.00056"
"1.97400","0.16460","0.00056"
"1.98000","0.16508","0.00064"
"1.98600","0.16562","0.00066"
"1.99200","0.16610","0.00056"
"1.99800","0.16657","0.00048"
"2.00400","0.16711","0.00047"
"2.01000","0.16759","0.00040"
"2.01600","0.16807","0.00033"
"2.02200","0.16861","0.00035"
"2.02800","0.16908","0.00043"
"2.03400","0.16956","0.00044"
"2.04000","0.17010","0.00029"
"2.04600","0.17058","0.00011"
"2.05200","0.17112","0.00010"
"2.05800","0.17160","0.00009"
"2.06400","0.17207","0.00011"
"2.07000","0.17261","0.00013"
"2.07600","0.17309","0.00013"
"2.08200","0.17357","0.00014"
"2.08800","0.17405","0.00027"
"2.09400","0.17453","0.00045"
"2.10000","0.17506","0.00052"
"2.10600","0.17554","0.00045"
"2.11200","0.17602","0.00048"
"2.11800","0.17656","0.00055"
"2.12400","0.17704","0.00053"
"2.13000","0.17752","0.00049"
"2.13600","0.17805","0.00058"
