End date,"1/8/2017"
Specimen label,"20DT_UNK"
Maximum Load,"0.19153",N

Time,Extension,Load
(s),(mm),(N)
"1.08000","0.09016","0.00085"
"1.08600","0.09070","0.00087"
"1.09200","0.09118","0.00094"
"1.09800","0.09172","0.00097"
"1.10400","0.09220","0.00109"
"1.11000","0.09273","0.00116"
"1.11600","0.09321","0.00113"
"1.12200","0.09375","0.00121"
"1.12800","0.09423","0.00137"
"1.13400","0.09477","0.00138"
"1.14000","0.09524","0.00128"
"1.14600","0.09572","0.00122"
"1.15200","0.09626","0.00129"
"1.15800","0.09674","0.00134"
"1.16400","0.09722","0.00141"
"1.17000","0.09776","0.00153"
"1.17600","0.09823","0.00164"
"1.18200","0.09871","0.00167"
"1.18800","0.09919","0.00176"
"1.19400","0.09967","0.00174"
"1.20000","0.10021","0.00156"
"1.20600","0.10069","0.00147"
"1.21200","0.10116","0.00142"
"1.21800","0.10164","0.00141"
"1.22400","0.10218","0.00140"
"1.23000","0.10266","0.00141"
"1.23600","0.10320","0.00151"
"1.24200","0.10368","0.00159"
"1.24800","0.10421","0.00170"
"1.25400","0.10469","0.00177"
"1.26000","0.10523","0.00182"
"1.26600","0.10571","0.00178"
"1.27200","0.10619","0.00179"
"1.27800","0.10672","0.00180"
"1.28400","0.10720","0.00175"
"1.29000","0.10768","0.00169"
"1.29600","0.10822","0.00163"
"1.30200","0.10870","0.00161"
"1.30800","0.10918","0.00164"
"1.31400","0.10971","0.00171"
"1.32000","0.11019","0.00186"
"1.32600","0.11073","0.00196"
"1.33200","0.11121","0.00200"
"1.33800","0.11169","0.00189"
"1.34400","0.11217","0.00180"
"1.35000","0.11270","0.00185"
"1.35600","0.11318","0.00184"
"1.36200","0.11366","0.00183"
"1.36800","0.11420","0.00178"
"1.37400","0.11468","0.00179"
"1.38000","0.11521","0.00191"
"1.38600","0.11569","0.00211"
"1.39200","0.11617","0.00214"
"1.39800","0.11671","0.00194"
"1.40400","0.11719","0.00177"
"1.41000","0.11767","0.00169"
"1.41600","0.11820","0.00162"
"1.42200","0.11868","0.00158"
"1.42800","0.11916","0.00161"
"1.43400","0.11964","0.00172"
"1.44000","0.12018","0.00180"
"1.44600","0.12066","0.00179"
"1.45200","0.12113","0.00179"
"1.45800","0.12167","0.00171"
"1.46400","0.12215","0.00171"
"1.47000","0.12263","0.00187"
"1.47600","0.12311","0.00214"
"1.48200","0.12364","0.00238"
"1.48800","0.12412","0.00248"
"1.49400","0.12460","0.00250"
"1.50000","0.12514","0.00252"
"1.50600","0.12562","0.00245"
"1.51200","0.12610","0.00243"
"1.51800","0.12663","0.00249"
"1.52400","0.12711","0.00255"
"1.53000","0.12765","0.00252"
"1.53600","0.12813","0.00247"
"1.54200","0.12861","0.00237"
"1.54800","0.12915","0.00230"
"1.55400","0.12962","0.00232"
"1.56000","0.13016","0.00238"
"1.56600","0.13064","0.00231"
"1.57200","0.13112","0.00215"
"1.57800","0.13166","0.00195"
"1.58400","0.13213","0.00182"
"1.59000","0.13267","0.00183"
"1.59600","0.13315","0.00186"
"1.60200","0.13369","0.00192"
"1.60800","0.13417","0.00190"
"1.61400","0.13471","0.00184"
"1.62000","0.13518","0.00188"
"1.62600","0.13566","0.00201"
"1.63200","0.13620","0.00213"
"1.63800","0.13668","0.00217"
"1.64400","0.13722","0.00214"
"1.65000","0.13770","0.00205"
"1.65600","0.13823","0.00206"
"1.66200","0.13871","0.00205"
"1.66800","0.13925","0.00205"
"1.67400","0.13973","0.00214"
"1.68000","0.14027","0.00219"
"1.68600","0.14074","0.00220"
"1.69200","0.14128","0.00215"
"1.69800","0.14176","0.00207"
"1.70400","0.14224","0.00209"
"1.71000","0.14272","0.00218"
"1.71600","0.14320","0.00228"
"1.72200","0.14373","0.00236"
"1.72800","0.14421","0.00240"
"1.73400","0.14469","0.00245"
"1.74000","0.14523","0.00242"
"1.74600","0.14571","0.00230"
"1.75200","0.14625","0.00222"
"1.75800","0.14672","0.00210"
"1.76400","0.14720","0.00200"
"1.77000","0.14768","0.00199"
"1.77600","0.14822","0.00211"
"1.78200","0.14870","0.00221"
"1.78800","0.14923","0.00233"
"1.79400","0.14971","0.00244"
"1.80000","0.15019","0.00251"
"1.80600","0.15073","0.00260"
"1.81200","0.15121","0.00265"
"1.81800","0.15169","0.00276"
"1.82400","0.15222","0.00282"
"1.83000","0.15270","0.00275"
"1.83600","0.15318","0.00272"
"1.84200","0.15372","0.00268"
"1.84800","0.15420","0.00260"
"1.85400","0.15468","0.00260"
"1.86000","0.15521","0.00267"
"1.86600","0.15569","0.00270"
"1.87200","0.15623","0.00272"
"1.87800","0.15671","0.00272"
"1.88400","0.15725","0.00265"
"1.89000","0.15772","0.00251"
"1.89600","0.15820","0.00238"
"1.90200","0.15874","0.00234"
"1.90800","0.15922","0.00238"
"1.91400","0.15970","0.00253"
"1.92000","0.16024","0.00271"
"1.92600","0.16071","0.00279"
"1.93200","0.16119","0.00279"
"1.93800","0.16173","0.00281"
"1.94400","0.16221","0.00292"
"1.95000","0.16269","0.00300"
"1.95600","0.16317","0.00307"
"1.96200","0.16370","0.00308"
"1.96800","0.16418","0.00300"
"1.97400","0.16466","0.00289"
"1.98000","0.16520","0.00281"
"1.98600","0.16568","0.00280"
"1.99200","0.16616","0.00281"
"1.99800","0.16669","0.00277"
"2.00400","0.16717","0.00270"
"2.01000","0.16765","0.00274"
"2.01600","0.16819","0.00281"
"2.02200","0.16867","0.00288"
"2.02800","0.16914","0.00293"
"2.03400","0.16968","0.00295"
"2.04000","0.17016","0.00294"
"2.04600","0.17064","0.00286"
"2.05200","0.17112","0.00281"
"2.05800","0.17166","0.00279"
"2.06400","0.17213","0.00274"
"2.07000","0.17261","0.00276"
"2.07600","0.17309","0.00279"
"2.08200","0.17363","0.00277"
"2.08800","0.17411","0.00276"
"2.09400","0.17459","0.00277"
"2.10000","0.17512","0.00284"
"2.10600","0.17560","0.00286"
"2.11200","0.17614","0.00276"
"2.11800","0.17662","0.00272"
"2.12400","0.17716","0.00267"
"2.13000","0.17763","0.00262"
"2.13600","0.17817","0.00264"
"2.14200","0.17871","0.00269"
"2.14800","0.17919","0.00274"
"2.15400","0.17973","0.00277"
"2.16000","0.18021","0.00275"
"2.16600","0.18074","0.00268"
"2.17200","0.18122","0.00266"
"2.17800","0.18176","0.00263"
"2.18400","0.18224","0.00250"
"2.19000","0.18278","0.00240"
"2.19600","0.18325","0.00227"
"2.20200","0.18373","0.00220"
"2.20800","0.18427","0.00224"
"2.21400","0.18475","0.00243"
"2.22000","0.18523","0.00259"
"2.22600","0.18571","0.00267"
"2.23200","0.18624","0.00266"
"2.23800","0.18672","0.00269"
"2.24400","0.18720","0.00278"
"2.25000","0.18774","0.00295"
"2.25600","0.18822","0.00314"
"2.26200","0.18876","0.00326"
"2.26800","0.18923","0.00331"
"2.27400","0.18971","0.00326"
"2.28000","0.19025","0.00311"
"2.28600","0.19073","0.00308"
"2.29200","0.19121","0.00308"
"2.29800","0.19175","0.00307"
"2.30400","0.19222","0.00301"
