End date,"1/8/2017"
Specimen label,"19AG_UNK"
Maximum Load,"0.01075",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","0.09220","0.00787"
"1.11000","0.09273","0.00784"
"1.11600","0.09321","0.00786"
"1.12200","0.09375","0.00788"
"1.12800","0.09423","0.00795"
"1.13400","0.09471","0.00792"
"1.14000","0.09524","0.00782"
"1.14600","0.09572","0.00778"
"1.15200","0.09620","0.00775"
"1.15800","0.09668","0.00767"
"1.16400","0.09722","0.00770"
"1.17000","0.09770","0.00788"
"1.17600","0.09817","0.00795"
"1.18200","0.09871","0.00801"
"1.18800","0.09919","0.00802"
"1.19400","0.09967","0.00799"
"1.20000","0.10021","0.00791"
"1.20600","0.10069","0.00779"
"1.21200","0.10116","0.00774"
"1.21800","0.10170","0.00773"
"1.22400","0.10218","0.00770"
"1.23000","0.10272","0.00766"
"1.23600","0.10320","0.00768"
"1.24200","0.10373","0.00770"
"1.24800","0.10421","0.00775"
"1.25400","0.10475","0.00783"
"1.26000","0.10523","0.00787"
"1.26600","0.10577","0.00778"
"1.27200","0.10625","0.00771"
"1.27800","0.10672","0.00770"
"1.28400","0.10720","0.00764"
"1.29000","0.10774","0.00759"
"1.29600","0.10822","0.00759"
"1.30200","0.10870","0.00762"
"1.30800","0.10918","0.00759"
"1.31400","0.10965","0.00762"
"1.32000","0.11019","0.00774"
"1.32600","0.11067","0.00779"
"1.33200","0.11115","0.00780"
"1.33800","0.11169","0.00783"
"1.34400","0.11217","0.00783"
"1.35000","0.11264","0.00781"
"1.35600","0.11318","0.00775"
"1.36200","0.11366","0.00772"
"1.36800","0.11414","0.00778"
"1.37400","0.11468","0.00778"
"1.38000","0.11515","0.00779"
"1.38600","0.11569","0.00779"
"1.39200","0.11617","0.00778"
"1.39800","0.11671","0.00779"
"1.40400","0.11719","0.00779"
"1.41000","0.11773","0.00778"
"1.41600","0.11820","0.00771"
"1.42200","0.11868","0.00757"
"1.42800","0.11916","0.00749"
"1.43400","0.11970","0.00748"
"1.44000","0.12018","0.00750"
"1.44600","0.12066","0.00752"
"1.45200","0.12113","0.00753"
"1.45800","0.12161","0.00749"
"1.46400","0.12215","0.00751"
"1.47000","0.12263","0.00758"
"1.47600","0.12311","0.00761"
"1.48200","0.12364","0.00770"
"1.48800","0.12412","0.00774"
"1.49400","0.12466","0.00778"
"1.50000","0.12514","0.00781"
"1.50600","0.12562","0.00773"
"1.51200","0.12610","0.00768"
"1.51800","0.12663","0.00768"
"1.52400","0.12711","0.00767"
"1.53000","0.12765","0.00776"
"1.53600","0.12813","0.00774"
"1.54200","0.12867","0.00767"
"1.54800","0.12915","0.00769"
"1.55400","0.12968","0.00771"
"1.56000","0.13016","0.00776"
"1.56600","0.13064","0.00780"
"1.57200","0.13118","0.00776"
"1.57800","0.13166","0.00768"
"1.58400","0.13213","0.00764"
"1.59000","0.13261","0.00760"
"1.59600","0.13309","0.00761"
"1.60200","0.13363","0.00765"
"1.60800","0.13411","0.00764"
"1.61400","0.13459","0.00763"
"1.62000","0.13512","0.00759"
"1.62600","0.13560","0.00754"
"1.63200","0.13614","0.00755"
"1.63800","0.13662","0.00758"
"1.64400","0.13710","0.00760"
"1.65000","0.13764","0.00763"
"1.65600","0.13811","0.00770"
"1.66200","0.13865","0.00784"
"1.66800","0.13913","0.00798"
"1.67400","0.13967","0.00802"
