End date,"12/16/2016"
Specimen label,"15BT_21"
Maximum Load,"0.21588",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00002"
"0.00600","0.00006","-0.00009"
"0.01200","0.00006","-0.00005"
"0.01800","0.00012","-0.00011"
"0.02400","0.00018","-0.00024"
"0.03000","0.00030","-0.00030"
"0.03600","0.00048","-0.00030"
"0.04200","0.00060","-0.00026"
"0.04800","0.00084","-0.00014"
"0.05400","0.00108","-0.00008"
"0.06000","0.00132","-0.00004"
"0.06600","0.00155","-0.00018"
"0.07200","0.00185","-0.00022"
"0.07800","0.00221","-0.00012"
"0.08400","0.00251","-0.00011"
"0.09000","0.00287","-0.00013"
"0.09600","0.00323","-0.00010"
"0.10200","0.00365","-0.00018"
"0.10800","0.00407","-0.00018"
"0.11400","0.00448","-0.00009"
"0.12000","0.00496","-0.00005"
"0.12600","0.00544","0.00000"
"0.13200","0.00598","0.00003"
"0.13800","0.00652","0.00002"
"0.14400","0.00711","0.00016"
"0.15000","0.00771","0.00026"
"0.15600","0.00831","0.00035"
"0.16200","0.00891","0.00045"
"0.16800","0.00957","0.00049"
"0.17400","0.01022","0.00041"
"0.18000","0.01088","0.00031"
"0.18600","0.01154","0.00021"
"0.19200","0.01220","0.00020"
"0.19800","0.01291","0.00023"
"0.20400","0.01357","0.00018"
"0.21000","0.01423","0.00013"
"0.21600","0.01495","0.00004"
"0.22200","0.01561","-0.00003"
"0.22800","0.01632","0.00008"
"0.23400","0.01698","0.00006"
"0.24000","0.01770","-0.00005"
"0.24600","0.01836","-0.00013"
"0.25200","0.01901","-0.00028"
"0.25800","0.01967","-0.00043"
"0.26400","0.02033","-0.00053"
"0.27000","0.02099","-0.00063"
"0.27600","0.02164","-0.00059"
"0.28200","0.02230","-0.00048"
"0.28800","0.02290","-0.00040"
"0.29400","0.02350","-0.00028"
"0.30000","0.02415","-0.00028"
"0.30600","0.02475","-0.00030"
"0.31200","0.02535","-0.00026"
"0.31800","0.02595","-0.00027"
"0.32400","0.02649","-0.00033"
"0.33000","0.02708","-0.00032"
"0.33600","0.02768","-0.00027"
"0.34200","0.02822","-0.00009"
"0.34800","0.02882","0.00007"
"0.35400","0.02936","0.00010"
"0.36000","0.02989","0.00015"
"0.36600","0.03043","0.00016"
"0.37200","0.03097","0.00003"
"0.37800","0.03157","-0.00019"
"0.38400","0.03205","-0.00035"
"0.39000","0.03259","-0.00032"
"0.39600","0.03312","-0.00010"
"0.40200","0.03366","0.00001"
"0.40800","0.03420","0.00011"
"0.41400","0.03468","0.00020"
"0.42000","0.03522","0.00013"
"0.42600","0.03575","0.00011"
"0.43200","0.03623","0.00011"
"0.43800","0.03677","0.00001"
"0.44400","0.03731","-0.00003"
"0.45000","0.03779","-0.00005"
"0.45600","0.03833","-0.00018"
"0.46200","0.03880","-0.00030"
"0.46800","0.03934","-0.00031"
"0.47400","0.03982","-0.00026"
"0.48000","0.04036","-0.00021"
"0.48600","0.04084","-0.00021"
"0.49200","0.04131","-0.00021"
"0.49800","0.04185","-0.00018"
"0.50400","0.04233","-0.00023"
"0.51000","0.04281","-0.00012"
"0.51600","0.04335","-0.00008"
"0.52200","0.04383","-0.00004"
"0.52800","0.04430","-0.00006"
"0.53400","0.04484","-0.00008"
"0.54000","0.04532","-0.00010"
"0.54600","0.04580","-0.00011"
"0.55200","0.04634","-0.00012"
"0.55800","0.04682","-0.00017"
"0.56400","0.04729","-0.00008"
"0.57000","0.04777","0.00001"
"0.57600","0.04831","0.00012"
"0.58200","0.04879","0.00019"
"0.58800","0.04927","0.00022"
"0.59400","0.04980","0.00027"
"0.60000","0.05028","0.00020"
"0.60600","0.05076","0.00012"
"0.61200","0.05124","0.00008"
"0.61800","0.05178","-0.00003"
"0.62400","0.05226","-0.00009"
"0.63000","0.05273","-0.00017"
"0.63600","0.05321","-0.00024"
"0.64200","0.05375","-0.00015"
"0.64800","0.05423","-0.00001"
"0.65400","0.05471","0.00004"
"0.66000","0.05519","0.00007"
"0.66600","0.05572","0.00011"
"0.67200","0.05620","0.00009"
"0.67800","0.05668","0.00019"
"0.68400","0.05722","0.00027"
"0.69000","0.05770","0.00039"
"0.69600","0.05818","0.00045"
"0.70200","0.05871","0.00027"
"0.70800","0.05919","0.00022"
"0.71400","0.05967","0.00020"
"0.72000","0.06021","0.00014"
"0.72600","0.06069","0.00013"
"0.73200","0.06122","0.00008"
"0.73800","0.06170","-0.00005"
"0.74400","0.06224","-0.00009"
"0.75000","0.06272","-0.00009"
"0.75600","0.06326","-0.00013"
"0.76200","0.06374","-0.00006"
"0.76800","0.06421","-0.00003"
"0.77400","0.06469","-0.00003"
"0.78000","0.06523","0.00001"
"0.78600","0.06571","-0.00005"
"0.79200","0.06619","-0.00002"
"0.79800","0.06667","0.00008"
"0.80400","0.06720","0.00009"
"0.81000","0.06768","0.00015"
"0.81600","0.06816","0.00025"
"0.82200","0.06870","0.00036"
"0.82800","0.06918","0.00052"
"0.83400","0.06971","0.00051"
"0.84000","0.07019","0.00052"
"0.84600","0.07067","0.00064"
"0.85200","0.07121","0.00062"
"0.85800","0.07169","0.00059"
"0.86400","0.07223","0.00049"
"0.87000","0.07270","0.00038"
"0.87600","0.07324","0.00040"
"0.88200","0.07372","0.00036"
"0.88800","0.07420","0.00023"
"0.89400","0.07474","0.00019"
"0.90000","0.07522","0.00008"
"0.90600","0.07569","-0.00007"
"0.91200","0.07623","0.00002"
"0.91800","0.07671","0.00003"
"0.92400","0.07719","0.00006"
"0.93000","0.07767","0.00005"
"0.93600","0.07820","-0.00005"
"0.94200","0.07868","0.00003"
"0.94800","0.07916","0.00009"
"0.95400","0.07970","0.00009"
"0.96000","0.08018","0.00007"
"0.96600","0.08072","0.00001"
"0.97200","0.08119","-0.00004"
"0.97800","0.08167","0.00004"
"0.98400","0.08221","0.00017"
"0.99000","0.08269","0.00023"
"0.99600","0.08323","0.00035"
"1.00200","0.08371","0.00038"
"1.00800","0.08418","0.00044"
"1.01400","0.08472","0.00045"
"1.02000","0.08520","0.00037"
"1.02600","0.08574","0.00038"
"1.03200","0.08622","0.00039"
"1.03800","0.08675","0.00031"
"1.04400","0.08723","0.00028"
"1.05000","0.08771","0.00025"
"1.05600","0.08825","0.00026"
"1.06200","0.08873","0.00043"
"1.06800","0.08927","0.00048"
"1.07400","0.08974","0.00053"
"1.08000","0.09022","0.00056"
"1.08600","0.09076","0.00051"
"1.09200","0.09124","0.00049"
"1.09800","0.09178","0.00044"
"1.10400","0.09226","0.00039"
"1.11000","0.09273","0.00043"
"1.11600","0.09321","0.00037"
"1.12200","0.09375","0.00031"
"1.12800","0.09423","0.00030"
"1.13400","0.09477","0.00020"
"1.14000","0.09524","0.00015"
"1.14600","0.09572","0.00015"
"1.15200","0.09626","0.00010"
"1.15800","0.09674","0.00008"
"1.16400","0.09728","0.00015"
"1.17000","0.09776","0.00016"
"1.17600","0.09829","0.00024"
"1.18200","0.09877","0.00038"
"1.18800","0.09925","0.00038"
"1.19400","0.09973","0.00039"
"1.20000","0.10027","0.00039"
"1.20600","0.10075","0.00037"
"1.21200","0.10122","0.00038"
"1.21800","0.10176","0.00026"
"1.22400","0.10224","0.00020"
"1.23000","0.10272","0.00024"
"1.23600","0.10326","0.00020"
"1.24200","0.10373","0.00023"
"1.24800","0.10421","0.00021"
"1.25400","0.10469","0.00015"
"1.26000","0.10523","0.00020"
"1.26600","0.10571","0.00022"
"1.27200","0.10619","0.00020"
"1.27800","0.10672","0.00027"
"1.28400","0.10720","0.00033"
"1.29000","0.10768","0.00038"
"1.29600","0.10822","0.00044"
"1.30200","0.10870","0.00037"
"1.30800","0.10924","0.00038"
"1.31400","0.10971","0.00037"
"1.32000","0.11019","0.00025"
"1.32600","0.11073","0.00018"
"1.33200","0.11121","0.00003"
"1.33800","0.11169","-0.00010"
"1.34400","0.11217","-0.00008"
"1.35000","0.11270","-0.00008"
"1.35600","0.11318","-0.00003"
"1.36200","0.11366","0.00010"
"1.36800","0.11414","0.00021"
"1.37400","0.11468","0.00026"
"1.38000","0.11515","0.00036"
"1.38600","0.11569","0.00034"
"1.39200","0.11617","0.00031"
"1.39800","0.11665","0.00022"
"1.40400","0.11719","0.00014"
"1.41000","0.11767","0.00020"
"1.41600","0.11814","0.00020"
"1.42200","0.11868","0.00020"
"1.42800","0.11916","0.00019"
"1.43400","0.11964","0.00010"
"1.44000","0.12018","0.00000"
"1.44600","0.12066","-0.00011"
"1.45200","0.12119","-0.00019"
"1.45800","0.12167","-0.00010"
"1.46400","0.12221","0.00007"
"1.47000","0.12269","0.00014"
"1.47600","0.12317","0.00022"
"1.48200","0.12370","0.00034"
"1.48800","0.12418","0.00034"
"1.49400","0.12466","0.00034"
"1.50000","0.12520","0.00023"
"1.50600","0.12568","0.00011"
"1.51200","0.12616","0.00005"
"1.51800","0.12663","0.00002"
"1.52400","0.12717","0.00009"
"1.53000","0.12765","0.00022"
"1.53600","0.12819","0.00019"
"1.54200","0.12867","0.00016"
"1.54800","0.12915","0.00018"
"1.55400","0.12968","0.00014"
"1.56000","0.13016","0.00013"
"1.56600","0.13070","0.00014"
"1.57200","0.13118","0.00017"
"1.57800","0.13172","0.00027"
"1.58400","0.13219","0.00028"
"1.59000","0.13273","0.00037"
"1.59600","0.13321","0.00052"
"1.60200","0.13375","0.00049"
"1.60800","0.13423","0.00050"
"1.61400","0.13477","0.00059"
"1.62000","0.13524","0.00060"
"1.62600","0.13572","0.00058"
"1.63200","0.13626","0.00049"
"1.63800","0.13674","0.00038"
"1.64400","0.13728","0.00038"
"1.65000","0.13776","0.00031"
"1.65600","0.13823","0.00030"
"1.66200","0.13871","0.00034"
"1.66800","0.13925","0.00031"
"1.67400","0.13973","0.00027"
"1.68000","0.14021","0.00026"
"1.68600","0.14068","0.00023"
"1.69200","0.14122","0.00028"
"1.69800","0.14170","0.00031"
"1.70400","0.14218","0.00036"
"1.71000","0.14272","0.00050"
"1.71600","0.14320","0.00059"
"1.72200","0.14367","0.00062"
"1.72800","0.14421","0.00065"
"1.73400","0.14469","0.00046"
"1.74000","0.14523","0.00022"
"1.74600","0.14571","-0.00004"
"1.75200","0.14619","-0.00021"
"1.75800","0.14672","-0.00022"
"1.76400","0.14720","-0.00005"
"1.77000","0.14768","0.00012"
"1.77600","0.14822","0.00024"
"1.78200","0.14870","0.00023"
"1.78800","0.14917","0.00023"
"1.79400","0.14965","0.00022"
"1.80000","0.15019","0.00012"
"1.80600","0.15067","0.00005"
"1.81200","0.15115","0.00011"
"1.81800","0.15169","0.00028"
"1.82400","0.15216","0.00050"
"1.83000","0.15264","0.00070"
"1.83600","0.15318","0.00069"
"1.84200","0.15366","0.00074"
"1.84800","0.15420","0.00074"
"1.85400","0.15468","0.00067"
"1.86000","0.15515","0.00059"
"1.86600","0.15569","0.00042"
"1.87200","0.15617","0.00026"
"1.87800","0.15671","0.00019"
"1.88400","0.15719","0.00015"
"1.89000","0.15766","0.00022"
"1.89600","0.15820","0.00034"
"1.90200","0.15868","0.00029"
"1.90800","0.15916","0.00027"
"1.91400","0.15970","0.00026"
"1.92000","0.16018","0.00022"
"1.92600","0.16065","0.00023"
"1.93200","0.16119","0.00035"
"1.93800","0.16167","0.00038"
"1.94400","0.16215","0.00040"
"1.95000","0.16263","0.00043"
"1.95600","0.16317","0.00050"
"1.96200","0.16364","0.00058"
"1.96800","0.16412","0.00047"
"1.97400","0.16466","0.00032"
"1.98000","0.16514","0.00036"
"1.98600","0.16562","0.00035"
"1.99200","0.16616","0.00043"
"1.99800","0.16663","0.00051"
"2.00400","0.16711","0.00057"
"2.01000","0.16765","0.00080"
"2.01600","0.16819","0.00090"
"2.02200","0.16867","0.00096"
"2.02800","0.16920","0.00105"
"2.03400","0.16974","0.00099"
"2.04000","0.17022","0.00092"
"2.04600","0.17070","0.00082"
"2.05200","0.17124","0.00072"
"2.05800","0.17172","0.00069"
"2.06400","0.17219","0.00065"
"2.07000","0.17273","0.00054"
"2.07600","0.17321","0.00061"
"2.08200","0.17369","0.00062"
"2.08800","0.17423","0.00054"
"2.09400","0.17471","0.00052"
"2.10000","0.17524","0.00049"
"2.10600","0.17572","0.00049"
"2.11200","0.17620","0.00053"
"2.11800","0.17668","0.00048"
"2.12400","0.17722","0.00040"
"2.13000","0.17769","0.00039"
"2.13600","0.17817","0.00030"
"2.14200","0.17871","0.00022"
"2.14800","0.17919","0.00019"
"2.15400","0.17973","0.00024"
"2.16000","0.18021","0.00043"
"2.16600","0.18074","0.00051"
"2.17200","0.18122","0.00054"
"2.17800","0.18176","0.00054"
"2.18400","0.18224","0.00052"
"2.19000","0.18272","0.00052"
"2.19600","0.18325","0.00055"
"2.20200","0.18373","0.00059"
"2.20800","0.18421","0.00062"
"2.21400","0.18469","0.00059"
"2.22000","0.18523","0.00055"
"2.22600","0.18571","0.00050"
