End date,"12/16/2016"
Specimen label,"15AG_19"
Maximum Load,"0.22100",N

Time,Extension,Load
(s),(mm),(N)
"0.93000","0.07779","-0.00002"
"0.93600","0.07826","0.00000"
"0.94200","0.07880","0.00018"
"0.94800","0.07928","0.00032"
"0.95400","0.07982","0.00041"
"0.96000","0.08030","0.00042"
"0.96600","0.08084","0.00035"
"0.97200","0.08131","0.00024"
"0.97800","0.08179","0.00013"
"0.98400","0.08233","0.00004"
"0.99000","0.08281","0.00001"
"0.99600","0.08329","0.00003"
"1.00200","0.08377","0.00001"
"1.00800","0.08430","0.00014"
"1.01400","0.08478","0.00021"
"1.02000","0.08526","0.00021"
"1.02600","0.08580","0.00029"
"1.03200","0.08628","0.00038"
"1.03800","0.08675","0.00049"
"1.04400","0.08723","0.00070"
"1.05000","0.08777","0.00081"
"1.05600","0.08825","0.00101"
"1.06200","0.08873","0.00119"
"1.06800","0.08921","0.00127"
"1.07400","0.08974","0.00124"
"1.08000","0.09022","0.00108"
"1.08600","0.09070","0.00088"
"1.09200","0.09124","0.00080"
"1.09800","0.09172","0.00069"
"1.10400","0.09226","0.00055"
"1.11000","0.09273","0.00051"
"1.11600","0.09321","0.00044"
"1.12200","0.09375","0.00047"
"1.12800","0.09423","0.00049"
"1.13400","0.09471","0.00044"
"1.14000","0.09524","0.00043"
"1.14600","0.09572","0.00044"
"1.15200","0.09620","0.00041"
"1.15800","0.09674","0.00055"
"1.16400","0.09722","0.00073"
"1.17000","0.09776","0.00085"
"1.17600","0.09823","0.00098"
"1.18200","0.09871","0.00102"
"1.18800","0.09925","0.00100"
"1.19400","0.09973","0.00105"
"1.20000","0.10027","0.00100"
"1.20600","0.10075","0.00101"
"1.21200","0.10122","0.00104"
"1.21800","0.10170","0.00096"
"1.22400","0.10224","0.00095"
"1.23000","0.10272","0.00080"
"1.23600","0.10320","0.00058"
"1.24200","0.10368","0.00054"
"1.24800","0.10421","0.00057"
"1.25400","0.10469","0.00060"
"1.26000","0.10517","0.00075"
"1.26600","0.10571","0.00080"
"1.27200","0.10619","0.00083"
"1.27800","0.10666","0.00089"
"1.28400","0.10720","0.00092"
"1.29000","0.10768","0.00090"
"1.29600","0.10816","0.00074"
"1.30200","0.10870","0.00050"
"1.30800","0.10918","0.00048"
"1.31400","0.10971","0.00051"
"1.32000","0.11019","0.00053"
"1.32600","0.11073","0.00052"
"1.33200","0.11121","0.00047"
"1.33800","0.11175","0.00041"
"1.34400","0.11222","0.00050"
"1.35000","0.11276","0.00057"
"1.35600","0.11324","0.00060"
"1.36200","0.11372","0.00069"
"1.36800","0.11420","0.00073"
"1.37400","0.11474","0.00085"
"1.38000","0.11521","0.00090"
"1.38600","0.11569","0.00084"
"1.39200","0.11617","0.00075"
"1.39800","0.11671","0.00056"
"1.40400","0.11719","0.00044"
"1.41000","0.11773","0.00045"
"1.41600","0.11820","0.00043"
"1.42200","0.11868","0.00049"
"1.42800","0.11922","0.00063"
"1.43400","0.11970","0.00060"
"1.44000","0.12024","0.00064"
"1.44600","0.12072","0.00074"
"1.45200","0.12119","0.00083"
"1.45800","0.12173","0.00093"
"1.46400","0.12227","0.00099"
"1.47000","0.12275","0.00097"
"1.47600","0.12323","0.00093"
"1.48200","0.12376","0.00081"
"1.48800","0.12424","0.00076"
"1.49400","0.12478","0.00081"
"1.50000","0.12526","0.00075"
"1.50600","0.12574","0.00082"
"1.51200","0.12622","0.00096"
"1.51800","0.12675","0.00102"
"1.52400","0.12723","0.00113"
"1.53000","0.12771","0.00122"
"1.53600","0.12825","0.00114"
"1.54200","0.12873","0.00103"
"1.54800","0.12921","0.00093"
"1.55400","0.12974","0.00077"
"1.56000","0.13022","0.00078"
"1.56600","0.13070","0.00074"
"1.57200","0.13124","0.00074"
"1.57800","0.13172","0.00077"
"1.58400","0.13225","0.00066"
"1.59000","0.13273","0.00059"
"1.59600","0.13327","0.00069"
"1.60200","0.13375","0.00078"
"1.60800","0.13429","0.00100"
"1.61400","0.13477","0.00117"
"1.62000","0.13524","0.00128"
"1.62600","0.13578","0.00135"
"1.63200","0.13626","0.00125"
"1.63800","0.13674","0.00117"
"1.64400","0.13728","0.00111"
"1.65000","0.13776","0.00099"
"1.65600","0.13823","0.00091"
"1.66200","0.13871","0.00091"
"1.66800","0.13919","0.00090"
"1.67400","0.13973","0.00096"
"1.68000","0.14021","0.00093"
"1.68600","0.14068","0.00082"
"1.69200","0.14122","0.00090"
"1.69800","0.14170","0.00088"
"1.70400","0.14218","0.00088"
"1.71000","0.14266","0.00092"
"1.71600","0.14320","0.00090"
"1.72200","0.14367","0.00098"
"1.72800","0.14421","0.00114"
"1.73400","0.14469","0.00111"
"1.74000","0.14517","0.00105"
"1.74600","0.14571","0.00117"
"1.75200","0.14619","0.00123"
"1.75800","0.14672","0.00149"
"1.76400","0.14720","0.00165"
"1.77000","0.14768","0.00166"
"1.77600","0.14822","0.00164"
"1.78200","0.14870","0.00150"
"1.78800","0.14917","0.00139"
"1.79400","0.14965","0.00135"
"1.80000","0.15019","0.00125"
"1.80600","0.15067","0.00123"
"1.81200","0.15115","0.00118"
"1.81800","0.15163","0.00108"
"1.82400","0.15216","0.00110"
"1.83000","0.15264","0.00115"
"1.83600","0.15318","0.00118"
"1.84200","0.15366","0.00129"
"1.84800","0.15414","0.00139"
"1.85400","0.15468","0.00142"
"1.86000","0.15515","0.00141"
"1.86600","0.15563","0.00138"
"1.87200","0.15617","0.00139"
"1.87800","0.15665","0.00139"
"1.88400","0.15719","0.00126"
"1.89000","0.15766","0.00111"
"1.89600","0.15820","0.00100"
"1.90200","0.15868","0.00092"
"1.90800","0.15922","0.00090"
"1.91400","0.15970","0.00101"
"1.92000","0.16018","0.00114"
"1.92600","0.16065","0.00127"
"1.93200","0.16119","0.00132"
"1.93800","0.16167","0.00135"
"1.94400","0.16215","0.00145"
"1.95000","0.16263","0.00141"
"1.95600","0.16317","0.00139"
"1.96200","0.16364","0.00133"
"1.96800","0.16418","0.00116"
"1.97400","0.16466","0.00120"
"1.98000","0.16514","0.00120"
"1.98600","0.16568","0.00115"
"1.99200","0.16616","0.00120"
"1.99800","0.16669","0.00119"
"2.00400","0.16717","0.00113"
"2.01000","0.16765","0.00109"
"2.01600","0.16819","0.00099"
"2.02200","0.16867","0.00099"
"2.02800","0.16920","0.00102"
"2.03400","0.16968","0.00099"
"2.04000","0.17022","0.00106"
"2.04600","0.17076","0.00107"
"2.05200","0.17124","0.00094"
"2.05800","0.17172","0.00087"
