End date,"12/16/2016"
Specimen label,"15BT_21"
Maximum Load,"0.00328",N

Time,Extension,Load
(s),(mm),(N)
"1.04400","-5.62183","0.00289"
"1.05000","-5.62135","0.00285"
"1.05600","-5.62088","0.00267"
"1.06200","-5.62034","0.00262"
"1.06800","-5.61986","0.00277"
"1.07400","-5.61932","0.00288"
"1.08000","-5.61884","0.00303"
"1.08600","-5.61836","0.00313"
"1.09200","-5.61783","0.00312"
"1.09800","-5.61735","0.00302"
"1.10400","-5.61687","0.00282"
"1.11000","-5.61639","0.00273"
"1.11600","-5.61591","0.00267"
"1.12200","-5.61537","0.00255"
"1.12800","-5.61490","0.00246"
"1.13400","-5.61442","0.00252"
"1.14000","-5.61388","0.00253"
"1.14600","-5.61340","0.00258"
"1.15200","-5.61292","0.00262"
"1.15800","-5.61238","0.00251"
"1.16400","-5.61191","0.00250"
"1.17000","-5.61143","0.00251"
"1.17600","-5.61089","0.00260"
"1.18200","-5.61041","0.00275"
"1.18800","-5.60987","0.00280"
"1.19400","-5.60940","0.00282"
"1.20000","-5.60892","0.00294"
"1.20600","-5.60838","0.00295"
"1.21200","-5.60790","0.00294"
"1.21800","-5.60736","0.00297"
"1.22400","-5.60688","0.00283"
"1.23000","-5.60635","0.00268"
"1.23600","-5.60587","0.00256"
"1.24200","-5.60539","0.00252"
"1.24800","-5.60485","0.00262"
"1.25400","-5.60437","0.00271"
"1.26000","-5.60389","0.00278"
"1.26600","-5.60336","0.00289"
"1.27200","-5.60288","0.00299"
"1.27800","-5.60240","0.00302"
"1.28400","-5.60186","0.00300"
"1.29000","-5.60138","0.00292"
"1.29600","-5.60090","0.00290"
"1.30200","-5.60037","0.00293"
"1.30800","-5.59989","0.00288"
"1.31400","-5.59935","0.00285"
"1.32000","-5.59887","0.00281"
"1.32600","-5.59833","0.00273"
"1.33200","-5.59786","0.00267"
"1.33800","-5.59732","0.00253"
"1.34400","-5.59684","0.00244"
"1.35000","-5.59630","0.00249"
"1.35600","-5.59582","0.00253"
"1.36200","-5.59534","0.00253"
"1.36800","-5.59481","0.00258"
"1.37400","-5.59433","0.00259"
"1.38000","-5.59385","0.00267"
"1.38600","-5.59331","0.00269"
"1.39200","-5.59283","0.00267"
"1.39800","-5.59236","0.00265"
"1.40400","-5.59188","0.00263"
"1.41000","-5.59134","0.00261"
"1.41600","-5.59086","0.00267"
"1.42200","-5.59032","0.00268"
"1.42800","-5.58984","0.00266"
"1.43400","-5.58937","0.00275"
"1.44000","-5.58883","0.00277"
"1.44600","-5.58835","0.00287"
"1.45200","-5.58787","0.00291"
"1.45800","-5.58733","0.00286"
"1.46400","-5.58685","0.00291"
"1.47000","-5.58632","0.00296"
"1.47600","-5.58584","0.00295"
"1.48200","-5.58536","0.00302"
"1.48800","-5.58482","0.00310"
"1.49400","-5.58434","0.00312"
"1.50000","-5.58381","0.00311"
"1.50600","-5.58333","0.00302"
"1.51200","-5.58279","0.00298"
"1.51800","-5.58231","0.00298"
"1.52400","-5.58177","0.00297"
"1.53000","-5.58129","0.00300"
"1.53600","-5.58082","0.00309"
"1.54200","-5.58034","0.00310"
"1.54800","-5.57980","0.00318"
"1.55400","-5.57932","0.00321"
"1.56000","-5.57884","0.00320"
"1.56600","-5.57830","0.00319"
"1.57200","-5.57783","0.00306"
"1.57800","-5.57735","0.00294"
"1.58400","-5.57687","0.00290"
"1.59000","-5.57633","0.00286"
"1.59600","-5.57585","0.00287"
"1.60200","-5.57538","0.00288"
"1.60800","-5.57490","0.00286"
"1.61400","-5.57436","0.00286"
"1.62000","-5.57388","0.00282"
"1.62600","-5.57340","0.00278"
"1.63200","-5.57286","0.00289"
"1.63800","-5.57233","0.00302"
"1.64400","-5.57185","0.00316"
"1.65000","-5.57137","0.00327"
"1.65600","-5.57083","0.00324"
"1.66200","-5.57035","0.00318"
"1.66800","-5.56987","0.00310"
"1.67400","-5.56940","0.00296"
"1.68000","-5.56886","0.00285"
"1.68600","-5.56838","0.00279"
"1.69200","-5.56790","0.00271"
"1.69800","-5.56742","0.00281"
"1.70400","-5.56688","0.00288"
"1.71000","-5.56641","0.00288"
"1.71600","-5.56587","0.00294"
"1.72200","-5.56539","0.00297"
"1.72800","-5.56491","0.00290"
"1.73400","-5.56437","0.00286"
"1.74000","-5.56390","0.00279"
"1.74600","-5.56342","0.00272"
"1.75200","-5.56288","0.00272"
"1.75800","-5.56240","0.00269"
"1.76400","-5.56192","0.00272"
"1.77000","-5.56138","0.00271"
"1.77600","-5.56091","0.00274"
"1.78200","-5.56037","0.00287"
"1.78800","-5.55989","0.00292"
"1.79400","-5.55935","0.00293"
"1.80000","-5.55887","0.00289"
"1.80600","-5.55834","0.00289"
"1.81200","-5.55786","0.00292"
"1.81800","-5.55738","0.00296"
"1.82400","-5.55690","0.00297"
"1.83000","-5.55636","0.00306"
"1.83600","-5.55588","0.00310"
"1.84200","-5.55541","0.00304"
"1.84800","-5.55493","0.00297"
"1.85400","-5.55445","0.00283"
"1.86000","-5.55391","0.00274"
"1.86600","-5.55343","0.00277"
"1.87200","-5.55289","0.00271"
"1.87800","-5.55242","0.00265"
"1.88400","-5.55194","0.00269"
"1.89000","-5.55140","0.00271"
"1.89600","-5.55092","0.00282"
"1.90200","-5.55038","0.00292"
"1.90800","-5.54990","0.00292"
"1.91400","-5.54943","0.00304"
"1.92000","-5.54889","0.00308"
"1.92600","-5.54841","0.00302"
"1.93200","-5.54787","0.00303"
"1.93800","-5.54739","0.00306"
"1.94400","-5.54686","0.00311"
"1.95000","-5.54638","0.00319"
"1.95600","-5.54590","0.00319"
"1.96200","-5.54536","0.00313"
"1.96800","-5.54488","0.00306"
"1.97400","-5.54434","0.00304"
"1.98000","-5.54387","0.00299"
"1.98600","-5.54339","0.00292"
"1.99200","-5.54291","0.00282"
"1.99800","-5.54237","0.00279"
"2.00400","-5.54189","0.00287"
"2.01000","-5.54141","0.00299"
"2.01600","-5.54088","0.00311"
"2.02200","-5.54040","0.00319"
"2.02800","-5.53986","0.00320"
"2.03400","-5.53938","0.00324"
"2.04000","-5.53890","0.00318"
"2.04600","-5.53837","0.00317"
"2.05200","-5.53789","0.00320"
"2.05800","-5.53735","0.00315"
"2.06400","-5.53687","0.00310"
"2.07000","-5.53633","0.00309"
"2.07600","-5.53585","0.00304"
"2.08200","-5.53532","0.00308"
"2.08800","-5.53484","0.00301"
"2.09400","-5.53436","0.00287"
"2.10000","-5.53382","0.00282"
"2.10600","-5.53334","0.00269"
"2.11200","-5.53286","0.00272"
"2.11800","-5.53233","0.00277"
"2.12400","-5.53185","0.00274"
"2.13000","-5.53137","0.00271"
"2.13600","-5.53083","0.00264"
"2.14200","-5.53035","0.00254"
"2.14800","-5.52988","0.00253"
"2.15400","-5.52934","0.00252"
"2.16000","-5.52886","0.00254"
"2.16600","-5.52838","0.00260"
"2.17200","-5.52784","0.00265"
"2.17800","-5.52736","0.00281"
"2.18400","-5.52689","0.00299"
"2.19000","-5.52635","0.00303"
"2.19600","-5.52587","0.00315"
"2.20200","-5.52539","0.00323"
"2.20800","-5.52491","0.00314"
"2.21400","-5.52437","0.00300"
"2.22000","-5.52390","0.00287"
"2.22600","-5.52342","0.00274"
"2.23200","-5.52288","0.00270"
"2.23800","-5.52240","0.00269"
"2.24400","-5.52192","0.00269"
"2.25000","-5.52139","0.00284"
"2.25600","-5.52091","0.00293"
"2.26200","-5.52043","0.00297"
"2.26800","-5.51989","0.00296"
"2.27400","-5.51941","0.00280"
"2.28000","-5.51893","0.00266"
"2.28600","-5.51840","0.00248"
"2.29200","-5.51792","0.00238"
"2.29800","-5.51738","0.00249"
"2.30400","-5.51690","0.00263"
"2.31000","-5.51642","0.00273"
"2.31600","-5.51588","0.00285"
"2.32200","-5.51541","0.00288"
"2.32800","-5.51493","0.00287"
"2.33400","-5.51445","0.00290"
"2.34000","-5.51391","0.00286"
"2.34600","-5.51343","0.00287"
"2.35200","-5.51290","0.00284"
"2.35800","-5.51242","0.00277"
"2.36400","-5.51188","0.00275"
"2.37000","-5.51140","0.00271"
"2.37600","-5.51092","0.00263"
"2.38200","-5.51038","0.00261"
"2.38800","-5.50991","0.00252"
"2.39400","-5.50937","0.00243"
"2.40000","-5.50889","0.00241"
"2.40600","-5.50835","0.00244"
"2.41200","-5.50787","0.00255"
