"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
175.818,0.03223,175.908,0.02668,0.00555,"y","1"
181.32,0.03145,181.428,0.01379,0.01766,"y","u"
181.488,0.0169,181.518,0.01383,0.00307,"n",NA
181.524,0.01404,181.554,0.0096,0.00444,"n",NA
213.534,0.04296,213.66,0.02463,0.01833,"y","1"
213.708,0.02858,213.774,0.02406,0.00452,"n",NA
273.336,0.07524,273.39,0.07121,0.00403000000000001,"y","1"
300.93,0.12798,301.026,0.12028,0.00770000000000001,"y","u"
301.05,0.12091,301.2,0.11485,0.00606000000000001,"n",NA
301.38,0.11495,301.464,0.10577,0.00917999999999999,"y","1"
