"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
213.618,0.0247,99.468,0.00821,0.01649,"n",NA
159.51,0.05106,159.54,0.03702,0.01404,"y","1"
213.63,0.10556,213.702,0.00406,0.1015,"y","1"
262.14,0.10765,262.218,0.00516,0.10249,"y","1"
407.712,0.23504,407.772,0.08306,0.15198,"y","1"
407.784,0.09034,407.796,0.08066,0.00968000000000001,"n",NA
407.814,0.09122,407.826,0.0851,0.00612,"n",NA
407.874,0.09446,407.886,0.08852,0.00594,"n",NA
407.904,0.09336,407.916,0.08779,0.00556999999999999,"n",NA
407.934,0.0922,407.946,0.08766,0.00454,"n",NA
407.964,0.09045,407.976,0.08591,0.00454,"n",NA
409.242,0.09092,409.278,0.01194,0.07898,"y","1"
409.284,0.01294,409.308,0,0.01633,"n",NA
409.326,0.01067,409.338,0.00552,0.00515,"n",NA
409.524,0.02797,409.548,0.01916,0.00881,"n",NA
527.556,0.07844,527.616,0.04518,0.03326,"y","1"
532.998,0.05542,533.04,0.01327,0.04215,"y","1"
533.046,0.01262,533.07,0,0.0128,"n",NA
