"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
128.4,0.06563,43.638,0.0464,0.01923,"n",NA
128.448,0.35522,128.508,0.30038,0.05484,"y","1"
134.694,0.35641,134.778,0.3147,0.04171,"y","1"
173.496,0.54751,173.556,0.30972,0.23779,"y","1"
173.562,0.30865,173.586,0.29005,0.0186,"n",NA
173.604,0.30052,173.688,0.11474,0.18578,"y","1"
187.458,0.23607,187.524,0.13672,0.09935,"y","1"
230.922,0.58765,230.994,0.45693,0.13072,"y","1"
235.404,0.49453,235.5,0.40726,0.08727,"y","1"
252.276,0.58684,252.33,0.45726,0.12958,"y","1"
252.336,0.4573,252.348,0.44865,0.00864999999999999,"n",NA
262.458,0.51254,262.518,0.27047,0.24207,"y","1"
262.53,0.27058,262.548,0.25595,0.01463,"n",NA
262.614,0.26308,262.632,0.2573,0.00578000000000001,"n",NA
269.946,0.27481,270.018,0.03722,0.23759,"y","1"
270.036,0.04894,270.054,0.04058,0.00836,"n",NA
340.47,0.28634,340.548,0.03514,0.2512,"y","1"
340.926,0.06267,340.962,0.04809,0.01458,"n",NA
349.194,0.0738,349.218,0.05841,0.01539,"y","1"
387.822,0.13423,387.864,0.07529,0.05894,"y","1"
387.87,0.07412,387.894,0.06056,0.01356,"n",NA
417.48,0.08906,417.516,0.07134,0.01772,"y","1"
449.112,0.11556,449.19,0.08099,0.03457,"y","u"
497.946,0.14845,497.976,0.12615,0.0223,"y","1"
