"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
161.448,0.30844,137.82,0.29218,0.01626,"n",NA
156.624,0.42033,156.666,0.40482,0.01551,"y","1"
161.46,0.42296,161.508,0.33212,0.09084,"y","1"
161.514,0.33503,161.526,0.32847,0.00656000000000001,"n",NA
161.544,0.33491,161.55,0.33148,0.00342999999999999,"n",NA
161.592,0.33759,161.598,0.33453,0.00306000000000001,"n",NA
217.014,0.97675,217.062,0.95464,0.02211,"y","1"
282.522,1.85058,282.6,1.81979,0.0307899999999999,"y","1"
290.358,2.05197,290.43,1.83677,0.2152,"y","1"
294.054,1.24619,294.126,0.81661,0.42958,"y","1"
294.132,0.81707,294.144,0.81402,0.00305,"n",NA
297.366,0.86323,297.426,0.71668,0.14655,"y","1"
297.438,0.72332,297.45,0.71295,0.01037,"n",NA
309.87,1.01513,309.924,0.87097,0.14416,"y","1"
309.93,0.87093,309.942,0.86435,0.00658000000000003,"n",NA
312.474,0.27963,312.486,0.26598,0.01365,"n",NA
312.498,0.27492,312.51,0.25979,0.01513,"n",NA
312.516,0.2644,312.528,0.25712,0.00728000000000001,"n",NA
312.582,0.26398,312.594,0.25661,0.00736999999999999,"n",NA
312.612,0.26536,312.654,0.23994,0.02542,"n",NA
315.696,0.34516,315.756,0.31668,0.02848,"n",NA
316.95,0.37284,317.01,0.34588,0.02696,"n",NA
317.256,0.37912,317.316,0.35501,0.02411,"n",NA
335.454,0.82311,335.526,0.63923,0.18388,"y","1"
335.532,0.63813,335.556,0.62568,0.01245,"n",NA
345.39,0.90612,345.456,0.76731,0.13881,"y","1"
345.516,0.77325,345.564,0.74392,0.02933,"n",NA
345.732,0.74846,345.786,0.65727,0.09119,"y","1"
345.792,0.65612,345.804,0.64976,0.00636000000000003,"n",NA
350.07,0.73487,350.136,0.39606,0.33881,"y","1"
350.142,0.39705,350.148,0.39344,0.00361,"n",NA
356.718,0.55141,356.79,0.38989,0.16152,"y","1"
356.796,0.39295,356.808,0.38594,0.00701000000000002,"n",NA
372.642,0.65853,372.708,0.47848,0.18005,"y","1"
372.714,0.48014,372.726,0.47604,0.00409999999999999,"n",NA
382.776,0.63183,382.842,0.31672,0.31511,"y","1"
384.558,0.37033,384.606,0.3516,0.01873,"n",NA
398.448,0.57432,398.502,0.5483,0.02602,"y","1"
403.272,0.58127,403.314,0.48114,0.10013,"y","1"
403.32,0.48026,403.332,0.47112,0.00914000000000004,"n",NA
403.344,0.47369,403.35,0.4692,0.00448999999999999,"n",NA
418.11,0.61796,418.17,0.55618,0.0617799999999999,"y","1"
448.542,0.60032,448.62,0.259,0.34132,"y","1"
448.638,0.26588,448.644,0.26239,0.00348999999999999,"n",NA
448.782,0.27345,448.794,0.26632,0.00713000000000003,"n",NA
453.24,0.28665,453.312,0,0.3116,"y","1"
