"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
133.242,0.06673,133.326,0.02351,0.04322,"y","1"
133.332,0.02292,133.35,0.01942,0.0035,"n",NA
133.578,0.02308,133.59,0.02105,0.00203,"n",NA
226.134,0.08695,226.152,0.08342,0.00353000000000001,"n",NA
258.654,0.0941,258.672,0.08902,0.00508,"n",NA
295.53,0.11336,295.572,0.0948,0.01856,"y","1"
308.724,0.12737,308.754,0.11998,0.00739000000000001,"n",NA
308.88,0.10934,308.946,0.04225,0.06709,"y","1"
334.65,0.0784,334.722,0.03064,0.04776,"y","1"
334.806,0.04103,334.83,0.03622,0.00480999999999999,"n",NA
369.018,0.07202,369.09,0.00939,0.06263,"y","1"
394.518,0.01046,394.542,0,0.01502,"n",NA
394.71,0.02941,394.746,0,0.04836,"n",NA
395.034,0.01406,395.058,0.00735,0.00671,"n",NA
395.388,0.01311,395.412,0.00774,0.00537,"n",NA
395.592,0.01379,395.616,0.00866,0.00513,"n",NA
395.862,0.01312,395.874,0.01075,0.00237,"n",NA
