"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
74.178,0.03337,60.924,0.02846,0.00491,"n",NA
60.942,0.02561,60.972,0.01694,0.00867,"n",NA
60.978,0.01619,61.008,0.00641,0.00978,"n",NA
74.19,0.06343,74.226,0.0208,0.04263,"y","1"
74.232,0.0201,74.256,0.01088,0.00922,"n",NA
74.274,0.01671,74.292,0.01267,0.00404,"n",NA
74.31,0.01741,74.328,0.01366,0.00375,"n",NA
74.352,0.01759,74.364,0.01445,0.00314,"n",NA
74.388,0.01723,74.4,0.01392,0.00331,"n",NA
97.296,0.0192,97.332,0.00229,0.01691,"y","1"
