End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"1.04400","0.08723","-0.00600"
"1.05000","0.08771","-0.00574"
"1.05600","0.08819","-0.00557"
"1.06200","0.08873","-0.00564"
"1.06800","0.08921","-0.00575"
"1.07400","0.08974","-0.00604"
"1.08000","0.09022","-0.00618"
"1.08600","0.09076","-0.00609"
"1.09200","0.09124","-0.00601"
"1.09800","0.09172","-0.00588"
"1.10400","0.09226","-0.00572"
"1.11000","0.09273","-0.00561"
"1.11600","0.09321","-0.00556"
"1.12200","0.09369","-0.00563"
"1.12800","0.09423","-0.00572"
"1.13400","0.09471","-0.00578"
"1.14000","0.09524","-0.00604"
"1.14600","0.09572","-0.00615"
"1.15200","0.09626","-0.00606"
"1.15800","0.09674","-0.00611"
"1.16400","0.09722","-0.00608"
"1.17000","0.09776","-0.00601"
"1.17600","0.09823","-0.00596"
"1.18200","0.09871","-0.00588"
"1.18800","0.09925","-0.00592"
"1.19400","0.09973","-0.00596"
"1.20000","0.10021","-0.00593"
"1.20600","0.10069","-0.00601"
"1.21200","0.10122","-0.00620"
"1.21800","0.10170","-0.00624"
"1.22400","0.10218","-0.00635"
"1.23000","0.10266","-0.00641"
"1.23600","0.10320","-0.00641"
"1.24200","0.10368","-0.00651"
"1.24800","0.10415","-0.00646"
"1.25400","0.10469","-0.00638"
"1.26000","0.10517","-0.00622"
"1.26600","0.10565","-0.00601"
"1.27200","0.10619","-0.00597"
"1.27800","0.10666","-0.00606"
"1.28400","0.10714","-0.00600"
"1.29000","0.10768","-0.00605"
"1.29600","0.10816","-0.00611"
"1.30200","0.10870","-0.00616"
"1.30800","0.10918","-0.00627"
"1.31400","0.10965","-0.00636"
"1.32000","0.11013","-0.00632"
"1.32600","0.11061","-0.00625"
"1.33200","0.11115","-0.00612"
"1.33800","0.11163","-0.00612"
"1.34400","0.11211","-0.00626"
"1.35000","0.11264","-0.00629"
"1.35600","0.11312","-0.00627"
"1.36200","0.11366","-0.00624"
"1.36800","0.11414","-0.00609"
"1.37400","0.11462","-0.00601"
"1.38000","0.11515","-0.00598"
"1.38600","0.11563","-0.00590"
"1.39200","0.11617","-0.00583"
"1.39800","0.11665","-0.00572"
"1.40400","0.11713","-0.00577"
"1.41000","0.11767","-0.00590"
"1.41600","0.11814","-0.00582"
"1.42200","0.11868","-0.00589"
"1.42800","0.11916","-0.00598"
"1.43400","0.11970","-0.00588"
"1.44000","0.12018","-0.00597"
"1.44600","0.12072","-0.00617"
"1.45200","0.12119","-0.00629"
"1.45800","0.12173","-0.00641"
"1.46400","0.12221","-0.00643"
"1.47000","0.12269","-0.00634"
"1.47600","0.12323","-0.00625"
"1.48200","0.12370","-0.00613"
"1.48800","0.12424","-0.00600"
"1.49400","0.12472","-0.00603"
"1.50000","0.12520","-0.00599"
"1.50600","0.12574","-0.00594"
"1.51200","0.12622","-0.00585"
"1.51800","0.12675","-0.00566"
"1.52400","0.12723","-0.00547"
"1.53000","0.12771","-0.00536"
"1.53600","0.12819","-0.00527"
"1.54200","0.12873","-0.00538"
"1.54800","0.12921","-0.00556"
"1.55400","0.12968","-0.00575"
"1.56000","0.13022","-0.00587"
"1.56600","0.13070","-0.00578"
"1.57200","0.13124","-0.00570"
"1.57800","0.13172","-0.00565"
"1.58400","0.13219","-0.00549"
"1.59000","0.13273","-0.00550"
"1.59600","0.13321","-0.00557"
"1.60200","0.13375","-0.00558"
"1.60800","0.13423","-0.00564"
"1.61400","0.13471","-0.00559"
"1.62000","0.13524","-0.00552"
"1.62600","0.13572","-0.00551"
"1.63200","0.13620","-0.00544"
"1.63800","0.13668","-0.00540"
"1.64400","0.13722","-0.00544"
"1.65000","0.13770","-0.00547"
"1.65600","0.13817","-0.00547"
"1.66200","0.13871","-0.00544"
"1.66800","0.13919","-0.00532"
"1.67400","0.13967","-0.00524"
"1.68000","0.14015","-0.00520"
"1.68600","0.14068","-0.00512"
"1.69200","0.14116","-0.00524"
"1.69800","0.14164","-0.00529"
"1.70400","0.14218","-0.00537"
"1.71000","0.14266","-0.00553"
"1.71600","0.14314","-0.00568"
"1.72200","0.14367","-0.00577"
"1.72800","0.14415","-0.00586"
"1.73400","0.14469","-0.00584"
"1.74000","0.14523","-0.00576"
"1.74600","0.14571","-0.00569"
"1.75200","0.14619","-0.00556"
"1.75800","0.14672","-0.00540"
"1.76400","0.14720","-0.00523"
"1.77000","0.14768","-0.00516"
"1.77600","0.14816","-0.00518"
"1.78200","0.14870","-0.00515"
"1.78800","0.14917","-0.00517"
"1.79400","0.14965","-0.00537"
"1.80000","0.15019","-0.00534"
"1.80600","0.15067","-0.00528"
"1.81200","0.15115","-0.00525"
