End date,"1/21/2017"
Specimen label,"19CG_45"
Maximum Load,"0.25120",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","0.00049"
"0.00600","0.00006","0.00042"
"0.01200","0.00006","0.00033"
"0.01800","0.00018","0.00035"
"0.02400","0.00024","0.00040"
"0.03000","0.00036","0.00044"
"0.03600","0.00054","0.00046"
"0.04200","0.00072","0.00046"
"0.04800","0.00096","0.00047"
"0.05400","0.00120","0.00059"
"0.06000","0.00149","0.00071"
"0.06600","0.00185","0.00083"
"0.07200","0.00215","0.00086"
"0.07800","0.00257","0.00087"
"0.08400","0.00299","0.00089"
"0.09000","0.00341","0.00096"
"0.09600","0.00383","0.00094"
"0.10200","0.00430","0.00089"
"0.10800","0.00484","0.00075"
"0.11400","0.00538","0.00070"
"0.12000","0.00592","0.00077"
"0.12600","0.00646","0.00085"
"0.13200","0.00711","0.00086"
"0.13800","0.00765","0.00081"
"0.14400","0.00831","0.00073"
"0.15000","0.00891","0.00068"
"0.15600","0.00951","0.00067"
"0.16200","0.01016","0.00065"
"0.16800","0.01076","0.00063"
"0.17400","0.01142","0.00066"
"0.18000","0.01208","0.00077"
"0.18600","0.01268","0.00088"
"0.19200","0.01333","0.00097"
"0.19800","0.01399","0.00099"
"0.20400","0.01465","0.00101"
"0.21000","0.01531","0.00103"
"0.21600","0.01596","0.00109"
"0.22200","0.01662","0.00122"
"0.22800","0.01728","0.00134"
"0.23400","0.01788","0.00144"
"0.24000","0.01853","0.00152"
"0.24600","0.01919","0.00154"
"0.25200","0.01979","0.00149"
"0.25800","0.02039","0.00144"
"0.26400","0.02105","0.00145"
"0.27000","0.02158","0.00144"
"0.27600","0.02224","0.00149"
"0.28200","0.02278","0.00159"
"0.28800","0.02338","0.00171"
"0.29400","0.02398","0.00187"
"0.30000","0.02457","0.00208"
"0.30600","0.02511","0.00225"
"0.31200","0.02571","0.00231"
"0.31800","0.02625","0.00235"
"0.32400","0.02685","0.00235"
"0.33000","0.02738","0.00237"
"0.33600","0.02792","0.00235"
"0.34200","0.02846","0.00232"
"0.34800","0.02900","0.00236"
"0.35400","0.02954","0.00235"
"0.36000","0.03001","0.00238"
"0.36600","0.03061","0.00244"
"0.37200","0.03115","0.00245"
"0.37800","0.03163","0.00253"
"0.38400","0.03217","0.00268"
"0.39000","0.03270","0.00282"
"0.39600","0.03324","0.00294"
"0.40200","0.03372","0.00305"
"0.40800","0.03426","0.00321"
"0.41400","0.03474","0.00334"
"0.42000","0.03522","0.00330"
"0.42600","0.03575","0.00326"
"0.43200","0.03623","0.00319"
