End date,"1/21/2017"
Specimen label,"14DT_NT1"
Maximum Load,"0.28781",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00006"
"0.00600","0.00000","-0.00004"
"0.01200","0.00000","-0.00013"
"0.01800","0.00012","-0.00020"
"0.02400","0.00018","-0.00025"
"0.03000","0.00030","-0.00026"
"0.03600","0.00042","-0.00025"
"0.04200","0.00060","-0.00019"
"0.04800","0.00084","-0.00012"
"0.05400","0.00108","0.00004"
"0.06000","0.00132","0.00015"
"0.06600","0.00161","0.00016"
"0.07200","0.00191","0.00007"
"0.07800","0.00227","-0.00007"
"0.08400","0.00263","-0.00018"
"0.09000","0.00305","-0.00023"
"0.09600","0.00347","-0.00025"
"0.10200","0.00395","-0.00015"
"0.10800","0.00442","0.00007"
"0.11400","0.00490","0.00021"
"0.12000","0.00544","0.00026"
"0.12600","0.00604","0.00021"
"0.13200","0.00664","0.00010"
"0.13800","0.00723","0.00002"
"0.14400","0.00783","-0.00009"
"0.15000","0.00843","-0.00016"
"0.15600","0.00909","-0.00009"
"0.16200","0.00969","0.00003"
"0.16800","0.01034","0.00005"
"0.17400","0.01100","0.00010"
"0.18000","0.01166","0.00011"
"0.18600","0.01232","0.00010"
"0.19200","0.01297","0.00015"
"0.19800","0.01363","0.00022"
"0.20400","0.01435","0.00034"
"0.21000","0.01501","0.00045"
"0.21600","0.01572","0.00038"
"0.22200","0.01638","0.00030"
"0.22800","0.01704","0.00018"
"0.23400","0.01770","0.00004"
"0.24000","0.01836","-0.00011"
"0.24600","0.01901","-0.00024"
"0.25200","0.01961","-0.00033"
"0.25800","0.02027","-0.00033"
"0.26400","0.02087","-0.00032"
"0.27000","0.02146","-0.00035"
"0.27600","0.02206","-0.00030"
"0.28200","0.02266","-0.00028"
"0.28800","0.02326","-0.00026"
"0.29400","0.02386","-0.00023"
"0.30000","0.02445","-0.00018"
"0.30600","0.02505","-0.00006"
"0.31200","0.02565","0.00008"
"0.31800","0.02619","0.00014"
"0.32400","0.02673","0.00016"
