End date,"1/21/2017"
Specimen label,"14DT_NoLabel"
Maximum Load,"0.00887",N

Time,Extension,Load
(s),(mm),(N)
"1.08600","0.09070","0.00025"
"1.09200","0.09118","0.00032"
"1.09800","0.09172","0.00029"
"1.10400","0.09220","0.00022"
"1.11000","0.09273","0.00026"
"1.11600","0.09321","0.00026"
"1.12200","0.09375","0.00021"
"1.12800","0.09423","0.00031"
"1.13400","0.09477","0.00035"
"1.14000","0.09524","0.00032"
"1.14600","0.09572","0.00029"
"1.15200","0.09626","0.00028"
"1.15800","0.09674","0.00025"
"1.16400","0.09722","0.00029"
"1.17000","0.09776","0.00031"
"1.17600","0.09823","0.00027"
"1.18200","0.09871","0.00021"
"1.18800","0.09925","0.00013"
"1.19400","0.09973","0.00008"
"1.20000","0.10021","0.00013"
"1.20600","0.10069","0.00023"
"1.21200","0.10122","0.00024"
"1.21800","0.10170","0.00023"
"1.22400","0.10218","0.00025"
"1.23000","0.10266","0.00028"
"1.23600","0.10320","0.00027"
"1.24200","0.10368","0.00026"
"1.24800","0.10415","0.00019"
"1.25400","0.10469","0.00011"
"1.26000","0.10517","0.00004"
"1.26600","0.10571","0.00000"
"1.27200","0.10625","-0.00005"
"1.27800","0.10672","-0.00012"
"1.28400","0.10726","-0.00009"
"1.29000","0.10774","-0.00004"
"1.29600","0.10822","-0.00006"
"1.30200","0.10876","-0.00003"
"1.30800","0.10924","0.00008"
"1.31400","0.10977","0.00020"
"1.32000","0.11025","0.00032"
"1.32600","0.11073","0.00044"
"1.33200","0.11127","0.00045"
"1.33800","0.11175","0.00043"
"1.34400","0.11228","0.00038"
"1.35000","0.11276","0.00034"
"1.35600","0.11324","0.00032"
"1.36200","0.11378","0.00026"
"1.36800","0.11426","0.00012"
"1.37400","0.11474","0.00000"
"1.38000","0.11527","-0.00008"
"1.38600","0.11575","-0.00011"
"1.39200","0.11623","-0.00010"
"1.39800","0.11677","-0.00010"
"1.40400","0.11725","-0.00011"
"1.41000","0.11779","-0.00011"
"1.41600","0.11826","-0.00008"
"1.42200","0.11880","-0.00002"
"1.42800","0.11928","0.00007"
"1.43400","0.11976","0.00010"
"1.44000","0.12030","0.00011"
"1.44600","0.12077","0.00016"
"1.45200","0.12125","0.00016"
"1.45800","0.12173","0.00008"
"1.46400","0.12227","0.00010"
"1.47000","0.12275","0.00018"
"1.47600","0.12323","0.00018"
"1.48200","0.12376","0.00015"
"1.48800","0.12424","0.00014"
"1.49400","0.12478","0.00009"
"1.50000","0.12526","0.00006"
"1.50600","0.12580","0.00008"
"1.51200","0.12628","0.00014"
"1.51800","0.12675","0.00017"
"1.52400","0.12723","0.00007"
"1.53000","0.12777","-0.00006"
"1.53600","0.12825","-0.00020"
"1.54200","0.12873","-0.00028"
"1.54800","0.12921","-0.00027"
"1.55400","0.12974","-0.00022"
"1.56000","0.13022","-0.00015"
"1.56600","0.13070","-0.00010"
"1.57200","0.13124","0.00000"
"1.57800","0.13172","0.00011"
"1.58400","0.13225","0.00012"
"1.59000","0.13273","0.00008"
"1.59600","0.13321","0.00004"
"1.60200","0.13369","0.00010"
"1.60800","0.13423","0.00014"
"1.61400","0.13471","0.00017"
"1.62000","0.13518","0.00011"
"1.62600","0.13572","0.00005"
"1.63200","0.13620","0.00000"
"1.63800","0.13674","0.00008"
"1.64400","0.13722","0.00026"
"1.65000","0.13770","0.00034"
"1.65600","0.13823","0.00035"
"1.66200","0.13871","0.00041"
"1.66800","0.13919","0.00037"
"1.67400","0.13973","0.00030"
"1.68000","0.14021","0.00022"
"1.68600","0.14068","0.00012"
"1.69200","0.14122","0.00003"
"1.69800","0.14170","-0.00004"
"1.70400","0.14218","-0.00006"
"1.71000","0.14266","-0.00006"
"1.71600","0.14320","0.00000"
"1.72200","0.14367","0.00002"
"1.72800","0.14421","0.00006"
"1.73400","0.14469","0.00010"
"1.74000","0.14517","0.00018"
"1.74600","0.14571","0.00030"
"1.75200","0.14619","0.00041"
"1.75800","0.14666","0.00050"
"1.76400","0.14720","0.00053"
"1.77000","0.14768","0.00055"
"1.77600","0.14822","0.00051"
"1.78200","0.14870","0.00045"
"1.78800","0.14917","0.00040"
"1.79400","0.14965","0.00029"
"1.80000","0.15013","0.00018"
"1.80600","0.15067","0.00008"
"1.81200","0.15115","-0.00005"
"1.81800","0.15163","-0.00017"
"1.82400","0.15216","-0.00030"
"1.83000","0.15264","-0.00039"
"1.83600","0.15318","-0.00035"
"1.84200","0.15366","-0.00035"
"1.84800","0.15420","-0.00034"
"1.85400","0.15468","-0.00032"
"1.86000","0.15521","-0.00024"
"1.86600","0.15569","-0.00016"
"1.87200","0.15617","-0.00003"
"1.87800","0.15671","0.00006"
"1.88400","0.15719","0.00015"
"1.89000","0.15766","0.00018"
"1.89600","0.15820","0.00018"
"1.90200","0.15868","0.00024"
"1.90800","0.15922","0.00030"
"1.91400","0.15976","0.00036"
"1.92000","0.16024","0.00031"
"1.92600","0.16077","0.00022"
"1.93200","0.16125","0.00016"
"1.93800","0.16173","0.00016"
"1.94400","0.16227","0.00022"
"1.95000","0.16275","0.00021"
"1.95600","0.16323","0.00025"
"1.96200","0.16370","0.00033"
"1.96800","0.16424","0.00043"
"1.97400","0.16472","0.00046"
"1.98000","0.16520","0.00041"
"1.98600","0.16574","0.00037"
"1.99200","0.16621","0.00029"
"1.99800","0.16669","0.00018"
"2.00400","0.16723","0.00001"
"2.01000","0.16771","-0.00009"
"2.01600","0.16819","-0.00017"
"2.02200","0.16873","-0.00020"
"2.02800","0.16920","-0.00026"
"2.03400","0.16968","-0.00027"
"2.04000","0.17022","-0.00030"
"2.04600","0.17070","-0.00027"
"2.05200","0.17124","-0.00024"
"2.05800","0.17178","-0.00012"
"2.06400","0.17225","-0.00004"
"2.07000","0.17279","0.00004"
"2.07600","0.17327","0.00012"
"2.08200","0.17381","0.00013"
"2.08800","0.17429","0.00011"
"2.09400","0.17476","0.00006"
"2.10000","0.17524","0.00009"
"2.10600","0.17572","0.00018"
"2.11200","0.17620","0.00025"
"2.11800","0.17668","0.00018"
"2.12400","0.17722","0.00011"
"2.13000","0.17769","0.00011"
"2.13600","0.17823","0.00021"
"2.14200","0.17871","0.00036"
"2.14800","0.17919","0.00042"
"2.15400","0.17973","0.00039"
"2.16000","0.18021","0.00027"
"2.16600","0.18074","0.00011"
"2.17200","0.18122","0.00002"
"2.17800","0.18170","0.00001"
"2.18400","0.18218","0.00003"
"2.19000","0.18272","0.00012"
"2.19600","0.18320","0.00013"
"2.20200","0.18367","0.00010"
"2.20800","0.18421","0.00005"
"2.21400","0.18469","0.00005"
"2.22000","0.18517","0.00014"
"2.22600","0.18565","0.00020"
"2.23200","0.18618","0.00015"
"2.23800","0.18666","0.00008"
"2.24400","0.18714","-0.00007"
"2.25000","0.18768","-0.00016"
"2.25600","0.18816","-0.00013"
"2.26200","0.18864","0.00000"
"2.26800","0.18917","0.00012"
"2.27400","0.18965","0.00019"
"2.28000","0.19013","0.00014"
"2.28600","0.19067","0.00014"
"2.29200","0.19115","0.00012"
"2.29800","0.19163","0.00009"
"2.30400","0.19216","0.00016"
"2.31000","0.19264","0.00026"
"2.31600","0.19312","0.00033"
"2.32200","0.19366","0.00038"
"2.32800","0.19414","0.00041"
"2.33400","0.19461","0.00040"
"2.34000","0.19515","0.00039"
"2.34600","0.19563","0.00030"
"2.35200","0.19611","0.00024"
"2.35800","0.19665","0.00013"
"2.36400","0.19713","0.00007"
"2.37000","0.19760","0.00011"
"2.37600","0.19814","0.00015"
"2.38200","0.19862","0.00018"
"2.38800","0.19916","0.00014"
"2.39400","0.19970","0.00006"
"2.40000","0.20018","-0.00003"
"2.40600","0.20071","-0.00010"
"2.41200","0.20119","-0.00006"
"2.41800","0.20173","0.00002"
"2.42400","0.20221","0.00004"
"2.43000","0.20275","0.00001"
"2.43600","0.20322","-0.00002"
"2.44200","0.20376","-0.00003"
"2.44800","0.20424","0.00001"
"2.45400","0.20472","0.00016"
"2.46000","0.20526","0.00021"
"2.46600","0.20574","0.00020"
"2.47200","0.20627","0.00022"
"2.47800","0.20675","0.00019"
"2.48400","0.20729","0.00010"
"2.49000","0.20777","0.00003"
"2.49600","0.20825","0.00009"
"2.50200","0.20873","0.00023"
"2.50800","0.20926","0.00029"
"2.51400","0.20974","0.00028"
"2.52000","0.21022","0.00030"
"2.52600","0.21070","0.00039"
"2.53200","0.21124","0.00034"
"2.53800","0.21171","0.00023"
"2.54400","0.21225","0.00020"
"2.55000","0.21273","0.00019"
"2.55600","0.21321","0.00020"
"2.56200","0.21375","0.00022"
"2.56800","0.21423","0.00018"
"2.57400","0.21476","0.00019"
"2.58000","0.21524","0.00016"
"2.58600","0.21572","0.00016"
"2.59200","0.21626","0.00010"
"2.59800","0.21674","0.00000"
"2.60400","0.21722","-0.00005"
"2.61000","0.21769","0.00001"
"2.61600","0.21823","0.00008"
"2.62200","0.21871","0.00009"
"2.62800","0.21919","0.00022"
"2.63400","0.21967","0.00038"
"2.64000","0.22020","0.00042"
"2.64600","0.22068","0.00038"
"2.65200","0.22116","0.00029"
"2.65800","0.22170","0.00020"
"2.66400","0.22218","0.00018"
"2.67000","0.22272","0.00026"
"2.67600","0.22319","0.00035"
"2.68200","0.22373","0.00031"
"2.68800","0.22421","0.00026"
"2.69400","0.22469","0.00019"
"2.70000","0.22523","0.00012"
"2.70600","0.22571","0.00008"
"2.71200","0.22624","0.00007"
"2.71800","0.22672","-0.00008"
"2.72400","0.22726","-0.00022"
"2.73000","0.22774","-0.00020"
"2.73600","0.22822","-0.00019"
"2.74200","0.22875","-0.00026"
"2.74800","0.22923","-0.00033"
"2.75400","0.22971","-0.00026"
"2.76000","0.23019","-0.00012"
"2.76600","0.23067","-0.00001"
"2.77200","0.23115","0.00012"
"2.77800","0.23168","0.00020"
"2.78400","0.23216","0.00023"
"2.79000","0.23264","0.00026"
"2.79600","0.23318","0.00024"
"2.80200","0.23366","0.00019"
"2.80800","0.23420","0.00015"
"2.81400","0.23467","0.00006"
"2.82000","0.23515","-0.00006"
"2.82600","0.23563","-0.00010"
"2.83200","0.23617","-0.00016"
"2.83800","0.23665","-0.00016"
"2.84400","0.23713","-0.00008"
"2.85000","0.23766","-0.00003"
"2.85600","0.23820","-0.00007"
"2.86200","0.23868","-0.00002"
"2.86800","0.23922","0.00015"
"2.87400","0.23970","0.00034"
"2.88000","0.24023","0.00047"
"2.88600","0.24071","0.00051"
"2.89200","0.24119","0.00050"
"2.89800","0.24167","0.00046"
"2.90400","0.24221","0.00034"
"2.91000","0.24269","0.00027"
"2.91600","0.24316","0.00021"
"2.92200","0.24364","0.00015"
"2.92800","0.24418","0.00022"
"2.93400","0.24466","0.00036"
"2.94000","0.24520","0.00043"
"2.94600","0.24568","0.00050"
"2.95200","0.24615","0.00059"
"2.95800","0.24669","0.00065"
"2.96400","0.24717","0.00061"
"2.97000","0.24765","0.00061"
"2.97600","0.24819","0.00054"
"2.98200","0.24866","0.00046"
"2.98800","0.24920","0.00041"
"2.99400","0.24968","0.00033"
"3.00000","0.25022","0.00023"
"3.00600","0.25070","0.00011"
"3.01200","0.25124","0.00005"
"3.01800","0.25171","0.00005"
"3.02400","0.25225","-0.00001"
"3.03000","0.25273","-0.00006"
"3.03600","0.25327","-0.00009"
"3.04200","0.25375","-0.00010"
"3.04800","0.25423","-0.00009"
"3.05400","0.25470","-0.00005"
"3.06000","0.25518","0.00000"
"3.06600","0.25572","0.00009"
"3.07200","0.25620","0.00022"
"3.07800","0.25674","0.00029"
"3.08400","0.25721","0.00035"
"3.09000","0.25769","0.00033"
"3.09600","0.25823","0.00029"
"3.10200","0.25871","0.00019"
"3.10800","0.25925","0.00006"
"3.11400","0.25973","0.00004"
"3.12000","0.26020","0.00010"
"3.12600","0.26074","0.00017"
"3.13200","0.26122","0.00023"
"3.13800","0.26176","0.00016"
"3.14400","0.26224","0.00009"
"3.15000","0.26278","0.00001"
"3.15600","0.26325","0.00000"
"3.16200","0.26373","0.00011"
"3.16800","0.26421","0.00019"
"3.17400","0.26475","0.00027"
"3.18000","0.26523","0.00024"
"3.18600","0.26570","0.00016"
"3.19200","0.26618","0.00005"
"3.19800","0.26666","-0.00006"
"3.20400","0.26720","-0.00007"
"3.21000","0.26768","-0.00007"
"3.21600","0.26816","-0.00006"
"3.22200","0.26869","-0.00011"
"3.22800","0.26917","-0.00017"
"3.23400","0.26965","-0.00013"
"3.24000","0.27019","-0.00006"
"3.24600","0.27067","-0.00005"
"3.25200","0.27115","-0.00007"
"3.25800","0.27168","-0.00010"
"3.26400","0.27216","-0.00010"
"3.27000","0.27264","-0.00006"
"3.27600","0.27318","0.00000"
"3.28200","0.27366","0.00004"
"3.28800","0.27419","0.00003"
"3.29400","0.27467","0.00014"
"3.30000","0.27515","0.00025"
"3.30600","0.27569","0.00036"
"3.31200","0.27617","0.00042"
"3.31800","0.27671","0.00039"
"3.32400","0.27718","0.00028"
"3.33000","0.27766","0.00021"
"3.33600","0.27814","0.00014"
"3.34200","0.27862","0.00003"
"3.34800","0.27916","-0.00010"
"3.35400","0.27964","-0.00024"
"3.36000","0.28011","-0.00034"
"3.36600","0.28065","-0.00034"
"3.37200","0.28113","-0.00029"
"3.37800","0.28167","-0.00015"
"3.38400","0.28215","0.00001"
"3.39000","0.28263","0.00016"
"3.39600","0.28310","0.00026"
"3.40200","0.28364","0.00029"
"3.40800","0.28412","0.00021"
"3.41400","0.28466","0.00013"
"3.42000","0.28514","0.00012"
"3.42600","0.28567","0.00013"
"3.43200","0.28615","0.00013"
"3.43800","0.28669","0.00014"
"3.44400","0.28717","0.00021"
"3.45000","0.28765","0.00026"
"3.45600","0.28819","0.00034"
"3.46200","0.28866","0.00037"
"3.46800","0.28914","0.00036"
"3.47400","0.28962","0.00035"
"3.48000","0.29016","0.00032"
"3.48600","0.29064","0.00021"
"3.49200","0.29112","0.00017"
"3.49800","0.29159","0.00008"
"3.50400","0.29213","0.00001"
"3.51000","0.29261","-0.00006"
"3.51600","0.29315","0.00000"
"3.52200","0.29363","0.00004"
"3.52800","0.29416","0.00012"
"3.53400","0.29464","0.00023"
"3.54000","0.29518","0.00029"
"3.54600","0.29566","0.00037"
"3.55200","0.29614","0.00041"
"3.55800","0.29668","0.00042"
"3.56400","0.29715","0.00034"
"3.57000","0.29769","0.00031"
"3.57600","0.29817","0.00026"
"3.58200","0.29871","0.00018"
"3.58800","0.29925","0.00009"
"3.59400","0.29972","0.00007"
"3.60000","0.30020","0.00008"
"3.60600","0.30074","0.00013"
"3.61200","0.30122","0.00015"
"3.61800","0.30170","0.00009"
"3.62400","0.30218","-0.00002"
"3.63000","0.30271","-0.00006"
"3.63600","0.30319","-0.00012"
"3.64200","0.30367","-0.00010"
"3.64800","0.30421","0.00003"
"3.65400","0.30469","0.00011"
"3.66000","0.30523","0.00012"
"3.66600","0.30570","0.00007"
"3.67200","0.30624","0.00010"
"3.67800","0.30672","0.00006"
"3.68400","0.30726","-0.00003"
"3.69000","0.30774","-0.00017"
"3.69600","0.30822","-0.00031"
"3.70200","0.30875","-0.00030"
"3.70800","0.30923","-0.00024"
"3.71400","0.30977","-0.00020"
"3.72000","0.31025","-0.00025"
"3.72600","0.31073","-0.00030"
"3.73200","0.31126","-0.00036"
"3.73800","0.31174","-0.00034"
"3.74400","0.31228","-0.00033"
"3.75000","0.31276","-0.00030"
"3.75600","0.31324","-0.00027"
"3.76200","0.31372","-0.00022"
"3.76800","0.31419","-0.00017"
"3.77400","0.31467","-0.00017"
"3.78000","0.31515","-0.00019"
"3.78600","0.31569","-0.00019"
"3.79200","0.31617","-0.00026"
"3.79800","0.31665","-0.00029"
"3.80400","0.31718","-0.00024"
"3.81000","0.31766","-0.00018"
"3.81600","0.31814","-0.00001"
"3.82200","0.31868","0.00012"
"3.82800","0.31916","0.00022"
"3.83400","0.31963","0.00028"
"3.84000","0.32017","0.00034"
"3.84600","0.32065","0.00038"
"3.85200","0.32113","0.00045"
"3.85800","0.32167","0.00044"
