End date,"1/21/2017"
Specimen label,"19CG_NoLabel2"
Maximum Load,"0.01001",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00028"
"0.00600","0.00000","-0.00029"
"0.01200","0.00000","-0.00024"
"0.01800","0.00006","-0.00008"
"0.02400","0.00018","0.00011"
"0.03000","0.00030","0.00024"
"0.03600","0.00042","0.00027"
"0.04200","0.00060","0.00027"
"0.04800","0.00078","0.00019"
"0.05400","0.00108","0.00015"
"0.06000","0.00132","0.00015"
"0.06600","0.00161","0.00011"
"0.07200","0.00191","-0.00005"
"0.07800","0.00227","-0.00020"
"0.08400","0.00269","-0.00028"
"0.09000","0.00311","-0.00035"
"0.09600","0.00353","-0.00032"
"0.10200","0.00401","-0.00022"
"0.10800","0.00454","-0.00014"
"0.11400","0.00502","-0.00018"
"0.12000","0.00556","-0.00020"
"0.12600","0.00610","-0.00017"
"0.13200","0.00670","-0.00009"
"0.13800","0.00735","-0.00010"
"0.14400","0.00795","-0.00015"
"0.15000","0.00861","-0.00020"
"0.15600","0.00921","-0.00016"
"0.16200","0.00987","-0.00006"
"0.16800","0.01052","0.00001"
"0.17400","0.01118","0.00010"
"0.18000","0.01184","0.00016"
"0.18600","0.01244","0.00022"
"0.19200","0.01309","0.00027"
"0.19800","0.01375","0.00025"
"0.20400","0.01441","0.00015"
"0.21000","0.01507","0.00000"
"0.21600","0.01572","-0.00011"
"0.22200","0.01638","-0.00020"
"0.22800","0.01704","-0.00021"
"0.23400","0.01770","-0.00018"
"0.24000","0.01836","-0.00014"
"0.24600","0.01895","-0.00013"
"0.25200","0.01961","-0.00002"
"0.25800","0.02027","0.00011"
"0.26400","0.02087","0.00012"
"0.27000","0.02146","0.00010"
"0.27600","0.02206","0.00009"
"0.28200","0.02272","0.00007"
"0.28800","0.02326","0.00012"
"0.29400","0.02386","0.00018"
"0.30000","0.02445","0.00024"
"0.30600","0.02499","0.00025"
"0.31200","0.02559","0.00028"
"0.31800","0.02613","0.00038"
"0.32400","0.02673","0.00054"
"0.33000","0.02726","0.00056"
"0.33600","0.02780","0.00042"
"0.34200","0.02834","0.00020"
"0.34800","0.02894","0.00004"
"0.35400","0.02948","-0.00003"
"0.36000","0.03001","-0.00018"
"0.36600","0.03055","-0.00034"
"0.37200","0.03109","-0.00042"
"0.37800","0.03163","-0.00051"
"0.38400","0.03217","-0.00050"
"0.39000","0.03270","-0.00030"
"0.39600","0.03318","-0.00011"
"0.40200","0.03372","-0.00002"
"0.40800","0.03426","0.00005"
"0.41400","0.03474","0.00012"
"0.42000","0.03528","0.00015"
"0.42600","0.03575","0.00008"
"0.43200","0.03629","0.00009"
"0.43800","0.03677","0.00013"
"0.44400","0.03725","0.00023"
"0.45000","0.03779","0.00035"
"0.45600","0.03827","0.00037"
"0.46200","0.03880","0.00029"
"0.46800","0.03928","0.00017"
"0.47400","0.03982","0.00010"
