End date,"12/23/2016"
Specimen label,"21DG_67"
Maximum Load,"0.99029",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","-0.00037"
"0.00600","0.00006","-0.00037"
"0.01200","0.00006","-0.00039"
"0.01800","0.00018","-0.00040"
"0.02400","0.00024","-0.00032"
"0.03000","0.00036","-0.00027"
"0.03600","0.00054","-0.00020"
"0.04200","0.00072","-0.00009"
"0.04800","0.00090","-0.00010"
"0.05400","0.00114","-0.00016"
"0.06000","0.00138","-0.00025"
"0.06600","0.00173","-0.00038"
"0.07200","0.00209","-0.00043"
"0.07800","0.00245","-0.00044"
"0.08400","0.00287","-0.00046"
"0.09000","0.00329","-0.00044"
"0.09600","0.00377","-0.00041"
"0.10200","0.00425","-0.00042"
"0.10800","0.00478","-0.00035"
"0.11400","0.00532","-0.00033"
"0.12000","0.00586","-0.00042"
"0.12600","0.00646","-0.00053"
"0.13200","0.00706","-0.00051"
"0.13800","0.00765","-0.00045"
"0.14400","0.00831","-0.00037"
"0.15000","0.00891","-0.00041"
"0.15600","0.00957","-0.00040"
"0.16200","0.01022","-0.00034"
"0.16800","0.01088","-0.00028"
"0.17400","0.01148","-0.00018"
"0.18000","0.01214","-0.00018"
"0.18600","0.01279","-0.00032"
"0.19200","0.01345","-0.00040"
"0.19800","0.01411","-0.00045"
"0.20400","0.01477","-0.00050"
"0.21000","0.01543","-0.00044"
"0.21600","0.01602","-0.00044"
"0.22200","0.01668","-0.00056"
"0.22800","0.01734","-0.00063"
"0.23400","0.01794","-0.00063"
"0.24000","0.01859","-0.00055"
"0.24600","0.01919","-0.00049"
"0.25200","0.01985","-0.00050"
"0.25800","0.02045","-0.00053"
"0.26400","0.02105","-0.00056"
"0.27000","0.02164","-0.00049"
"0.27600","0.02224","-0.00034"
"0.28200","0.02284","-0.00018"
"0.28800","0.02344","-0.00005"
"0.29400","0.02398","0.00001"
"0.30000","0.02457","0.00002"
"0.30600","0.02511","0.00009"
"0.31200","0.02571","0.00008"
"0.31800","0.02625","0.00001"
"0.32400","0.02685","-0.00006"
"0.33000","0.02738","-0.00019"
"0.33600","0.02792","-0.00028"
"0.34200","0.02846","-0.00032"
"0.34800","0.02900","-0.00032"
"0.35400","0.02954","-0.00026"
"0.36000","0.03007","-0.00014"
"0.36600","0.03055","-0.00006"
"0.37200","0.03109","0.00004"
"0.37800","0.03163","0.00015"
"0.38400","0.03217","0.00007"
"0.39000","0.03270","-0.00009"
"0.39600","0.03324","-0.00020"
"0.40200","0.03378","-0.00026"
"0.40800","0.03432","-0.00021"
"0.41400","0.03480","-0.00022"
"0.42000","0.03528","-0.00028"
"0.42600","0.03581","-0.00026"
"0.43200","0.03629","-0.00017"
"0.43800","0.03683","-0.00004"
"0.44400","0.03731","0.00005"
"0.45000","0.03785","0.00001"
"0.45600","0.03833","-0.00010"
"0.46200","0.03886","-0.00020"
"0.46800","0.03934","-0.00027"
"0.47400","0.03982","-0.00022"
"0.48000","0.04036","-0.00017"
"0.48600","0.04084","-0.00023"
"0.49200","0.04131","-0.00025"
"0.49800","0.04185","-0.00025"
"0.50400","0.04233","-0.00021"
"0.51000","0.04281","-0.00011"
"0.51600","0.04329","-0.00017"
"0.52200","0.04383","-0.00018"
"0.52800","0.04430","-0.00015"
"0.53400","0.04484","-0.00013"
"0.54000","0.04532","0.00000"
"0.54600","0.04580","0.00009"
"0.55200","0.04634","0.00010"
"0.55800","0.04682","0.00006"
"0.56400","0.04735","-0.00004"
"0.57000","0.04783","-0.00008"
"0.57600","0.04831","-0.00004"
"0.58200","0.04879","-0.00005"
"0.58800","0.04933","-0.00007"
"0.59400","0.04980","-0.00010"
"0.60000","0.05028","-0.00023"
"0.60600","0.05076","-0.00026"
"0.61200","0.05130","-0.00032"
"0.61800","0.05178","-0.00040"
"0.62400","0.05226","-0.00047"
"0.63000","0.05279","-0.00054"
"0.63600","0.05327","-0.00049"
"0.64200","0.05375","-0.00031"
"0.64800","0.05423","-0.00026"
"0.65400","0.05477","-0.00027"
"0.66000","0.05525","-0.00035"
"0.66600","0.05572","-0.00042"
"0.67200","0.05626","-0.00032"
"0.67800","0.05674","-0.00019"
"0.68400","0.05728","-0.00017"
"0.69000","0.05776","-0.00016"
"0.69600","0.05824","-0.00015"
"0.70200","0.05877","-0.00026"
"0.70800","0.05925","-0.00032"
"0.71400","0.05979","-0.00033"
"0.72000","0.06027","-0.00038"
"0.72600","0.06075","-0.00038"
"0.73200","0.06122","-0.00040"
"0.73800","0.06170","-0.00037"
"0.74400","0.06224","-0.00019"
"0.75000","0.06272","-0.00007"
"0.75600","0.06320","-0.00008"
"0.76200","0.06368","-0.00019"
"0.76800","0.06421","-0.00022"
"0.77400","0.06469","0.00002"
"0.78000","0.06517","0.00018"
"0.78600","0.06571","0.00025"
"0.79200","0.06619","0.00032"
"0.79800","0.06667","0.00023"
"0.80400","0.06720","0.00014"
"0.81000","0.06768","0.00021"
"0.81600","0.06822","0.00033"
"0.82200","0.06870","0.00039"
"0.82800","0.06924","0.00039"
"0.83400","0.06971","0.00031"
"0.84000","0.07025","0.00028"
"0.84600","0.07073","0.00019"
"0.85200","0.07121","0.00006"
"0.85800","0.07175","0.00005"
"0.86400","0.07223","0.00007"
"0.87000","0.07270","0.00006"
"0.87600","0.07324","0.00016"
"0.88200","0.07372","0.00017"
"0.88800","0.07420","0.00014"
"0.89400","0.07468","0.00003"
"0.90000","0.07522","-0.00005"
"0.90600","0.07569","0.00002"
"0.91200","0.07617","0.00005"
"0.91800","0.07671","-0.00001"
"0.92400","0.07719","-0.00004"
"0.93000","0.07767","-0.00007"
