End date,"12/23/2016"
Specimen label,"21CT_65"
Maximum Load,"0.01464",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","0.09226","0.00300"
"1.11000","0.09279","0.00285"
"1.11600","0.09327","0.00278"
"1.12200","0.09375","0.00273"
"1.12800","0.09429","0.00273"
"1.13400","0.09477","0.00272"
"1.14000","0.09524","0.00271"
"1.14600","0.09578","0.00270"
"1.15200","0.09626","0.00269"
"1.15800","0.09674","0.00269"
"1.16400","0.09722","0.00273"
"1.17000","0.09776","0.00275"
"1.17600","0.09823","0.00283"
"1.18200","0.09871","0.00289"
"1.18800","0.09919","0.00292"
"1.19400","0.09967","0.00299"
"1.20000","0.10021","0.00310"
"1.20600","0.10069","0.00309"
"1.21200","0.10116","0.00314"
"1.21800","0.10170","0.00312"
"1.22400","0.10218","0.00299"
"1.23000","0.10272","0.00285"
"1.23600","0.10320","0.00275"
"1.24200","0.10373","0.00279"
"1.24800","0.10421","0.00291"
"1.25400","0.10469","0.00299"
"1.26000","0.10523","0.00305"
"1.26600","0.10571","0.00305"
"1.27200","0.10619","0.00290"
"1.27800","0.10666","0.00278"
"1.28400","0.10714","0.00272"
"1.29000","0.10762","0.00271"
"1.29600","0.10816","0.00279"
"1.30200","0.10864","0.00281"
"1.30800","0.10912","0.00279"
"1.31400","0.10965","0.00278"
"1.32000","0.11013","0.00275"
"1.32600","0.11061","0.00275"
"1.33200","0.11115","0.00285"
"1.33800","0.11163","0.00295"
"1.34400","0.11217","0.00313"
"1.35000","0.11264","0.00326"
"1.35600","0.11312","0.00327"
"1.36200","0.11366","0.00320"
"1.36800","0.11414","0.00308"
"1.37400","0.11468","0.00302"
"1.38000","0.11515","0.00298"
"1.38600","0.11569","0.00289"
"1.39200","0.11623","0.00286"
"1.39800","0.11671","0.00299"
"1.40400","0.11725","0.00311"
"1.41000","0.11773","0.00322"
"1.41600","0.11826","0.00330"
"1.42200","0.11874","0.00330"
"1.42800","0.11922","0.00328"
"1.43400","0.11970","0.00315"
"1.44000","0.12024","0.00301"
"1.44600","0.12072","0.00305"
"1.45200","0.12119","0.00308"
"1.45800","0.12167","0.00313"
"1.46400","0.12221","0.00332"
"1.47000","0.12269","0.00338"
"1.47600","0.12323","0.00337"
"1.48200","0.12370","0.00340"
"1.48800","0.12418","0.00338"
"1.49400","0.12472","0.00336"
