End date,"12/21/2016"
Specimen label,"23DG_88_run2"
Maximum Load,"0.01790",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","28.99942","0.00161"
"0.00600","28.99942","0.00162"
"0.01200","28.99942","0.00160"
"0.01800","28.99948","0.00151"
"0.02400","28.99960","0.00146"
"0.03000","28.99972","0.00138"
"0.03600","28.99984","0.00122"
"0.04200","29.00002","0.00111"
"0.04800","29.00026","0.00106"
"0.05400","29.00043","0.00101"
"0.06000","29.00073","0.00091"
"0.06600","29.00097","0.00079"
"0.07200","29.00127","0.00089"
"0.07800","29.00151","0.00103"
"0.08400","29.00193","0.00114"
"0.09000","29.00229","0.00124"
"0.09600","29.00271","0.00125"
"0.10200","29.00318","0.00119"
"0.10800","29.00366","0.00123"
"0.11400","29.00414","0.00129"
"0.12000","29.00468","0.00132"
"0.12600","29.00522","0.00129"
"0.13200","29.00576","0.00116"
"0.13800","29.00629","0.00108"
"0.14400","29.00689","0.00106"
"0.15000","29.00749","0.00111"
"0.15600","29.00815","0.00113"
"0.16200","29.00875","0.00111"
"0.16800","29.00940","0.00102"
"0.17400","29.01006","0.00095"
"0.18000","29.01072","0.00094"
"0.18600","29.01144","0.00097"
"0.19200","29.01209","0.00104"
"0.19800","29.01275","0.00103"
"0.20400","29.01341","0.00095"
"0.21000","29.01407","0.00093"
"0.21600","29.01472","0.00095"
"0.22200","29.01538","0.00100"
"0.22800","29.01604","0.00107"
"0.23400","29.01670","0.00105"
"0.24000","29.01736","0.00101"
"0.24600","29.01801","0.00096"
"0.25200","29.01867","0.00093"
"0.25800","29.01927","0.00093"
"0.26400","29.01993","0.00093"
"0.27000","29.02059","0.00100"
"0.27600","29.02118","0.00111"
"0.28200","29.02184","0.00120"
"0.28800","29.02250","0.00126"
"0.29400","29.02309","0.00131"
"0.30000","29.02369","0.00139"
"0.30600","29.02429","0.00150"
"0.31200","29.02489","0.00144"
"0.31800","29.02543","0.00124"
"0.32400","29.02603","0.00116"
"0.33000","29.02656","0.00115"
"0.33600","29.02716","0.00114"
"0.34200","29.02770","0.00118"
"0.34800","29.02824","0.00116"
"0.35400","29.02877","0.00121"
"0.36000","29.02932","0.00130"
"0.36600","29.02991","0.00135"
"0.37200","29.03039","0.00140"
"0.37800","29.03093","0.00139"
"0.38400","29.03147","0.00128"
"0.39000","29.03201","0.00123"
"0.39600","29.03254","0.00123"
"0.40200","29.03308","0.00126"
"0.40800","29.03362","0.00137"
"0.41400","29.03410","0.00145"
"0.42000","29.03463","0.00151"
"0.42600","29.03517","0.00147"
"0.43200","29.03571","0.00142"
"0.43800","29.03619","0.00143"
"0.44400","29.03673","0.00139"
"0.45000","29.03720","0.00135"
"0.45600","29.03774","0.00128"
"0.46200","29.03822","0.00112"
"0.46800","29.03870","0.00100"
"0.47400","29.03918","0.00103"
"0.48000","29.03972","0.00110"
"0.48600","29.04020","0.00124"
"0.49200","29.04068","0.00128"
"0.49800","29.04121","0.00115"
"0.50400","29.04169","0.00116"
"0.51000","29.04217","0.00125"
"0.51600","29.04271","0.00134"
"0.52200","29.04318","0.00140"
"0.52800","29.04366","0.00139"
"0.53400","29.04420","0.00136"
"0.54000","29.04468","0.00133"
"0.54600","29.04516","0.00132"
"0.55200","29.04570","0.00137"
"0.55800","29.04624","0.00143"
"0.56400","29.04671","0.00136"
"0.57000","29.04719","0.00126"
"0.57600","29.04773","0.00125"
"0.58200","29.04821","0.00118"
"0.58800","29.04869","0.00112"
"0.59400","29.04916","0.00113"
"0.60000","29.04964","0.00114"
"0.60600","29.05012","0.00118"
"0.61200","29.05066","0.00124"
"0.61800","29.05114","0.00129"
"0.62400","29.05162","0.00140"
"0.63000","29.05209","0.00150"
"0.63600","29.05257","0.00159"
"0.64200","29.05311","0.00162"
"0.64800","29.05359","0.00158"
"0.65400","29.05407","0.00157"
"0.66000","29.05454","0.00148"
"0.66600","29.05508","0.00130"
"0.67200","29.05556","0.00121"
"0.67800","29.05604","0.00117"
"0.68400","29.05658","0.00114"
"0.69000","29.05706","0.00115"
"0.69600","29.05754","0.00120"
"0.70200","29.05807","0.00123"
"0.70800","29.05861","0.00125"
"0.71400","29.05909","0.00128"
"0.72000","29.05957","0.00130"
"0.72600","29.06010","0.00136"
"0.73200","29.06058","0.00138"
"0.73800","29.06106","0.00149"
"0.74400","29.06154","0.00158"
"0.75000","29.06208","0.00161"
"0.75600","29.06256","0.00161"
"0.76200","29.06304","0.00153"
"0.76800","29.06358","0.00142"
"0.77400","29.06405","0.00133"
"0.78000","29.06453","0.00121"
"0.78600","29.06501","0.00119"
"0.79200","29.06555","0.00129"
"0.79800","29.06603","0.00138"
"0.80400","29.06650","0.00143"
"0.81000","29.06704","0.00132"
"0.81600","29.06752","0.00111"
"0.82200","29.06800","0.00099"
"0.82800","29.06853","0.00103"
"0.83400","29.06902","0.00106"
"0.84000","29.06955","0.00109"
"0.84600","29.07003","0.00107"
"0.85200","29.07057","0.00095"
"0.85800","29.07111","0.00089"
"0.86400","29.07159","0.00091"
"0.87000","29.07206","0.00090"
"0.87600","29.07260","0.00088"
"0.88200","29.07308","0.00085"
"0.88800","29.07356","0.00094"
"0.89400","29.07409","0.00103"
"0.90000","29.07458","0.00109"
"0.90600","29.07505","0.00114"
"0.91200","29.07553","0.00117"
"0.91800","29.07607","0.00118"
"0.92400","29.07655","0.00118"
"0.93000","29.07709","0.00123"
"0.93600","29.07757","0.00130"
"0.94200","29.07804","0.00124"
"0.94800","29.07858","0.00108"
"0.95400","29.07906","0.00096"
"0.96000","29.07960","0.00091"
"0.96600","29.08007","0.00079"
"0.97200","29.08061","0.00078"
"0.97800","29.08109","0.00073"
"0.98400","29.08163","0.00068"
"0.99000","29.08211","0.00071"
"0.99600","29.08265","0.00082"
"1.00200","29.08313","0.00094"
"1.00800","29.08366","0.00102"
"1.01400","29.08414","0.00106"
"1.02000","29.08462","0.00112"
"1.02600","29.08510","0.00122"
"1.03200","29.08563","0.00124"
"1.03800","29.08611","0.00131"
"1.04400","29.08659","0.00134"
"1.05000","29.08707","0.00132"
"1.05600","29.08755","0.00132"
"1.06200","29.08809","0.00125"
"1.06800","29.08857","0.00124"
"1.07400","29.08904","0.00132"
"1.08000","29.08958","0.00138"
"1.08600","29.09006","0.00144"
"1.09200","29.09060","0.00145"
"1.09800","29.09108","0.00137"
"1.10400","29.09161","0.00136"
"1.11000","29.09209","0.00142"
"1.11600","29.09263","0.00139"
"1.12200","29.09311","0.00132"
"1.12800","29.09365","0.00122"
"1.13400","29.09413","0.00116"
"1.14000","29.09466","0.00116"
"1.14600","29.09514","0.00116"
"1.15200","29.09562","0.00111"
"1.15800","29.09610","0.00113"
"1.16400","29.09664","0.00113"
"1.17000","29.09712","0.00110"
"1.17600","29.09759","0.00106"
"1.18200","29.09807","0.00104"
"1.18800","29.09861","0.00110"
"1.19400","29.09909","0.00116"
"1.20000","29.09957","0.00116"
"1.20600","29.10005","0.00124"
"1.21200","29.10058","0.00130"
"1.21800","29.10106","0.00134"
"1.22400","29.10154","0.00136"
"1.23000","29.10202","0.00135"
"1.23600","29.10255","0.00132"
"1.24200","29.10303","0.00133"
"1.24800","29.10357","0.00136"
"1.25400","29.10405","0.00139"
"1.26000","29.10459","0.00144"
"1.26600","29.10507","0.00146"
"1.27200","29.10555","0.00147"
"1.27800","29.10608","0.00151"
"1.28400","29.10656","0.00154"
"1.29000","29.10710","0.00158"
"1.29600","29.10758","0.00157"
"1.30200","29.10806","0.00147"
"1.30800","29.10853","0.00141"
"1.31400","29.10907","0.00131"
"1.32000","29.10955","0.00127"
"1.32600","29.11003","0.00121"
"1.33200","29.11057","0.00114"
"1.33800","29.11105","0.00123"
"1.34400","29.11152","0.00132"
"1.35000","29.11200","0.00133"
"1.35600","29.11254","0.00137"
"1.36200","29.11302","0.00135"
"1.36800","29.11350","0.00125"
"1.37400","29.11404","0.00122"
"1.38000","29.11451","0.00117"
"1.38600","29.11505","0.00108"
"1.39200","29.11553","0.00100"
"1.39800","29.11607","0.00099"
"1.40400","29.11654","0.00109"
"1.41000","29.11708","0.00120"
"1.41600","29.11756","0.00122"
"1.42200","29.11810","0.00120"
"1.42800","29.11858","0.00114"
"1.43400","29.11912","0.00109"
"1.44000","29.11960","0.00106"
"1.44600","29.12007","0.00100"
"1.45200","29.12061","0.00096"
"1.45800","29.12109","0.00095"
"1.46400","29.12157","0.00097"
"1.47000","29.12211","0.00112"
"1.47600","29.12259","0.00125"
"1.48200","29.12306","0.00126"
"1.48800","29.12360","0.00130"
"1.49400","29.12408","0.00137"
"1.50000","29.12456","0.00138"
"1.50600","29.12510","0.00141"
"1.51200","29.12557","0.00143"
"1.51800","29.12611","0.00145"
"1.52400","29.12659","0.00142"
"1.53000","29.12713","0.00131"
"1.53600","29.12761","0.00122"
"1.54200","29.12809","0.00122"
"1.54800","29.12862","0.00120"
"1.55400","29.12910","0.00126"
"1.56000","29.12964","0.00128"
"1.56600","29.13012","0.00129"
"1.57200","29.13060","0.00135"
"1.57800","29.13114","0.00130"
"1.58400","29.13161","0.00129"
"1.59000","29.13209","0.00140"
"1.59600","29.13263","0.00143"
"1.60200","29.13311","0.00139"
"1.60800","29.13359","0.00132"
"1.61400","29.13413","0.00136"
"1.62000","29.13460","0.00149"
"1.62600","29.13514","0.00157"
"1.63200","29.13562","0.00152"
"1.63800","29.13610","0.00142"
"1.64400","29.13663","0.00133"
"1.65000","29.13712","0.00123"
"1.65600","29.13765","0.00120"
"1.66200","29.13813","0.00115"
"1.66800","29.13861","0.00118"
"1.67400","29.13915","0.00119"
"1.68000","29.13963","0.00111"
"1.68600","29.14011","0.00108"
"1.69200","29.14064","0.00112"
"1.69800","29.14112","0.00113"
"1.70400","29.14160","0.00118"
"1.71000","29.14214","0.00113"
"1.71600","29.14261","0.00093"
"1.72200","29.14310","0.00096"
"1.72800","29.14363","0.00108"
"1.73400","29.14411","0.00117"
"1.74000","29.14459","0.00125"
"1.74600","29.14507","0.00120"
"1.75200","29.14561","0.00103"
"1.75800","29.14608","0.00097"
"1.76400","29.14656","0.00097"
"1.77000","29.14710","0.00107"
"1.77600","29.14758","0.00123"
"1.78200","29.14806","0.00130"
"1.78800","29.14859","0.00138"
"1.79400","29.14907","0.00150"
"1.80000","29.14955","0.00153"
"1.80600","29.15009","0.00155"
"1.81200","29.15057","0.00154"
"1.81800","29.15105","0.00149"
"1.82400","29.15158","0.00139"
"1.83000","29.15206","0.00133"
"1.83600","29.15254","0.00134"
"1.84200","29.15308","0.00130"
"1.84800","29.15355","0.00119"
"1.85400","29.15409","0.00116"
"1.86000","29.15457","0.00115"
"1.86600","29.15505","0.00112"
"1.87200","29.15559","0.00112"
"1.87800","29.15607","0.00107"
"1.88400","29.15655","0.00094"
"1.89000","29.15703","0.00089"
"1.89600","29.15756","0.00092"
"1.90200","29.15804","0.00100"
"1.90800","29.15852","0.00107"
"1.91400","29.15906","0.00112"
"1.92000","29.15953","0.00122"
"1.92600","29.16007","0.00126"
"1.93200","29.16055","0.00125"
"1.93800","29.16109","0.00126"
"1.94400","29.16157","0.00124"
"1.95000","29.16205","0.00120"
"1.95600","29.16259","0.00119"
"1.96200","29.16306","0.00120"
"1.96800","29.16354","0.00128"
"1.97400","29.16408","0.00141"
"1.98000","29.16456","0.00152"
