End date,"12/21/2016"
Specimen label,"24BG_95_run3"
Maximum Load,"0.04333",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","18.93768","0.00665"
"1.11000","18.93816","0.00663"
"1.11600","18.93863","0.00665"
"1.12200","18.93917","0.00662"
"1.12800","18.93965","0.00669"
"1.13400","18.94013","0.00674"
"1.14000","18.94067","0.00671"
"1.14600","18.94114","0.00673"
"1.15200","18.94168","0.00678"
"1.15800","18.94216","0.00686"
"1.16400","18.94270","0.00698"
"1.17000","18.94318","0.00700"
"1.17600","18.94372","0.00700"
"1.18200","18.94419","0.00695"
"1.18800","18.94473","0.00682"
"1.19400","18.94521","0.00673"
"1.20000","18.94575","0.00673"
"1.20600","18.94623","0.00672"
"1.21200","18.94670","0.00664"
"1.21800","18.94718","0.00660"
"1.22400","18.94772","0.00655"
"1.23000","18.94820","0.00643"
"1.23600","18.94868","0.00629"
"1.24200","18.94922","0.00624"
"1.24800","18.94970","0.00626"
"1.25400","18.95023","0.00625"
"1.26000","18.95071","0.00637"
"1.26600","18.95119","0.00655"
"1.27200","18.95173","0.00666"
"1.27800","18.95221","0.00677"
"1.28400","18.95268","0.00683"
"1.29000","18.95322","0.00689"
"1.29600","18.95370","0.00693"
"1.30200","18.95418","0.00678"
"1.30800","18.95472","0.00663"
"1.31400","18.95519","0.00658"
"1.32000","18.95573","0.00656"
"1.32600","18.95621","0.00655"
"1.33200","18.95675","0.00649"
"1.33800","18.95723","0.00643"
"1.34400","18.95777","0.00643"
"1.35000","18.95824","0.00648"
"1.35600","18.95872","0.00659"
"1.36200","18.95920","0.00668"
"1.36800","18.95974","0.00672"
"1.37400","18.96022","0.00675"
"1.38000","18.96070","0.00684"
"1.38600","18.96117","0.00680"
"1.39200","18.96171","0.00681"
"1.39800","18.96219","0.00676"
"1.40400","18.96267","0.00664"
"1.41000","18.96321","0.00658"
"1.41600","18.96369","0.00648"
"1.42200","18.96416","0.00642"
"1.42800","18.96464","0.00648"
"1.43400","18.96518","0.00657"
"1.44000","18.96566","0.00666"
"1.44600","18.96614","0.00671"
"1.45200","18.96667","0.00672"
"1.45800","18.96715","0.00672"
"1.46400","18.96769","0.00677"
"1.47000","18.96817","0.00680"
"1.47600","18.96871","0.00681"
"1.48200","18.96918","0.00682"
"1.48800","18.96972","0.00679"
"1.49400","18.97020","0.00681"
"1.50000","18.97068","0.00680"
"1.50600","18.97116","0.00673"
"1.51200","18.97164","0.00670"
"1.51800","18.97218","0.00670"
"1.52400","18.97265","0.00670"
"1.53000","18.97313","0.00677"
"1.53600","18.97367","0.00683"
"1.54200","18.97415","0.00688"
"1.54800","18.97463","0.00695"
"1.55400","18.97516","0.00696"
"1.56000","18.97564","0.00696"
"1.56600","18.97618","0.00687"
"1.57200","18.97666","0.00669"
"1.57800","18.97714","0.00666"
"1.58400","18.97762","0.00665"
"1.59000","18.97816","0.00661"
"1.59600","18.97863","0.00669"
"1.60200","18.97911","0.00675"
"1.60800","18.97965","0.00682"
"1.61400","18.98013","0.00692"
"1.62000","18.98067","0.00697"
"1.62600","18.98114","0.00696"
"1.63200","18.98162","0.00684"
"1.63800","18.98216","0.00676"
"1.64400","18.98264","0.00681"
"1.65000","18.98312","0.00683"
"1.65600","18.98365","0.00674"
"1.66200","18.98413","0.00670"
"1.66800","18.98461","0.00668"
"1.67400","18.98515","0.00674"
"1.68000","18.98563","0.00675"
"1.68600","18.98611","0.00672"
"1.69200","18.98664","0.00674"
"1.69800","18.98712","0.00670"
"1.70400","18.98766","0.00668"
"1.71000","18.98814","0.00673"
"1.71600","18.98868","0.00684"
"1.72200","18.98915","0.00681"
"1.72800","18.98963","0.00673"
"1.73400","18.99017","0.00664"
"1.74000","18.99065","0.00663"
"1.74600","18.99119","0.00663"
"1.75200","18.99167","0.00662"
"1.75800","18.99215","0.00673"
"1.76400","18.99268","0.00683"
"1.77000","18.99316","0.00689"
"1.77600","18.99370","0.00696"
"1.78200","18.99418","0.00702"
"1.78800","18.99472","0.00706"
"1.79400","18.99519","0.00711"
"1.80000","18.99567","0.00715"
"1.80600","18.99621","0.00712"
"1.81200","18.99669","0.00713"
"1.81800","18.99717","0.00715"
"1.82400","18.99764","0.00712"
"1.83000","18.99818","0.00711"
"1.83600","18.99866","0.00699"
"1.84200","18.99914","0.00690"
"1.84800","18.99962","0.00678"
"1.85400","19.00016","0.00674"
"1.86000","19.00064","0.00680"
"1.86600","19.00117","0.00692"
"1.87200","19.00165","0.00690"
"1.87800","19.00213","0.00688"
"1.88400","19.00267","0.00687"
"1.89000","19.00315","0.00682"
"1.89600","19.00368","0.00670"
"1.90200","19.00416","0.00655"
"1.90800","19.00464","0.00650"
"1.91400","19.00518","0.00661"
"1.92000","19.00566","0.00662"
"1.92600","19.00614","0.00664"
"1.93200","19.00667","0.00663"
"1.93800","19.00715","0.00665"
"1.94400","19.00763","0.00664"
"1.95000","19.00811","0.00667"
"1.95600","19.00865","0.00667"
"1.96200","19.00913","0.00672"
"1.96800","19.00966","0.00673"
"1.97400","19.01014","0.00665"
"1.98000","19.01068","0.00659"
"1.98600","19.01116","0.00651"
"1.99200","19.01164","0.00653"
"1.99800","19.01212","0.00666"
"2.00400","19.01265","0.00676"
"2.01000","19.01313","0.00685"
"2.01600","19.01367","0.00691"
"2.02200","19.01415","0.00695"
"2.02800","19.01463","0.00698"
"2.03400","19.01517","0.00695"
"2.04000","19.01564","0.00688"
"2.04600","19.01618","0.00685"
"2.05200","19.01666","0.00682"
"2.05800","19.01720","0.00680"
"2.06400","19.01768","0.00691"
"2.07000","19.01815","0.00698"
"2.07600","19.01863","0.00703"
"2.08200","19.01917","0.00696"
"2.08800","19.01965","0.00685"
"2.09400","19.02013","0.00677"
"2.10000","19.02061","0.00678"
"2.10600","19.02114","0.00664"
"2.11200","19.02162","0.00654"
"2.11800","19.02216","0.00651"
"2.12400","19.02264","0.00652"
"2.13000","19.02312","0.00652"
"2.13600","19.02365","0.00656"
"2.14200","19.02413","0.00668"
"2.14800","19.02461","0.00687"
"2.15400","19.02515","0.00699"
"2.16000","19.02563","0.00704"
"2.16600","19.02611","0.00702"
"2.17200","19.02664","0.00698"
"2.17800","19.02712","0.00699"
"2.18400","19.02766","0.00702"
"2.19000","19.02814","0.00705"
"2.19600","19.02868","0.00705"
"2.20200","19.02921","0.00702"
"2.20800","19.02969","0.00697"
"2.21400","19.03017","0.00693"
"2.22000","19.03071","0.00686"
"2.22600","19.03119","0.00689"
"2.23200","19.03172","0.00687"
"2.23800","19.03220","0.00683"
"2.24400","19.03268","0.00687"
"2.25000","19.03316","0.00685"
"2.25600","19.03370","0.00680"
"2.26200","19.03418","0.00676"
"2.26800","19.03466","0.00671"
"2.27400","19.03519","0.00660"
"2.28000","19.03567","0.00659"
"2.28600","19.03615","0.00657"
"2.29200","19.03669","0.00653"
"2.29800","19.03717","0.00657"
"2.30400","19.03770","0.00656"
"2.31000","19.03818","0.00662"
"2.31600","19.03872","0.00669"
"2.32200","19.03920","0.00677"
"2.32800","19.03974","0.00688"
"2.33400","19.04022","0.00702"
"2.34000","19.04075","0.00709"
"2.34600","19.04123","0.00717"
"2.35200","19.04177","0.00717"
"2.35800","19.04225","0.00722"
"2.36400","19.04273","0.00724"
"2.37000","19.04321","0.00718"
"2.37600","19.04368","0.00707"
"2.38200","19.04416","0.00707"
"2.38800","19.04470","0.00711"
"2.39400","19.04518","0.00713"
"2.40000","19.04566","0.00710"
"2.40600","19.04619","0.00699"
"2.41200","19.04667","0.00688"
"2.41800","19.04715","0.00671"
"2.42400","19.04769","0.00669"
"2.43000","19.04817","0.00673"
"2.43600","19.04865","0.00677"
"2.44200","19.04918","0.00685"
"2.44800","19.04966","0.00697"
"2.45400","19.05014","0.00707"
"2.46000","19.05068","0.00714"
"2.46600","19.05122","0.00721"
"2.47200","19.05169","0.00718"
"2.47800","19.05223","0.00709"
"2.48400","19.05271","0.00697"
"2.49000","19.05319","0.00690"
"2.49600","19.05373","0.00692"
"2.50200","19.05421","0.00698"
"2.50800","19.05469","0.00699"
"2.51400","19.05522","0.00694"
"2.52000","19.05570","0.00677"
"2.52600","19.05618","0.00668"
"2.53200","19.05672","0.00669"
"2.53800","19.05720","0.00670"
"2.54400","19.05767","0.00668"
"2.55000","19.05815","0.00671"
"2.55600","19.05863","0.00672"
"2.56200","19.05917","0.00665"
"2.56800","19.05965","0.00664"
"2.57400","19.06013","0.00673"
"2.58000","19.06060","0.00682"
"2.58600","19.06114","0.00682"
"2.59200","19.06162","0.00677"
"2.59800","19.06216","0.00677"
"2.60400","19.06264","0.00675"
"2.61000","19.06318","0.00676"
"2.61600","19.06365","0.00674"
"2.62200","19.06419","0.00667"
"2.62800","19.06467","0.00663"
"2.63400","19.06521","0.00659"
"2.64000","19.06569","0.00665"
"2.64600","19.06616","0.00681"
"2.65200","19.06670","0.00692"
"2.65800","19.06718","0.00699"
"2.66400","19.06766","0.00705"
"2.67000","19.06820","0.00714"
"2.67600","19.06868","0.00726"
"2.68200","19.06915","0.00730"
"2.68800","19.06969","0.00732"
"2.69400","19.07017","0.00729"
"2.70000","19.07065","0.00711"
"2.70600","19.07113","0.00689"
"2.71200","19.07161","0.00683"
"2.71800","19.07214","0.00681"
"2.72400","19.07262","0.00671"
"2.73000","19.07310","0.00660"
"2.73600","19.07364","0.00653"
"2.74200","19.07412","0.00656"
"2.74800","19.07465","0.00670"
"2.75400","19.07513","0.00672"
"2.76000","19.07567","0.00675"
"2.76600","19.07615","0.00673"
"2.77200","19.07669","0.00669"
"2.77800","19.07717","0.00669"
"2.78400","19.07764","0.00674"
"2.79000","19.07818","0.00677"
"2.79600","19.07866","0.00686"
"2.80200","19.07914","0.00690"
"2.80800","19.07968","0.00693"
"2.81400","19.08015","0.00691"
"2.82000","19.08069","0.00690"
"2.82600","19.08117","0.00691"
"2.83200","19.08171","0.00689"
"2.83800","19.08219","0.00679"
"2.84400","19.08267","0.00673"
"2.85000","19.08321","0.00671"
"2.85600","19.08368","0.00674"
"2.86200","19.08416","0.00683"
"2.86800","19.08470","0.00688"
"2.87400","19.08518","0.00692"
"2.88000","19.08566","0.00693"
"2.88600","19.08619","0.00684"
"2.89200","19.08667","0.00680"
"2.89800","19.08721","0.00683"
"2.90400","19.08769","0.00676"
"2.91000","19.08817","0.00666"
"2.91600","19.08871","0.00662"
"2.92200","19.08918","0.00666"
"2.92800","19.08966","0.00676"
"2.93400","19.09020","0.00684"
"2.94000","19.09068","0.00687"
"2.94600","19.09116","0.00685"
"2.95200","19.09170","0.00690"
"2.95800","19.09217","0.00692"
"2.96400","19.09271","0.00701"
"2.97000","19.09319","0.00697"
"2.97600","19.09373","0.00699"
"2.98200","19.09421","0.00707"
"2.98800","19.09468","0.00706"
"2.99400","19.09522","0.00702"
"3.00000","19.09570","0.00701"
"3.00600","19.09618","0.00698"
"3.01200","19.09672","0.00704"
"3.01800","19.09720","0.00713"
"3.02400","19.09768","0.00720"
"3.03000","19.09821","0.00721"
"3.03600","19.09869","0.00715"
"3.04200","19.09923","0.00707"
"3.04800","19.09971","0.00708"
"3.05400","19.10019","0.00696"
"3.06000","19.10072","0.00683"
"3.06600","19.10120","0.00681"
"3.07200","19.10168","0.00676"
"3.07800","19.10222","0.00683"
"3.08400","19.10270","0.00689"
"3.09000","19.10317","0.00687"
"3.09600","19.10365","0.00688"
"3.10200","19.10419","0.00684"
"3.10800","19.10467","0.00687"
"3.11400","19.10515","0.00703"
"3.12000","19.10569","0.00721"
"3.12600","19.10616","0.00735"
"3.13200","19.10670","0.00739"
"3.13800","19.10718","0.00733"
"3.14400","19.10766","0.00731"
"3.15000","19.10820","0.00732"
"3.15600","19.10868","0.00732"
"3.16200","19.10915","0.00727"
"3.16800","19.10963","0.00717"
"3.17400","19.11017","0.00703"
"3.18000","19.11065","0.00699"
"3.18600","19.11113","0.00693"
"3.19200","19.11160","0.00682"
"3.19800","19.11214","0.00673"
"3.20400","19.11262","0.00671"
"3.21000","19.11310","0.00674"
"3.21600","19.11364","0.00677"
"3.22200","19.11412","0.00680"
"3.22800","19.11460","0.00686"
"3.23400","19.11513","0.00691"
"3.24000","19.11561","0.00698"
"3.24600","19.11609","0.00713"
"3.25200","19.11663","0.00719"
"3.25800","19.11711","0.00724"
"3.26400","19.11764","0.00726"
"3.27000","19.11812","0.00716"
"3.27600","19.11860","0.00701"
"3.28200","19.11914","0.00692"
"3.28800","19.11962","0.00681"
"3.29400","19.12016","0.00676"
"3.30000","19.12063","0.00678"
"3.30600","19.12117","0.00675"
"3.31200","19.12165","0.00671"
"3.31800","19.12219","0.00667"
"3.32400","19.12267","0.00667"
"3.33000","19.12314","0.00674"
"3.33600","19.12368","0.00673"
"3.34200","19.12416","0.00674"
"3.34800","19.12470","0.00671"
"3.35400","19.12518","0.00663"
"3.36000","19.12572","0.00660"
"3.36600","19.12619","0.00670"
"3.37200","19.12667","0.00677"
"3.37800","19.12721","0.00684"
"3.38400","19.12769","0.00696"
"3.39000","19.12823","0.00705"
"3.39600","19.12870","0.00716"
"3.40200","19.12918","0.00721"
"3.40800","19.12972","0.00727"
"3.41400","19.13020","0.00728"
"3.42000","19.13068","0.00714"
"3.42600","19.13122","0.00694"
"3.43200","19.13169","0.00689"
"3.43800","19.13217","0.00693"
"3.44400","19.13265","0.00692"
"3.45000","19.13319","0.00688"
"3.45600","19.13367","0.00687"
"3.46200","19.13415","0.00692"
"3.46800","19.13468","0.00699"
"3.47400","19.13516","0.00706"
"3.48000","19.13570","0.00719"
"3.48600","19.13618","0.00720"
"3.49200","19.13671","0.00714"
"3.49800","19.13719","0.00716"
"3.50400","19.13767","0.00722"
"3.51000","19.13821","0.00725"
"3.51600","19.13869","0.00723"
"3.52200","19.13917","0.00714"
"3.52800","19.13971","0.00714"
"3.53400","19.14018","0.00715"
"3.54000","19.14072","0.00722"
"3.54600","19.14120","0.00735"
"3.55200","19.14168","0.00734"
"3.55800","19.14216","0.00727"
"3.56400","19.14269","0.00731"
"3.57000","19.14317","0.00731"
"3.57600","19.14365","0.00729"
"3.58200","19.14413","0.00730"
"3.58800","19.14467","0.00728"
"3.59400","19.14515","0.00721"
"3.60000","19.14569","0.00713"
"3.60600","19.14616","0.00702"
"3.61200","19.14664","0.00699"
"3.61800","19.14718","0.00700"
"3.62400","19.14766","0.00702"
"3.63000","19.14820","0.00699"
"3.63600","19.14867","0.00698"
"3.64200","19.14915","0.00695"
"3.64800","19.14969","0.00695"
"3.65400","19.15017","0.00700"
"3.66000","19.15065","0.00709"
"3.66600","19.15118","0.00725"
"3.67200","19.15166","0.00733"
"3.67800","19.15214","0.00738"
"3.68400","19.15268","0.00732"
"3.69000","19.15316","0.00715"
"3.69600","19.15364","0.00703"
"3.70200","19.15411","0.00696"
"3.70800","19.15465","0.00697"
"3.71400","19.15513","0.00700"
"3.72000","19.15561","0.00704"
"3.72600","19.15615","0.00709"
"3.73200","19.15663","0.00710"
"3.73800","19.15710","0.00706"
"3.74400","19.15764","0.00708"
"3.75000","19.15812","0.00718"
"3.75600","19.15866","0.00722"
"3.76200","19.15914","0.00725"
"3.76800","19.15961","0.00718"
"3.77400","19.16015","0.00710"
"3.78000","19.16063","0.00702"
"3.78600","19.16117","0.00694"
"3.79200","19.16165","0.00693"
"3.79800","19.16213","0.00701"
"3.80400","19.16266","0.00705"
"3.81000","19.16314","0.00702"
"3.81600","19.16362","0.00693"
"3.82200","19.16416","0.00688"
"3.82800","19.16464","0.00696"
"3.83400","19.16512","0.00694"
"3.84000","19.16559","0.00684"
"3.84600","19.16613","0.00676"
"3.85200","19.16661","0.00672"
"3.85800","19.16709","0.00669"
"3.86400","19.16763","0.00680"
"3.87000","19.16811","0.00685"
"3.87600","19.16864","0.00681"
"3.88200","19.16912","0.00680"
"3.88800","19.16966","0.00683"
"3.89400","19.17014","0.00685"
"3.90000","19.17068","0.00686"
"3.90600","19.17122","0.00689"
"3.91200","19.17169","0.00701"
"3.91800","19.17223","0.00706"
"3.92400","19.17271","0.00711"
"3.93000","19.17325","0.00718"
"3.93600","19.17373","0.00718"
"3.94200","19.17421","0.00714"
"3.94800","19.17474","0.00709"
"3.95400","19.17522","0.00703"
"3.96000","19.17570","0.00699"
"3.96600","19.17618","0.00701"
"3.97200","19.17666","0.00694"
"3.97800","19.17719","0.00692"
"3.98400","19.17767","0.00691"
"3.99000","19.17815","0.00695"
"3.99600","19.17863","0.00700"
"4.00200","19.17917","0.00699"
"4.00800","19.17965","0.00691"
"4.01400","19.18012","0.00690"
"4.02000","19.18066","0.00685"
"4.02600","19.18114","0.00686"
"4.03200","19.18168","0.00680"
"4.03800","19.18216","0.00670"
"4.04400","19.18270","0.00665"
"4.05000","19.18323","0.00674"
"4.05600","19.18371","0.00688"
