End date,"12/21/2016"
Specimen label,"23DGG_81"
Maximum Load,"0.23561",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00056"
"1.10400","0.09226","0.00056"
"1.11000","0.09279","0.00069"
"1.11600","0.09327","0.00078"
"1.12200","0.09381","0.00085"
"1.12800","0.09429","0.00090"
"1.13400","0.09477","0.00102"
"1.14000","0.09530","0.00112"
"1.14600","0.09578","0.00102"
"1.15200","0.09626","0.00097"
"1.15800","0.09680","0.00093"
"1.16400","0.09728","0.00095"
"1.17000","0.09782","0.00101"
"1.17600","0.09829","0.00104"
"1.18200","0.09883","0.00103"
"1.18800","0.09931","0.00100"
"1.19400","0.09979","0.00098"
"1.20000","0.10027","0.00097"
"1.20600","0.10081","0.00099"
"1.21200","0.10128","0.00106"
"1.21800","0.10176","0.00117"
"1.22400","0.10224","0.00124"
"1.23000","0.10278","0.00115"
"1.23600","0.10326","0.00107"
"1.24200","0.10373","0.00100"
"1.24800","0.10427","0.00091"
"1.25400","0.10475","0.00085"
"1.26000","0.10529","0.00081"
"1.26600","0.10577","0.00079"
"1.27200","0.10625","0.00087"
"1.27800","0.10678","0.00089"
"1.28400","0.10726","0.00086"
"1.29000","0.10774","0.00088"
"1.29600","0.10822","0.00084"
"1.30200","0.10870","0.00088"
"1.30800","0.10924","0.00095"
"1.31400","0.10971","0.00089"
"1.32000","0.11025","0.00088"
"1.32600","0.11073","0.00084"
"1.33200","0.11121","0.00086"
"1.33800","0.11169","0.00088"
"1.34400","0.11222","0.00078"
"1.35000","0.11270","0.00068"
"1.35600","0.11318","0.00063"
"1.36200","0.11372","0.00055"
"1.36800","0.11420","0.00057"
"1.37400","0.11468","0.00061"
"1.38000","0.11521","0.00059"
"1.38600","0.11569","0.00056"
"1.39200","0.11623","0.00060"
"1.39800","0.11671","0.00062"
"1.40400","0.11725","0.00069"
"1.41000","0.11773","0.00079"
"1.41600","0.11820","0.00090"
"1.42200","0.11874","0.00095"
"1.42800","0.11922","0.00096"
"1.43400","0.11970","0.00097"
"1.44000","0.12018","0.00104"
"1.44600","0.12072","0.00104"
"1.45200","0.12119","0.00108"
"1.45800","0.12167","0.00110"
"1.46400","0.12221","0.00103"
"1.47000","0.12269","0.00108"
"1.47600","0.12317","0.00111"
"1.48200","0.12370","0.00106"
"1.48800","0.12418","0.00104"
"1.49400","0.12466","0.00102"
"1.50000","0.12520","0.00102"
"1.50600","0.12568","0.00094"
"1.51200","0.12616","0.00083"
"1.51800","0.12669","0.00080"
"1.52400","0.12717","0.00074"
"1.53000","0.12765","0.00069"
"1.53600","0.12819","0.00073"
"1.54200","0.12867","0.00071"
"1.54800","0.12921","0.00063"
"1.55400","0.12968","0.00068"
"1.56000","0.13022","0.00079"
"1.56600","0.13070","0.00086"
"1.57200","0.13118","0.00091"
"1.57800","0.13172","0.00094"
"1.58400","0.13219","0.00096"
"1.59000","0.13267","0.00099"
"1.59600","0.13315","0.00102"
"1.60200","0.13369","0.00102"
"1.60800","0.13417","0.00094"
"1.61400","0.13465","0.00085"
"1.62000","0.13518","0.00077"
"1.62600","0.13566","0.00072"
"1.63200","0.13614","0.00076"
"1.63800","0.13668","0.00095"
"1.64400","0.13716","0.00109"
"1.65000","0.13764","0.00111"
"1.65600","0.13817","0.00105"
"1.66200","0.13871","0.00093"
"1.66800","0.13919","0.00090"
"1.67400","0.13973","0.00086"
"1.68000","0.14021","0.00079"
"1.68600","0.14074","0.00079"
"1.69200","0.14122","0.00083"
"1.69800","0.14176","0.00081"
"1.70400","0.14224","0.00083"
"1.71000","0.14278","0.00084"
"1.71600","0.14326","0.00086"
"1.72200","0.14373","0.00091"
"1.72800","0.14427","0.00095"
"1.73400","0.14475","0.00103"
"1.74000","0.14523","0.00103"
"1.74600","0.14571","0.00095"
"1.75200","0.14619","0.00090"
"1.75800","0.14672","0.00084"
"1.76400","0.14720","0.00075"
"1.77000","0.14768","0.00075"
"1.77600","0.14822","0.00072"
"1.78200","0.14870","0.00064"
"1.78800","0.14917","0.00055"
"1.79400","0.14971","0.00050"
"1.80000","0.15019","0.00057"
"1.80600","0.15073","0.00071"
"1.81200","0.15121","0.00083"
"1.81800","0.15175","0.00099"
"1.82400","0.15222","0.00108"
"1.83000","0.15270","0.00114"
"1.83600","0.15324","0.00119"
"1.84200","0.15372","0.00119"
"1.84800","0.15426","0.00117"
"1.85400","0.15474","0.00107"
"1.86000","0.15521","0.00093"
"1.86600","0.15569","0.00089"
"1.87200","0.15623","0.00087"
"1.87800","0.15671","0.00090"
"1.88400","0.15719","0.00096"
"1.89000","0.15772","0.00109"
"1.89600","0.15820","0.00113"
"1.90200","0.15868","0.00118"
"1.90800","0.15922","0.00114"
"1.91400","0.15970","0.00105"
"1.92000","0.16018","0.00095"
"1.92600","0.16071","0.00084"
"1.93200","0.16119","0.00077"
"1.93800","0.16167","0.00073"
"1.94400","0.16221","0.00066"
"1.95000","0.16269","0.00061"
"1.95600","0.16317","0.00062"
"1.96200","0.16370","0.00068"
"1.96800","0.16418","0.00080"
"1.97400","0.16472","0.00086"
"1.98000","0.16520","0.00088"
"1.98600","0.16568","0.00089"
"1.99200","0.16621","0.00088"
"1.99800","0.16669","0.00087"
"2.00400","0.16717","0.00092"
"2.01000","0.16765","0.00099"
"2.01600","0.16819","0.00103"
"2.02200","0.16867","0.00107"
"2.02800","0.16914","0.00107"
"2.03400","0.16968","0.00112"
"2.04000","0.17016","0.00117"
"2.04600","0.17064","0.00117"
"2.05200","0.17118","0.00119"
"2.05800","0.17166","0.00111"
"2.06400","0.17213","0.00098"
"2.07000","0.17267","0.00101"
"2.07600","0.17315","0.00096"
"2.08200","0.17363","0.00090"
"2.08800","0.17417","0.00085"
"2.09400","0.17465","0.00077"
"2.10000","0.17518","0.00079"
"2.10600","0.17566","0.00090"
"2.11200","0.17620","0.00105"
"2.11800","0.17668","0.00123"
"2.12400","0.17722","0.00138"
"2.13000","0.17769","0.00140"
"2.13600","0.17823","0.00144"
"2.14200","0.17871","0.00146"
"2.14800","0.17919","0.00137"
"2.15400","0.17967","0.00129"
"2.16000","0.18021","0.00123"
"2.16600","0.18068","0.00117"
"2.17200","0.18116","0.00112"
"2.17800","0.18170","0.00107"
"2.18400","0.18218","0.00105"
"2.19000","0.18272","0.00103"
"2.19600","0.18320","0.00096"
"2.20200","0.18367","0.00099"
"2.20800","0.18421","0.00104"
"2.21400","0.18469","0.00109"
"2.22000","0.18517","0.00118"
"2.22600","0.18571","0.00127"
"2.23200","0.18618","0.00129"
"2.23800","0.18672","0.00130"
"2.24400","0.18720","0.00121"
"2.25000","0.18768","0.00114"
"2.25600","0.18822","0.00112"
"2.26200","0.18876","0.00110"
"2.26800","0.18923","0.00110"
"2.27400","0.18971","0.00105"
"2.28000","0.19025","0.00090"
"2.28600","0.19073","0.00087"
"2.29200","0.19121","0.00087"
"2.29800","0.19175","0.00082"
"2.30400","0.19222","0.00086"
"2.31000","0.19270","0.00100"
"2.31600","0.19324","0.00112"
"2.32200","0.19372","0.00112"
"2.32800","0.19420","0.00102"
"2.33400","0.19473","0.00097"
"2.34000","0.19521","0.00108"
"2.34600","0.19575","0.00118"
"2.35200","0.19623","0.00121"
"2.35800","0.19671","0.00125"
"2.36400","0.19725","0.00122"
"2.37000","0.19772","0.00115"
"2.37600","0.19820","0.00115"
"2.38200","0.19874","0.00114"
"2.38800","0.19922","0.00114"
"2.39400","0.19976","0.00121"
"2.40000","0.20024","0.00124"
"2.40600","0.20071","0.00137"
"2.41200","0.20125","0.00140"
"2.41800","0.20173","0.00140"
"2.42400","0.20221","0.00129"
"2.43000","0.20275","0.00109"
"2.43600","0.20322","0.00100"
"2.44200","0.20370","0.00097"
"2.44800","0.20418","0.00103"
"2.45400","0.20472","0.00112"
"2.46000","0.20520","0.00114"
"2.46600","0.20568","0.00113"
"2.47200","0.20621","0.00118"
"2.47800","0.20669","0.00116"
"2.48400","0.20723","0.00122"
"2.49000","0.20771","0.00125"
"2.49600","0.20819","0.00118"
"2.50200","0.20867","0.00122"
"2.50800","0.20920","0.00126"
"2.51400","0.20968","0.00118"
"2.52000","0.21016","0.00112"
"2.52600","0.21070","0.00110"
"2.53200","0.21118","0.00112"
"2.53800","0.21171","0.00120"
"2.54400","0.21219","0.00121"
"2.55000","0.21267","0.00121"
"2.55600","0.21321","0.00131"
"2.56200","0.21369","0.00137"
"2.56800","0.21417","0.00147"
"2.57400","0.21470","0.00147"
"2.58000","0.21518","0.00140"
"2.58600","0.21566","0.00134"
"2.59200","0.21620","0.00124"
"2.59800","0.21668","0.00119"
"2.60400","0.21716","0.00117"
"2.61000","0.21769","0.00117"
