End date,"12/21/2016"
Specimen label,"24BG_95_run2"
Maximum Load,"0.01226",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","7.50783","0.00789"
"0.00600","7.50783","0.00786"
"0.01200","7.50783","0.00796"
"0.01800","7.50789","0.00803"
"0.02400","7.50801","0.00799"
"0.03000","7.50807","0.00801"
"0.03600","7.50825","0.00794"
"0.04200","7.50837","0.00780"
"0.04800","7.50855","0.00778"
"0.05400","7.50879","0.00774"
"0.06000","7.50897","0.00777"
"0.06600","7.50921","0.00783"
"0.07200","7.50951","0.00787"
"0.07800","7.50980","0.00799"
"0.08400","7.51010","0.00796"
"0.09000","7.51040","0.00787"
"0.09600","7.51082","0.00787"
"0.10200","7.51118","0.00784"
"0.10800","7.51160","0.00773"
"0.11400","7.51208","0.00763"
"0.12000","7.51256","0.00756"
"0.12600","7.51303","0.00758"
"0.13200","7.51357","0.00768"
"0.13800","7.51417","0.00781"
"0.14400","7.51471","0.00796"
"0.15000","7.51531","0.00798"
"0.15600","7.51590","0.00795"
"0.16200","7.51656","0.00793"
"0.16800","7.51716","0.00792"
"0.17400","7.51782","0.00795"
"0.18000","7.51847","0.00805"
"0.18600","7.51913","0.00809"
"0.19200","7.51985","0.00808"
"0.19800","7.52051","0.00805"
"0.20400","7.52116","0.00804"
"0.21000","7.52188","0.00809"
"0.21600","7.52260","0.00818"
"0.22200","7.52326","0.00824"
"0.22800","7.52397","0.00828"
"0.23400","7.52469","0.00824"
"0.24000","7.52541","0.00814"
"0.24600","7.52607","0.00817"
"0.25200","7.52678","0.00814"
"0.25800","7.52744","0.00808"
"0.26400","7.52810","0.00804"
"0.27000","7.52876","0.00798"
"0.27600","7.52936","0.00798"
"0.28200","7.53001","0.00802"
"0.28800","7.53067","0.00809"
"0.29400","7.53127","0.00813"
"0.30000","7.53187","0.00813"
"0.30600","7.53246","0.00811"
"0.31200","7.53312","0.00811"
"0.31800","7.53372","0.00809"
"0.32400","7.53432","0.00812"
"0.33000","7.53492","0.00814"
"0.33600","7.53545","0.00807"
"0.34200","7.53605","0.00791"
"0.34800","7.53665","0.00778"
"0.35400","7.53719","0.00772"
"0.36000","7.53779","0.00783"
"0.36600","7.53832","0.00800"
"0.37200","7.53886","0.00807"
"0.37800","7.53940","0.00801"
"0.38400","7.53994","0.00796"
"0.39000","7.54048","0.00796"
"0.39600","7.54096","0.00798"
"0.40200","7.54149","0.00792"
"0.40800","7.54203","0.00781"
"0.41400","7.54251","0.00775"
"0.42000","7.54305","0.00777"
"0.42600","7.54359","0.00782"
"0.43200","7.54406","0.00790"
"0.43800","7.54454","0.00791"
"0.44400","7.54508","0.00786"
"0.45000","7.54556","0.00780"
"0.45600","7.54610","0.00779"
"0.46200","7.54658","0.00793"
"0.46800","7.54711","0.00807"
"0.47400","7.54759","0.00815"
"0.48000","7.54807","0.00818"
"0.48600","7.54861","0.00805"
"0.49200","7.54915","0.00796"
"0.49800","7.54962","0.00806"
"0.50400","7.55010","0.00817"
"0.51000","7.55058","0.00820"
"0.51600","7.55112","0.00817"
"0.52200","7.55160","0.00813"
"0.52800","7.55208","0.00816"
"0.53400","7.55255","0.00816"
"0.54000","7.55303","0.00824"
"0.54600","7.55357","0.00828"
"0.55200","7.55405","0.00818"
"0.55800","7.55459","0.00811"
"0.56400","7.55507","0.00818"
"0.57000","7.55554","0.00822"
"0.57600","7.55608","0.00820"
"0.58200","7.55656","0.00818"
"0.58800","7.55704","0.00808"
"0.59400","7.55758","0.00798"
"0.60000","7.55806","0.00789"
"0.60600","7.55853","0.00792"
"0.61200","7.55907","0.00803"
"0.61800","7.55955","0.00814"
"0.62400","7.56009","0.00820"
"0.63000","7.56057","0.00827"
"0.63600","7.56110","0.00833"
"0.64200","7.56158","0.00832"
"0.64800","7.56206","0.00826"
"0.65400","7.56254","0.00822"
"0.66000","7.56308","0.00823"
"0.66600","7.56356","0.00822"
"0.67200","7.56403","0.00817"
"0.67800","7.56451","0.00818"
"0.68400","7.56505","0.00821"
"0.69000","7.56553","0.00822"
"0.69600","7.56601","0.00818"
"0.70200","7.56654","0.00808"
"0.70800","7.56702","0.00801"
"0.71400","7.56756","0.00806"
"0.72000","7.56804","0.00817"
"0.72600","7.56852","0.00825"
"0.73200","7.56906","0.00827"
"0.73800","7.56953","0.00819"
"0.74400","7.57007","0.00819"
"0.75000","7.57055","0.00818"
"0.75600","7.57103","0.00817"
"0.76200","7.57151","0.00815"
"0.76800","7.57205","0.00809"
"0.77400","7.57252","0.00796"
"0.78000","7.57306","0.00794"
"0.78600","7.57354","0.00797"
"0.79200","7.57402","0.00803"
"0.79800","7.57450","0.00805"
"0.80400","7.57504","0.00798"
"0.81000","7.57551","0.00787"
"0.81600","7.57599","0.00780"
"0.82200","7.57653","0.00773"
"0.82800","7.57701","0.00781"
"0.83400","7.57749","0.00786"
"0.84000","7.57802","0.00789"
"0.84600","7.57850","0.00794"
"0.85200","7.57898","0.00794"
"0.85800","7.57952","0.00795"
"0.86400","7.58000","0.00791"
"0.87000","7.58048","0.00787"
"0.87600","7.58101","0.00782"
"0.88200","7.58149","0.00779"
"0.88800","7.58197","0.00776"
"0.89400","7.58251","0.00778"
"0.90000","7.58299","0.00785"
"0.90600","7.58353","0.00791"
"0.91200","7.58400","0.00793"
"0.91800","7.58448","0.00785"
"0.92400","7.58502","0.00783"
"0.93000","7.58550","0.00792"
"0.93600","7.58598","0.00794"
