"Ptime","Pload","Vtime","Vload"
102.096,0.39886,102.174,0.34883
102.354,0.34327,102.432,0.26819
106.926,0.28809,107.034,0.18771
114.51,0.28671,114.576,0.16381
143.568,0.46579,143.682,0.4013
166.368,0.62708,166.464,0.58521
179.274,0.72781,179.37,0.62172
181.578,0.615,181.656,0.55906
196.854,0.66782,196.92,0.61563
209.334,0.69926,209.412,0.6222
209.64,0.6204,209.706,0.57012
217.098,0.6066,217.188,0.31229
248.934,0.48994,249,0.42942
259.296,0.48763,259.41,0.04956
276.978,0.16685,277.092,0.08018
356.826,0.23676,356.892,-0.01653
356.91,0.0085,356.934,-0.02749
