"Ptime","Pload","Vtime","Vload"
122.406,0.51068,122.544,0.45883
122.874,0.45933,122.946,0.4068
143.874,0.64336,143.946,0.60406
144.42,0.60879,144.468,0.57832
154.818,0.68919,154.902,0.64693
164.898,0.73195,165,0.46958
203.01,0.9781,203.076,0.90442
215.454,1.06361,215.586,0.66201
215.658,0.67225,215.718,0.63629
238.08,0.93032,238.146,0.82881
246.882,0.90838,246.948,0.65003
246.954,0.65071,246.972,0.62639
247.95,0.6205,248.094,0.39256
288.774,1.02086,288.834,0.93985
302.586,1.15301,302.67,1.06014
306.492,1.11331,306.564,0.98467
315.156,1.13625,315.222,0.99716
329.334,1.13743,329.394,1.09347
330.936,1.09537,331.014,-0.0044
331.02,0.00233,331.05,-0.04959
422.748,0.44611,422.904,0.05721
468.168,0.47642,468.258,0.28947
468.264,0.29248,468.282,0.28042
480.594,0.41957,480.744,0.32405
486.438,0.38054,486.6,0.32195
495.054,0.38777,495.15,0.02336
589.116,0.61517,589.188,0.43809
637.896,0.66414,637.974,0.56
647.13,0.5601,647.262,0.11233
647.274,0.14427,647.292,0.13261
730.698,0.60606,731.214,0.13464
731.232,0.16499,731.244,0.15167
731.322,0.1883,731.334,0.17805
780.096,0.5872,780.27,-0.08047
780.288,-0.01733,780.312,-0.08404
