"Ptime","Pload","Vtime","Vload"
112.602,0.47769,112.668,0.37
164.442,1.38742,164.52,1.19191
164.982,1.18587,165.06,0.9354
177.12,1.14097,177.282,0.75295
184.05,0.96976,184.146,0.83227
189.672,1.00179,189.816,0.84146
190.548,0.86238,190.638,0.65104
205.104,1.0657,205.242,0.9807
205.926,0.86997,206.064,0.69078
209.73,0.75581,209.814,0.50589
209.91,0.5128,209.994,0.36501
216.708,0.52416,216.762,0.48143
224.7,0.68676,224.778,0.45828
231.108,0.62575,231.192,0.49123
236.868,0.60937,237.042,0.41032
242.178,0.51061,242.238,0.41538
250.5,0.52993,250.584,0.39369
250.794,0.39489,250.884,0.04597
294.846,0.82885,294.966,0.12507
295.08,0.20451,295.152,0.13247
316.926,0.77146,317.082,0.57674
325.764,0.83105,325.854,0.71275
340.026,1.06486,340.104,0.91278
352.062,1.17268,352.152,0.98818
356.856,1.08578,356.988,0.87418
366.012,1.01959,366.156,0.50766
366.282,0.51831,366.306,0.50323
374.898,0.63486,374.994,0.38822
379.974,0.40209,380.04,0.03753
380.046,0.03959,380.058,0.02881
446.418,0.17965,446.472,0.13315
449.298,0.14747,449.55,0.07798
473.592,0.13592,473.676,0.09349
503.412,0.09822,503.466,0.05285
516.132,0.04786,516.216,-0.00988
