"Ptime","Pload","Vtime","Vload"
96.906,0.28157,97.068,0.02989
97.074,0.03395,97.098,0.00301
107.328,0.07995,107.4,0.03087
147.126,0.41255,147.216,0.28825
157.548,0.49726,157.71,0.42695
164.52,0.55018,164.592,0.47714
170.424,0.6054,170.508,0.41061
179.124,0.69942,179.274,0.62336
186.228,0.8067,186.366,0.71045
186.774,0.71549,186.888,0.67017
209.82,1.32302,209.91,1.23412
210.33,1.23744,210.414,1.13526
212.634,1.17477,212.712,0.92645
214.95,0.93947,215.022,0.72751
216.312,0.65061,216.384,0.52899
219.216,0.61755,219.348,0.48481
232.332,0.79523,232.488,0.66053
242.592,0.88027,242.742,0.76752
254.544,0.98813,254.694,0.88103
258.282,0.94242,258.45,-0.03295
300.678,0.23515,300.786,0.01556
352.59,0.47701,352.656,0.22538
352.662,0.22907,352.674,0.21616
359.532,0.25681,359.58,0.00388
359.592,0.01298,359.616,-0.02311
