num,old_label,new_label,sample_duplicate_run_exclude,specimen_label,notes,,old_label,new_label
81,11DG_Unk2,11DG_Unk2,0,11DG_Unk2,,9,11BG_81_2,11BG_81.2
82,12BT_91,12BT_91,0,12BT_91,,10,11BG_84,11BG_84
83,12BT_95,12BT_95,0,12BT_95,,11,11DG_85,11DG_85
84,12CG_91,12CG_91,0,12CG_91,,12,11DG_unk1,11DG_unk1
85,12CG_94,12CG_94,0,12CG_94,,13,11DG_Unk2,11DG_Unk2
86,12DT_90,12DT_90,0,12DT_90,,14,12BT_91,12BT_91
87,12DT_92,12DT_92,0,12DT_92,,15,12BT_95,12BT_95
88,13AT_2,13AT_2,0,13AT_2,,16,12CG_91,12CG_91
89,13AT_3,13AT_3,0,13AT_3,,17,12CG_94,12CG_94
90,13BG_2,13BG_2,0,13BG_2,,18,12DT_90,12DT_90
91,13BG_8,13BG_8,0,13BG_8,,19,12DT_92,12DT_92
92,13CT_5,13CT_5,0,13CT_5,,20,13AT_2,13AT_2
93,13CT_6,13CT_6,0,13CT_6,,21,13AT_3,13AT_3
94,13DG_5,13DG_5,0,13DG_5,,22,13BG_2,13BG_2
95,13DG_unk,13DG_unk,0,13DG_unk,,23,13BG_8,13BG_8
96,14AG_11,14AG_11,0,14AG_11,,24,13CT_5,13CT_5
97,14AG_70,14AG_70,0,14AG_70,,25,13CT_6,13CT_6
98,14AG_Unk,14AG_Unk,0,14AG_Unk,,26,13DG_5,13DG_5
99,14BT_10,14BT_10,0,14BT_10,,27,13DG_unk,13DG_unk
100,14BT_14,14BT_14,0,14BT_14,,28,14AG_11,14AG_11
101,14CG_12,14CG_12,0,14CG_12,,29,14AG_70,14AG_70
102,14CG_13,14CG_13,0,14CG_13,,30,14AG_Unk,14AG_Unk
103,14CG_15,14CG_15,0,14CG_15,,31,14BT_10,14BT_10
104,14DT_NT1,14DT_NT1,0,14DT_NT1,,32,14BT_14,14BT_14
105,14DT_NT2,14DT_NT2,0,14DT_NT2,,33,14CG_12,14CG_12
106,15AG_19,15AG_19,0,15AG_19,,34,14CG_13,14CG_13
107,15BT_19,15BT_19,0,15BT_19,,35,14CG_15,14CG_15
108,15BT_21,15BT_21,0,15BT_21,,36,14DT_NT1,14DT_NT1
109,15CG_17,15CG_17,0,15CG_17,,37,14DT_NT2,14DT_NT2
110,15CG_21_run2,15CG_21run2,0,,,38,15AG_19,15AG_19
111,15DT_23,15DT_23,0,15DT_23,,39,15BT_19,15BT_19
112,15DT_27,15DT_27,0,15DT_27,,40,15BT_21,15BT_21
113,16AT_26_run2,16AT_26run2,0,16AT_26_run2,,41,15CG_17,15CG_17
114,16AT_Unk,16AT_Unk,0,16AT_Unk,,42,15DT_23,15DT_23
115,16BG_29,16BG_29,0,16BG_29,,43,15DT_27,15DT_27
116,16BG_30,16BG_30,0,16BG_30,,44,16AT_26_run2,16AT_26run2
117,16BG_32,16BG_32,0,16BG_32,,45,16AT_Unk,16AT_Unk
118,16CT_29_run2,16CT_29run2,0,16CT_29_run2,,46,16BG_29,16BG_29
119,16CT_30,16CT_30,0,16CT_30,,47,16BG_30,16BG_30
120,16DG_25,16DG_25,0,16DG_25,,48,16BG_32,16BG_32
121,16DG_31_run2,16DG_31run2,0,16DG_31_run2,,49,16CT_29_run2,16CT_29run2
122,17AT_35,17AT_35,0,17AT_35,,50,16CT_30,16CT_30
123,17AT_40,17AT_40,0,17AT_40,,51,16DG_25,16DG_25
124,17BC_36,17BG_36,0,17BC_36,Corrected typo 4.24.19,52,16DG_31_run2,16DG_31run2
125,17BG_38,17BG_38,0,17BG_38,,53,17AT_35,17AT_35
126,17BC_40,17BG_40,0,17BC_40,Corrected typo 4.24.19,54,17AT_40,17AT_40
127,17CT_33,17CT_33,0,17CT_33,,55,17BC_36,17BG_36
128,17CT_36,17CT_36,0,17CT_36,,57,17BG_38,17BG_38
129,17DG_34,17DG_34,0,17DG_34,,56,17BC_40,17BG_40
130,17DG_35,17DG_35,0,17DG_35,,58,17CT_33,17CT_33
131,17DG_37,17DG_37,0,17DG_37,,59,17CT_36,17CT_36
132,17DG_39,17DG_39,0,17DG_39,,60,17DG_34,17DG_34
133,17DG_39,17DG_39,0,17DG_39,,61,17DG_35,17DG_35
134,18AT_47/49,18AT_47/49,0,18AT_47/49,,62,17DG_37,17DG_37
135,18BG_42,18BG_42,0,18BG_42,,63,17DG_39,17DG_39
136,18BG_43,18BG_43,0,18BG_43,,64,17DG_39,17DG_39
137,18BG_48,18BG_48,0,18BG_48,,65,17DG_39,17DG_39
138,18CT_45,18CT_45,0,18CT_45,,66,17DG_39,17DG_39
139,18_CTNT2,18CT_NT2,0,18_CTNT2,,68,18AT_47/49,18AT_47/49
140,18DT_44,18DT_44,0,18DT_44,,69,18BG_42,18BG_42
141,18DT_47,18DT_47,0,18DT_47,,70,18BG_43,18BG_43
142,19AG_56,19AG_56,0,19AG_56,,71,18BG_48,18BG_48
143,19CG_45,19CG_45,0,19CG_45,,72,18CT_45,18CT_45
144,19DT_NT,19DT_NT,0,19DT_NT,,67,18_CTNT2,18CT_NT2
145,20AG59,20AG_59,0,20AG59,,73,18DT_44,18DT_44
146,20AG60,20AG_60,1,,this is a duplicate - check the file,74,18DT_47,18DT_47
147,20AG60,20AG_60,0,20AG60,,75,19AG_56,19AG_56
148,20AG64U,20AG_64U,0,20AG64U,,76,19CG_45,19CG_45
149,20BT57,20BT_57,0,20BT57,,77,19DT_NT,19DT_NT
150,20BT60,20BT_60,0,20BT60,,85,20AG59,20AG_59
151,20BT61,20BT_61,0,20BT61,,86,20AG60,20AG_60
152,20BT63.2,20BT_63.2,0,20BT63.2,,87,20AG60,20AG_60
153,20BT63.2.r2,20BT_63.2.r2,1,20BT63.2.r2,,88,20AG64U,20AG_64U
154,20CG_58,20CG_58,0,20CG_58,,89,20BT57,20BT_57
155,20CG_63,20CG_63,0,20CG_63,,90,20BT60,20BT_60
156,20DT_UNK,20DT_UNK,0,20DT_UNK,,91,20BT61,20BT_61
157,21AT_67,21AT_67,0,21AT_67,,92,20BT63.2,20BT_63.2
158,21AT_70,21AT_70,0,21AT_70,,93,20BT63.2.r2,20BT_63.2.r2
159,21BG_64,21BG_64,0,21BG_64,,94,20CG_58,20CG_58
160,21BG_65,21BG_65,0,21BG_65,,95,20CG_63,20CG_63
161,63G_,21DG_63,1,63G_,I don't think this is a real run...?,96,20DT_UNK,20DT_UNK
162,63G21,21DG_63,0,,,97,21AT_67,21AT_67
163,21DG_67,21DG_67,0,21DG_67,,98,21AT_70,21AT_70
164,21DG_70,21DG_70,0,21DG_70,,99,21BG_64,21BG_64
165,21DG_71,21DG_71,0,21DG_71,,100,21BG_65,21BG_65
166,22AG_77,22AG_77,0,22AG_77,,155,63G_,21DG_63
167,22AG_78,22AG_78,0,22AG_78,,101,21DG_67,21DG_67
168,22AG_78,22AG_78,0,22AG_78,,102,21DG_70,21DG_70
169,22AG_80,22AG_80,0,22AG_80,,103,21DG_71,21DG_71
170,22BG_75,22BG_75,0,22BG_75,,104,22AG_77,22AG_77
171,22DT_76,22DT_76,0,22DT_76,,105,22AG_78,22AG_78
172,22DT_78,22DT_78,0,22DT_78,,106,22AG_78,22AG_78
173,23BG_84,23BG_84,0,23BG_84,,107,22AG_78,22AG_78
174,23DGG_81,23DG_81,0,23DGG_81,,108,22AG_78,22AG_78
175,23DG_86,23DG_86,0,23DG_86,,109,22AG_80,22AG_80
176,24BG_94,24BG_94,0,24BG_94,,110,22BG_75,22BG_75
177,24BG_96,24BG_96,0,24BG_96,,111,22DT_76,22DT_76
178,24DG_90,24DG_90,0,24DG_90,,112,22DT_78,22DT_78
179,24DG_92,24DG_92,0,24DG_92,,113,23BG_84,23BG_84
180,24T_89,24UT_89,0,24T_89,,115,23DGG_81,23DG_81
181,24T_90,24UT_90,0,24T_90,,114,23DG_86,23DG_86
182,6DG_45/43,,,,,116,24BG_94,24BG_94
,,,,,,117,24BG_96,24BG_96
,,,,,,118,24DG_90,24DG_90
,,,,,,119,24DG_92,24DG_92
,,,,,,120,24T_89,24UT_89
,,,,,,121,24T_90,24UT_90
,,,,,,189,,NA
