"","date","analysis_date","filename","specimen_label","max_load","dist_max","median","variance","num_threads_used"
"84","12/26/16","4/4/18","PV_161226_2Specimen_RawData_2.csv","11BG_81_2","0.14144",0.093943814,9999,9999,1
"85","12/26/16","4/4/18","PV_161226_2Specimen_RawData_4.csv","11BG_81_1","0.25816",0.130489847,0.11896,0.016532157,2
"86","12/26/16","4/4/18","PV_161226_2Specimen_RawData_5.csv","14CG_15","0.31998",0.166288928,0.16476,0.04205548,5
"87","12/26/16","4/4/18","PV_161226_2Specimen_RawData_6.csv","14CG_13","0.82696",0.083870656,0.09095,0.070082515,5
"88","12/26/16","4/4/18","PV_161226_2Specimen_RawData_7.csv","14CG_12","0.33605",0.119539781,0.1212,0.067878814,5
"89","1/7/17","4/4/18","PV_170107_1Specimen_RawData_1.csv","18CT_45","0.05629",9999,9999,9999,0
"90","1/7/17","4/4/18","PV_170107_1Specimen_RawData_10.csv","18AT_47/49","0.188",0.112098549,0.11036,0.015794176,4
"91","1/7/17","4/4/18","PV_170107_1Specimen_RawData_3.csv","18_CTNT2","0.07079",0.112098549,9999,9999,1
"92","1/7/17","4/4/18","PV_170107_1Specimen_RawData_4.csv","18DT_44","0.20391",0.112098549,9999,9999,1
"93","1/7/17","4/4/18","PV_170107_1Specimen_RawData_6.csv","18DT_47","0.09977",0.06091657,0.05707,0.005515433,2
"94","1/7/17","4/4/18","PV_170107_1Specimen_RawData_7.csv","17CT_33","0.18647",0.149654587,0.10031,0.070753105,2
"95","1/7/17","4/4/18","PV_170107_1Specimen_RawData_8.csv","17CT_36","0.72786",0.06341719,0.07607,0.075947075,14
"96","1/7/17","4/4/18","PV_170107_2Specimen_RawData_1.csv","17DG_39","1.63142",0.15740829,0.15524,0.061743758,9
"97","1/7/17","4/4/18","PV_170107_2Specimen_RawData_2.csv","17DG_39","0.72575",0.117944889,0.12175,0.066244869,3
"98","1/7/17","4/4/18","PV_170107_2Specimen_RawData_3.csv","17DG_35","0.3961",0.194493016,0.18714,0.038508031,6
"99","1/7/17","4/4/18","PV_170107_2Specimen_RawData_4.csv","17DG_37","1.09597",0.20157483,0.175745,0.069527544,10
"100","1/7/17","4/4/18","PV_170107_2Specimen_RawData_5.csv","3AG_24","0.03907",9999,9999,9999,0
"101","1/7/17","4/4/18","PV_170107_2Specimen_RawData_6.csv","3AG_19","0.51913",0.139723326,0.12236,0.05671105,3
"102","1/7/17","4/4/18","PV_170107_2Specimen_RawData_7.csv","3AG_22","0.73679",0.092907502,0.118805,0.080105465,8
"103","1/7/17","4/4/18","PV_170107_2Specimen_RawData_8.csv","20CG_58","0.70788",9999,9999,9999,0
"104","1/8/17","4/4/18","PV_170108_0Specimen_RawData_3.csv","20CG_63","0.05759",9999,9999,9999,0
"105","1/8/17","4/4/18","PV_170108_1Specimen_RawData_1.csv","2DG_15","0.19619",0.137172387,0.130145,0.010076272,2
"106","1/8/17","4/4/18","PV_170108_1Specimen_RawData_2.csv","2DG_11","0.19822",0.070492142,0.07587,0.062773262,4
"107","1/8/17","4/4/18","PV_170108_1Specimen_RawData_3.csv","20DT_UNK","0.19153",0.147502667,0.14258,0.043372361,4
"108","1/8/17","4/4/18","PV_170108_1Specimen_RawData_4.csv","11AT_86","0.17094",0.087650726,0.09233,0.045112707,3
"109","1/8/17","4/4/18","PV_170108_1Specimen_RawData_5.csv","11AT_NL","0.06823",0.087650726,9999,9999,1
"110","1/8/17","4/4/18","PV_170108_1Specimen_RawData_6.csv","10DG_57","0.74509",0.106143492,0.10812,0.071143775,8
"111","1/8/17","4/4/18","PV_170108_1Specimen_RawData_7.csv","10DG_59","0.72436",0.133000418,0.160255,0.093562239,4
"112","1/8/17","4/4/18","PV_170108_1Specimen_RawData_8.csv","10DG_no #","0.5014",0.197478101,0.18286,0.04946316,5
"113","1/8/17","4/4/18","PV_170108_2Specimen_RawData_1.csv","11DG_Unk2","0.18525",0.180955922,0.155465,0.03655035,2
"114","1/8/17","4/4/18","PV_170108_2Specimen_RawData_2.csv","11DG_unk1","0.74045",0.199717619,0.19661,0.056666391,5
"115","1/8/17","4/4/18","PV_170108_2Specimen_RawData_3.csv","11DG_85","0.06319",9999,9999,9999,0
"116","1/8/17","4/4/18","PV_170108_2Specimen_RawData_5.csv","13DG_5","0.54248",0.06095963,0.06426,0.02315643,3
"117","1/8/17","4/4/18","PV_170108_2Specimen_RawData_6.csv","13DG_unk","0.18153",0.137931636,0.13292,0.019214203,5
"118","1/8/17","4/4/18","PV_170108_2Specimen_RawData_7.csv","9BT_74","0.29177",0.064091002,0.072225,0.072439448,4
"119","1/8/17","4/4/18","PV_170108_2Specimen_RawData_8.csv","9BT_74_2","0.16759",0.063266184,0.07123,0.056032859,3
"120","1/8/17","4/4/18","PV_170108_2Specimen_RawData_9.csv","9BT_78","0.08908",0.063266184,9999,9999,1
"121","1/21/17","4/4/18","PV_170121_1Specimen_RawData_1.csv","19DT_NT","0.07495",0.063266184,9999,9999,1
"122","1/21/17","4/4/18","PV_170121_1Specimen_RawData_10.csv","4DG_32","0.96321",0.178837725,0.17377,0.071101986,6
"123","1/21/17","4/4/18","PV_170121_1Specimen_RawData_2.csv","19AG_56","0.16689",0.14826543,0.11338,0.050020734,2
"124","1/21/17","4/4/18","PV_170121_1Specimen_RawData_3.csv","14DT_NT1","0.28781",0.187610929,0.187255,0.079326206,4
"125","1/21/17","4/4/18","PV_170121_1Specimen_RawData_4.csv","14DT_NT2","0.34318",0.187610929,9999,9999,1
"126","1/21/17","4/4/18","PV_170121_1Specimen_RawData_6.csv","19CG_45","0.2512",0.187610929,9999,9999,1
"127","1/21/17","4/4/18","PV_170121_1Specimen_RawData_9.csv","4DG_25","0.99007",0.087569398,0.1079,0.077330628,9
"128","1/21/17","4/4/18","PV_170121_3Specimen_RawData_1.csv","4DG_31","1.04612",0.129792981,0.13314,0.062251304,13
"129","1/21/17","4/4/18","PV_170121_3Specimen_RawData_2.csv","13CT_6","0.10381",0.079819581,0.07403,0.008301434,2
"130","1/21/17","4/4/18","PV_170121_3Specimen_RawData_3.csv","13CT_5","0.06552",0.051503428,0.05391,0.003450681,2
"131","1/22/17","4/4/18","PV_170122_1Specimen_RawData_1.csv","3BT_18","0.23093",0.077136114,0.09895,0.108782687,3
"132","1/22/17","4/4/18","PV_170122_1Specimen_RawData_10.csv","12DT_90","0.03407",9999,9999,9999,0
"133","1/22/17","4/4/18","PV_170122_1Specimen_RawData_3.csv","3BT_19","0.13672",0.142905291,0.10729,0.051067252,2
"134","1/22/17","4/4/18","PV_170122_1Specimen_RawData_4.csv","18BG_42","0.08799",0.142905291,9999,9999,1
"135","1/22/17","4/4/18","PV_170122_1Specimen_RawData_5.csv","18BG_43","0.06172",9999,9999,9999,0
"136","1/22/17","4/4/18","PV_170122_1Specimen_RawData_6.csv","18BG_48","0.13923",0.142905291,9999,9999,1
"137","1/22/17","4/4/18","PV_170122_1Specimen_RawData_9.csv","12DT_92","0.37435",0.099316059,0.1088,0.04182874,5
"138","1/22/17","4/4/18","PV_170122_2Specimen_RawData_1.csv","3CT_17","0.70951",0.099316059,9999,9999,1
"139","1/22/17","4/4/18","PV_170122_2Specimen_RawData_10.csv","14BT_14","0.55606",0.138248315,0.13377,0.068489197,7
"140","1/22/17","4/4/18","PV_170122_2Specimen_RawData_2.csv","3CT_17_run2","0.29793",0.108341399,0.14346,0.103172565,3
"141","1/22/17","4/4/18","PV_170122_2Specimen_RawData_3.csv","3CT_21","0.29249",0.111990938,0.12417,0.036333148,4
"142","1/22/17","4/4/18","PV_170122_2Specimen_RawData_4.csv","3CT_24","1.32302",0.10448736,0.1243,0.06809688,19
"143","1/22/17","4/4/18","PV_170122_2Specimen_RawData_5.csv","12CG_94","0.94534",0.138913672,0.14403,0.084048498,7
"144","1/22/17","4/4/18","PV_170122_2Specimen_RawData_6.csv","3CT_94","1.27545",0.136720501,0.187705,0.060741505,12
"145","1/22/17","4/4/18","PV_170122_2Specimen_RawData_8.csv","12CG_91","0.23598",0.124743259,0.10482,0.028567114,2
"146","1/22/17","4/4/18","PV_170122_2Specimen_RawData_9.csv","14BT_10","0.08602",9999,9999,9999,0
