Mesocosm,Food,deg C,deg F
1,L,15,59
2,H,12,53.6
3,H,12,53.6
4,L,21,69.8
5,H,21,69.8
6,H,15,59
7,H,18,64.4
8,L,21,69.8
9,L,12,53.6
10,H,21,69.8
11,L,18,64.4
12,L,12,53.6
13,H,15,59
14,H,12,53.6
15,L,18,64.4
16,L,18,64.4
17,L,12,53.6
18,L,15,59
19,L,21,69.8
20,L,15,59
21,H,15,59
22,H,18,64.4
23,H,21,69.8
24,H,18,64.4
