"","Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
"2",119.676,1.40394,119.676,1.07732,0.32662,"y","m"
"5",124.146,1.17316,124.146,0.54261,0.63055,"y","1"
"27",139.656,0.75678,139.656,0.50827,0.24851,"y","1"
"29",139.734,0.51079,139.734,0.31911,0.19168,"y","1"
"35",146.058,0.36301,146.058,0.18262,0.18039,"y","1"
"49",159.21,0.22853,159.21,0.00642,0.22211,"y","1"
"57",244.254,0.20196,244.254,-0.00729,0.20925,"y","1"
"75",385.35,0.11461,385.35,0.01496,0.09965,"y","1"
