"","Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
"1",203.02,0.373,203.092,0.17627,0.19673,"y","1"
"11",234.256,0.39743,234.256,0.34651,0.05092,"y","1"
"12",239.47,0.3644,239.47,0.17576,0.18864,"y","m"
"13",267.976,0.54317,267.976,-0.00774,0.55091,"y","1"
"43",324.49,0.13414,324.49,-0.00104,0.13518,"y","1"
"60",415.354,0.29175,415.354,0.12976,0.16199,"y","m"
"75",473.596,0.27716,473.596,-0.0132,0.29036,"y","s"
