"Ptime","Pload","Vtime","Vload","yDelta"
131.64,0.24276,131.67,0.19872,0.04404
153.372,0.48647,153.438,0.40067,0.0858
167.808,0.50397,167.934,0.36602,0.13795
174.072,0.38382,174.138,0.12874,0.25508
179.34,0.17868,179.43,0.01237,0.16631
254.64,0.48759,254.712,0.42379,0.0638
254.766,0.42618,254.85,0.28593,0.14025
284.172,0.60342,284.238,0.41024,0.19318
290.136,0.41305,290.238,0.25744,0.15561
319.416,0.43962,319.506,0.33804,0.10158
320.226,0.32672,320.304,0.08391,0.24281
346.758,0.22023,346.878,-0.02747,0.2477
346.896,0.01293,346.92,-0.02982,0.04275
