End date,"2/12/2017"
Specimen label,"13BG_8"
Maximum Load,"0.33378",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00053"
"0.00600","0.00000","0.00054"
"0.01200","0.00000","0.00057"
"0.01800","0.00012","0.00070"
"0.02400","0.00024","0.00077"
"0.03000","0.00030","0.00091"
"0.03600","0.00042","0.00111"
"0.04200","0.00060","0.00118"
"0.04800","0.00078","0.00103"
"0.05400","0.00102","0.00084"
"0.06000","0.00126","0.00075"
"0.06600","0.00155","0.00070"
"0.07200","0.00185","0.00065"
"0.07800","0.00221","0.00074"
"0.08400","0.00263","0.00093"
"0.09000","0.00299","0.00101"
"0.09600","0.00347","0.00102"
"0.10200","0.00395","0.00098"
"0.10800","0.00448","0.00110"
"0.11400","0.00496","0.00133"
"0.12000","0.00556","0.00147"
"0.12600","0.00616","0.00150"
"0.13200","0.00676","0.00143"
"0.13800","0.00741","0.00125"
"0.14400","0.00801","0.00119"
"0.15000","0.00867","0.00129"
"0.15600","0.00927","0.00138"
"0.16200","0.00993","0.00140"
"0.16800","0.01058","0.00142"
"0.17400","0.01118","0.00138"
"0.18000","0.01184","0.00140"
"0.18600","0.01250","0.00139"
"0.19200","0.01315","0.00147"
"0.19800","0.01387","0.00162"
"0.20400","0.01447","0.00170"
"0.21000","0.01519","0.00176"
"0.21600","0.01584","0.00177"
"0.22200","0.01650","0.00173"
"0.22800","0.01716","0.00169"
"0.23400","0.01782","0.00183"
"0.24000","0.01847","0.00196"
"0.24600","0.01913","0.00190"
"0.25200","0.01973","0.00184"
"0.25800","0.02039","0.00175"
"0.26400","0.02099","0.00178"
"0.27000","0.02158","0.00181"
"0.27600","0.02218","0.00167"
"0.28200","0.02278","0.00167"
"0.28800","0.02338","0.00174"
"0.29400","0.02398","0.00180"
"0.30000","0.02451","0.00188"
"0.30600","0.02511","0.00193"
"0.31200","0.02565","0.00203"
"0.31800","0.02625","0.00208"
"0.32400","0.02679","0.00217"
"0.33000","0.02732","0.00221"
"0.33600","0.02792","0.00220"
"0.34200","0.02846","0.00220"
"0.34800","0.02900","0.00229"
"0.35400","0.02954","0.00210"
"0.36000","0.03007","0.00192"
"0.36600","0.03061","0.00175"
"0.37200","0.03115","0.00161"
"0.37800","0.03163","0.00140"
"0.38400","0.03217","0.00125"
"0.39000","0.03270","0.00116"
"0.39600","0.03324","0.00107"
"0.40200","0.03378","0.00114"
"0.40800","0.03426","0.00127"
"0.41400","0.03474","0.00141"
"0.42000","0.03528","0.00147"
"0.42600","0.03575","0.00138"
"0.43200","0.03623","0.00125"
"0.43800","0.03677","0.00112"
"0.44400","0.03725","0.00107"
"0.45000","0.03773","0.00117"
"0.45600","0.03821","0.00133"
"0.46200","0.03874","0.00147"
"0.46800","0.03922","0.00170"
"0.47400","0.03970","0.00179"
"0.48000","0.04024","0.00188"
"0.48600","0.04072","0.00201"
"0.49200","0.04119","0.00204"
"0.49800","0.04173","0.00204"
"0.50400","0.04221","0.00200"
"0.51000","0.04269","0.00192"
"0.51600","0.04323","0.00191"
"0.52200","0.04371","0.00196"
"0.52800","0.04424","0.00201"
"0.53400","0.04472","0.00208"
"0.54000","0.04520","0.00212"
"0.54600","0.04568","0.00229"
"0.55200","0.04622","0.00250"
"0.55800","0.04670","0.00266"
"0.56400","0.04717","0.00263"
"0.57000","0.04771","0.00255"
"0.57600","0.04819","0.00254"
"0.58200","0.04867","0.00251"
"0.58800","0.04921","0.00242"
"0.59400","0.04969","0.00231"
"0.60000","0.05022","0.00228"
"0.60600","0.05070","0.00232"
"0.61200","0.05118","0.00240"
"0.61800","0.05172","0.00247"
"0.62400","0.05220","0.00239"
"0.63000","0.05273","0.00233"
"0.63600","0.05321","0.00232"
