End date,"12/18/2016"
Specimen label,"17AT_40"
Maximum Load,"0.55607",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00016"
"0.00600","0.00000","-0.00020"
"0.01200","0.00000","-0.00031"
"0.01800","0.00006","-0.00029"
"0.02400","0.00018","-0.00027"
"0.03000","0.00030","-0.00033"
"0.03600","0.00048","-0.00027"
"0.04200","0.00066","-0.00019"
"0.04800","0.00090","-0.00013"
"0.05400","0.00114","-0.00011"
"0.06000","0.00138","-0.00017"
"0.06600","0.00167","-0.00012"
"0.07200","0.00197","-0.00009"
"0.07800","0.00227","-0.00011"
"0.08400","0.00263","-0.00004"
"0.09000","0.00305","0.00000"
"0.09600","0.00341","-0.00008"
"0.10200","0.00389","-0.00010"
"0.10800","0.00430","-0.00009"
"0.11400","0.00478","-0.00006"
"0.12000","0.00532","0.00002"
"0.12600","0.00580","0.00005"
"0.13200","0.00640","0.00003"
"0.13800","0.00694","0.00000"
"0.14400","0.00753","-0.00005"
"0.15000","0.00813","-0.00002"
"0.15600","0.00879","0.00006"
"0.16200","0.00939","0.00008"
"0.16800","0.01004","0.00016"
"0.17400","0.01070","0.00014"
"0.18000","0.01130","0.00002"
"0.18600","0.01196","-0.00005"
"0.19200","0.01262","-0.00008"
"0.19800","0.01333","-0.00006"
"0.20400","0.01399","0.00001"
"0.21000","0.01465","0.00003"
"0.21600","0.01531","0.00015"
"0.22200","0.01596","0.00030"
"0.22800","0.01662","0.00034"
"0.23400","0.01728","0.00038"
"0.24000","0.01794","0.00035"
"0.24600","0.01859","0.00018"
"0.25200","0.01925","0.00008"
"0.25800","0.01991","-0.00001"
"0.26400","0.02057","-0.00006"
"0.27000","0.02123","-0.00009"
"0.27600","0.02182","-0.00008"
"0.28200","0.02242","-0.00006"
"0.28800","0.02308","-0.00011"
"0.29400","0.02368","-0.00022"
"0.30000","0.02427","-0.00018"
"0.30600","0.02487","-0.00006"
"0.31200","0.02547","0.00004"
"0.31800","0.02601","0.00010"
"0.32400","0.02661","0.00009"
"0.33000","0.02714","0.00003"
"0.33600","0.02774","0.00008"
"0.34200","0.02828","0.00011"
"0.34800","0.02882","0.00013"
"0.35400","0.02936","0.00013"
"0.36000","0.02995","0.00016"
"0.36600","0.03049","0.00016"
"0.37200","0.03103","0.00021"
"0.37800","0.03157","0.00015"
"0.38400","0.03211","0.00023"
"0.39000","0.03259","0.00037"
"0.39600","0.03312","0.00051"
"0.40200","0.03366","0.00064"
"0.40800","0.03420","0.00060"
"0.41400","0.03468","0.00053"
