End date,"12/18/2016"
Specimen label,"16CT_29_run2"
Maximum Load,"0.16028",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","10.35405","0.02316"
"1.11000","10.35453","0.02330"
"1.11600","10.35507","0.02336"
"1.12200","10.35561","0.02334"
"1.12800","10.35608","0.02328"
"1.13400","10.35662","0.02319"
"1.14000","10.35710","0.02310"
"1.14600","10.35758","0.02305"
"1.15200","10.35806","0.02310"
"1.15800","10.35860","0.02320"
"1.16400","10.35907","0.02330"
"1.17000","10.35955","0.02348"
"1.17600","10.36009","0.02356"
"1.18200","10.36057","0.02356"
"1.18800","10.36105","0.02356"
"1.19400","10.36159","0.02353"
"1.20000","10.36206","0.02354"
"1.20600","10.36260","0.02347"
"1.21200","10.36308","0.02338"
"1.21800","10.36356","0.02345"
"1.22400","10.36410","0.02349"
"1.23000","10.36458","0.02347"
"1.23600","10.36511","0.02342"
"1.24200","10.36559","0.02339"
"1.24800","10.36607","0.02343"
"1.25400","10.36661","0.02353"
"1.26000","10.36715","0.02367"
"1.26600","10.36762","0.02388"
"1.27200","10.36816","0.02403"
"1.27800","10.36864","0.02409"
"1.28400","10.36918","0.02420"
"1.29000","10.36966","0.02431"
"1.29600","10.37014","0.02429"
"1.30200","10.37061","0.02436"
"1.30800","10.37115","0.02435"
"1.31400","10.37163","0.02437"
"1.32000","10.37211","0.02432"
"1.32600","10.37259","0.02426"
"1.33200","10.37313","0.02427"
"1.33800","10.37360","0.02427"
"1.34400","10.37408","0.02422"
"1.35000","10.37456","0.02419"
"1.35600","10.37510","0.02419"
"1.36200","10.37558","0.02424"
"1.36800","10.37605","0.02443"
"1.37400","10.37659","0.02461"
"1.38000","10.37707","0.02463"
"1.38600","10.37755","0.02461"
"1.39200","10.37809","0.02463"
"1.39800","10.37857","0.02474"
"1.40400","10.37910","0.02485"
"1.41000","10.37958","0.02487"
"1.41600","10.38012","0.02480"
"1.42200","10.38060","0.02474"
"1.42800","10.38108","0.02473"
"1.43400","10.38156","0.02474"
"1.44000","10.38209","0.02482"
"1.44600","10.38257","0.02496"
"1.45200","10.38305","0.02507"
"1.45800","10.38353","0.02512"
"1.46400","10.38407","0.02510"
"1.47000","10.38455","0.02510"
"1.47600","10.38502","0.02499"
"1.48200","10.38556","0.02501"
"1.48800","10.38604","0.02509"
"1.49400","10.38652","0.02514"
"1.50000","10.38700","0.02517"
"1.50600","10.38753","0.02519"
"1.51200","10.38801","0.02520"
"1.51800","10.38849","0.02528"
"1.52400","10.38903","0.02524"
"1.53000","10.38951","0.02522"
"1.53600","10.39005","0.02520"
"1.54200","10.39052","0.02510"
"1.54800","10.39106","0.02496"
"1.55400","10.39154","0.02493"
"1.56000","10.39208","0.02496"
"1.56600","10.39256","0.02499"
"1.57200","10.39310","0.02500"
"1.57800","10.39357","0.02501"
"1.58400","10.39405","0.02511"
"1.59000","10.39453","0.02530"
"1.59600","10.39507","0.02542"
"1.60200","10.39555","0.02562"
"1.60800","10.39602","0.02581"
"1.61400","10.39656","0.02594"
"1.62000","10.39704","0.02602"
"1.62600","10.39752","0.02599"
"1.63200","10.39806","0.02595"
"1.63800","10.39853","0.02584"
"1.64400","10.39901","0.02571"
"1.65000","10.39949","0.02565"
"1.65600","10.40003","0.02555"
"1.66200","10.40051","0.02545"
"1.66800","10.40099","0.02544"
"1.67400","10.40152","0.02551"
"1.68000","10.40200","0.02565"
"1.68600","10.40254","0.02579"
"1.69200","10.40308","0.02597"
"1.69800","10.40356","0.02616"
"1.70400","10.40409","0.02626"
"1.71000","10.40457","0.02630"
"1.71600","10.40505","0.02634"
"1.72200","10.40553","0.02632"
"1.72800","10.40607","0.02631"
"1.73400","10.40655","0.02632"
"1.74000","10.40703","0.02626"
"1.74600","10.40750","0.02624"
"1.75200","10.40804","0.02632"
"1.75800","10.40852","0.02634"
"1.76400","10.40906","0.02634"
"1.77000","10.40954","0.02634"
"1.77600","10.41007","0.02633"
"1.78200","10.41055","0.02633"
"1.78800","10.41103","0.02629"
"1.79400","10.41157","0.02626"
"1.80000","10.41205","0.02631"
"1.80600","10.41259","0.02638"
"1.81200","10.41306","0.02640"
"1.81800","10.41354","0.02648"
"1.82400","10.41408","0.02652"
"1.83000","10.41462","0.02662"
"1.83600","10.41510","0.02679"
"1.84200","10.41564","0.02689"
"1.84800","10.41611","0.02694"
"1.85400","10.41665","0.02693"
"1.86000","10.41713","0.02683"
"1.86600","10.41761","0.02687"
"1.87200","10.41809","0.02691"
"1.87800","10.41863","0.02695"
"1.88400","10.41910","0.02698"
"1.89000","10.41958","0.02692"
"1.89600","10.42006","0.02683"
"1.90200","10.42060","0.02677"
"1.90800","10.42108","0.02677"
"1.91400","10.42155","0.02693"
"1.92000","10.42209","0.02713"
"1.92600","10.42257","0.02734"
"1.93200","10.42305","0.02745"
"1.93800","10.42359","0.02744"
"1.94400","10.42407","0.02739"
"1.95000","10.42460","0.02744"
"1.95600","10.42508","0.02743"
"1.96200","10.42556","0.02730"
"1.96800","10.42610","0.02722"
"1.97400","10.42658","0.02719"
"1.98000","10.42712","0.02714"
"1.98600","10.42759","0.02712"
"1.99200","10.42807","0.02706"
"1.99800","10.42855","0.02709"
"2.00400","10.42903","0.02717"
"2.01000","10.42957","0.02720"
"2.01600","10.43005","0.02716"
"2.02200","10.43052","0.02709"
"2.02800","10.43100","0.02709"
"2.03400","10.43148","0.02711"
"2.04000","10.43202","0.02726"
"2.04600","10.43250","0.02747"
"2.05200","10.43303","0.02771"
"2.05800","10.43351","0.02786"
"2.06400","10.43399","0.02799"
"2.07000","10.43447","0.02798"
"2.07600","10.43501","0.02778"
"2.08200","10.43549","0.02773"
"2.08800","10.43602","0.02765"
"2.09400","10.43650","0.02756"
"2.10000","10.43704","0.02753"
"2.10600","10.43752","0.02749"
"2.11200","10.43806","0.02758"
"2.11800","10.43853","0.02771"
"2.12400","10.43907","0.02773"
"2.13000","10.43955","0.02771"
"2.13600","10.44009","0.02768"
"2.14200","10.44057","0.02767"
"2.14800","10.44105","0.02774"
"2.15400","10.44152","0.02786"
"2.16000","10.44206","0.02800"
"2.16600","10.44254","0.02820"
"2.17200","10.44302","0.02836"
"2.17800","10.44350","0.02840"
"2.18400","10.44404","0.02842"
"2.19000","10.44451","0.02833"
"2.19600","10.44505","0.02822"
"2.20200","10.44553","0.02822"
"2.20800","10.44601","0.02825"
"2.21400","10.44655","0.02832"
"2.22000","10.44703","0.02840"
"2.22600","10.44750","0.02844"
"2.23200","10.44804","0.02850"
"2.23800","10.44852","0.02848"
"2.24400","10.44906","0.02847"
"2.25000","10.44960","0.02848"
"2.25600","10.45007","0.02838"
"2.26200","10.45055","0.02826"
"2.26800","10.45109","0.02828"
"2.27400","10.45157","0.02829"
"2.28000","10.45211","0.02826"
"2.28600","10.45259","0.02823"
"2.29200","10.45306","0.02825"
"2.29800","10.45354","0.02842"
"2.30400","10.45408","0.02858"
"2.31000","10.45456","0.02872"
"2.31600","10.45504","0.02877"
"2.32200","10.45557","0.02868"
"2.32800","10.45605","0.02849"
"2.33400","10.45653","0.02844"
"2.34000","10.45707","0.02850"
"2.34600","10.45755","0.02856"
"2.35200","10.45803","0.02865"
"2.35800","10.45850","0.02862"
"2.36400","10.45904","0.02865"
"2.37000","10.45952","0.02863"
"2.37600","10.46000","0.02860"
"2.38200","10.46054","0.02863"
"2.38800","10.46102","0.02865"
"2.39400","10.46155","0.02865"
"2.40000","10.46209","0.02871"
"2.40600","10.46257","0.02888"
"2.41200","10.46311","0.02902"
"2.41800","10.46359","0.02908"
"2.42400","10.46413","0.02905"
"2.43000","10.46460","0.02905"
"2.43600","10.46508","0.02907"
"2.44200","10.46562","0.02904"
"2.44800","10.46610","0.02911"
"2.45400","10.46658","0.02915"
"2.46000","10.46711","0.02912"
"2.46600","10.46759","0.02913"
"2.47200","10.46807","0.02911"
"2.47800","10.46861","0.02902"
"2.48400","10.46909","0.02893"
"2.49000","10.46957","0.02889"
"2.49600","10.47010","0.02883"
"2.50200","10.47058","0.02880"
"2.50800","10.47106","0.02872"
"2.51400","10.47160","0.02870"
"2.52000","10.47208","0.02865"
"2.52600","10.47256","0.02868"
"2.53200","10.47309","0.02881"
"2.53800","10.47357","0.02889"
"2.54400","10.47405","0.02900"
"2.55000","10.47459","0.02923"
"2.55600","10.47507","0.02936"
"2.56200","10.47561","0.02952"
"2.56800","10.47608","0.02976"
"2.57400","10.47656","0.02991"
"2.58000","10.47710","0.02987"
"2.58600","10.47758","0.02983"
"2.59200","10.47806","0.02990"
"2.59800","10.47853","0.03003"
"2.60400","10.47901","0.03007"
"2.61000","10.47955","0.03007"
"2.61600","10.48003","0.03000"
"2.62200","10.48051","0.02984"
"2.62800","10.48098","0.02961"
"2.63400","10.48152","0.02954"
"2.64000","10.48200","0.02954"
"2.64600","10.48248","0.02963"
"2.65200","10.48296","0.02977"
"2.65800","10.48350","0.02978"
"2.66400","10.48397","0.02974"
"2.67000","10.48451","0.02979"
"2.67600","10.48499","0.02980"
"2.68200","10.48547","0.02976"
"2.68800","10.48601","0.02968"
"2.69400","10.48654","0.02960"
"2.70000","10.48702","0.02971"
"2.70600","10.48756","0.02983"
"2.71200","10.48804","0.02991"
"2.71800","10.48852","0.03010"
"2.72400","10.48906","0.03015"
"2.73000","10.48953","0.03012"
"2.73600","10.49001","0.03020"
"2.74200","10.49055","0.03034"
"2.74800","10.49103","0.03048"
"2.75400","10.49151","0.03053"
"2.76000","10.49199","0.03054"
"2.76600","10.49252","0.03061"
"2.77200","10.49300","0.03069"
"2.77800","10.49348","0.03078"
"2.78400","10.49402","0.03090"
"2.79000","10.49450","0.03088"
"2.79600","10.49504","0.03078"
"2.80200","10.49551","0.03075"
"2.80800","10.49605","0.03070"
"2.81400","10.49653","0.03061"
"2.82000","10.49707","0.03056"
"2.82600","10.49755","0.03058"
"2.83200","10.49809","0.03063"
"2.83800","10.49856","0.03065"
"2.84400","10.49910","0.03073"
"2.85000","10.49958","0.03094"
"2.85600","10.50006","0.03103"
"2.86200","10.50060","0.03101"
"2.86800","10.50107","0.03109"
"2.87400","10.50155","0.03119"
"2.88000","10.50209","0.03128"
"2.88600","10.50257","0.03140"
"2.89200","10.50311","0.03149"
"2.89800","10.50359","0.03151"
"2.90400","10.50406","0.03138"
"2.91000","10.50460","0.03131"
"2.91600","10.50508","0.03135"
"2.92200","10.50556","0.03129"
"2.92800","10.50610","0.03110"
"2.93400","10.50658","0.03103"
"2.94000","10.50705","0.03105"
"2.94600","10.50753","0.03109"
"2.95200","10.50807","0.03122"
"2.95800","10.50855","0.03130"
"2.96400","10.50903","0.03137"
"2.97000","10.50957","0.03144"
"2.97600","10.51004","0.03143"
"2.98200","10.51058","0.03155"
"2.98800","10.51106","0.03164"
"2.99400","10.51154","0.03152"
"3.00000","10.51208","0.03133"
"3.00600","10.51256","0.03121"
"3.01200","10.51303","0.03117"
"3.01800","10.51351","0.03130"
"3.02400","10.51405","0.03150"
"3.03000","10.51453","0.03165"
"3.03600","10.51501","0.03181"
"3.04200","10.51554","0.03185"
"3.04800","10.51602","0.03194"
"3.05400","10.51656","0.03198"
"3.06000","10.51704","0.03186"
"3.06600","10.51752","0.03180"
"3.07200","10.51805","0.03180"
"3.07800","10.51853","0.03176"
"3.08400","10.51901","0.03184"
"3.09000","10.51955","0.03196"
"3.09600","10.52003","0.03196"
"3.10200","10.52051","0.03198"
"3.10800","10.52104","0.03196"
"3.11400","10.52152","0.03196"
"3.12000","10.52206","0.03190"
"3.12600","10.52260","0.03185"
"3.13200","10.52308","0.03179"
"3.13800","10.52362","0.03175"
"3.14400","10.52409","0.03175"
"3.15000","10.52457","0.03192"
"3.15600","10.52511","0.03206"
"3.16200","10.52559","0.03213"
"3.16800","10.52607","0.03218"
"3.17400","10.52654","0.03215"
"3.18000","10.52702","0.03220"
"3.18600","10.52750","0.03234"
"3.19200","10.52804","0.03250"
"3.19800","10.52852","0.03258"
"3.20400","10.52900","0.03258"
"3.21000","10.52953","0.03251"
"3.21600","10.53001","0.03250"
"3.22200","10.53049","0.03245"
"3.22800","10.53103","0.03238"
"3.23400","10.53151","0.03250"
"3.24000","10.53199","0.03258"
"3.24600","10.53246","0.03269"
"3.25200","10.53300","0.03279"
"3.25800","10.53348","0.03279"
"3.26400","10.53402","0.03281"
"3.27000","10.53450","0.03285"
"3.27600","10.53504","0.03297"
"3.28200","10.53551","0.03311"
"3.28800","10.53605","0.03302"
"3.29400","10.53653","0.03281"
"3.30000","10.53701","0.03281"
"3.30600","10.53749","0.03283"
"3.31200","10.53802","0.03292"
"3.31800","10.53850","0.03304"
"3.32400","10.53898","0.03308"
"3.33000","10.53952","0.03307"
"3.33600","10.54000","0.03299"
"3.34200","10.54054","0.03288"
"3.34800","10.54101","0.03289"
"3.35400","10.54155","0.03295"
"3.36000","10.54203","0.03305"
"3.36600","10.54257","0.03321"
"3.37200","10.54305","0.03329"
"3.37800","10.54359","0.03321"
"3.38400","10.54406","0.03319"
"3.39000","10.54454","0.03329"
"3.39600","10.54508","0.03331"
"3.40200","10.54556","0.03328"
"3.40800","10.54610","0.03323"
"3.41400","10.54658","0.03336"
"3.42000","10.54711","0.03348"
"3.42600","10.54759","0.03352"
"3.43200","10.54807","0.03352"
"3.43800","10.54861","0.03350"
"3.44400","10.54909","0.03357"
"3.45000","10.54956","0.03372"
"3.45600","10.55010","0.03368"
"3.46200","10.55058","0.03367"
"3.46800","10.55106","0.03382"
"3.47400","10.55160","0.03390"
"3.48000","10.55208","0.03390"
"3.48600","10.55255","0.03391"
"3.49200","10.55303","0.03389"
"3.49800","10.55357","0.03384"
"3.50400","10.55405","0.03383"
"3.51000","10.55453","0.03387"
"3.51600","10.55507","0.03390"
"3.52200","10.55554","0.03393"
"3.52800","10.55608","0.03383"
"3.53400","10.55656","0.03377"
"3.54000","10.55704","0.03370"
"3.54600","10.55758","0.03374"
"3.55200","10.55805","0.03382"
"3.55800","10.55859","0.03384"
"3.56400","10.55907","0.03391"
"3.57000","10.55955","0.03399"
"3.57600","10.56009","0.03397"
"3.58200","10.56057","0.03409"
"3.58800","10.56104","0.03417"
"3.59400","10.56158","0.03411"
"3.60000","10.56206","0.03409"
"3.60600","10.56260","0.03409"
"3.61200","10.56308","0.03415"
"3.61800","10.56355","0.03428"
"3.62400","10.56409","0.03433"
"3.63000","10.56457","0.03422"
"3.63600","10.56505","0.03425"
"3.64200","10.56559","0.03426"
"3.64800","10.56606","0.03424"
"3.65400","10.56654","0.03415"
"3.66000","10.56708","0.03413"
"3.66600","10.56756","0.03425"
"3.67200","10.56804","0.03436"
"3.67800","10.56858","0.03444"
"3.68400","10.56905","0.03457"
"3.69000","10.56953","0.03462"
"3.69600","10.57001","0.03468"
"3.70200","10.57055","0.03481"
"3.70800","10.57103","0.03478"
"3.71400","10.57151","0.03476"
"3.72000","10.57198","0.03473"
"3.72600","10.57252","0.03469"
"3.73200","10.57300","0.03470"
"3.73800","10.57348","0.03469"
"3.74400","10.57402","0.03467"
"3.75000","10.57450","0.03473"
"3.75600","10.57503","0.03475"
"3.76200","10.57551","0.03465"
"3.76800","10.57605","0.03461"
"3.77400","10.57653","0.03459"
"3.78000","10.57701","0.03464"
"3.78600","10.57754","0.03474"
"3.79200","10.57802","0.03478"
"3.79800","10.57850","0.03485"
"3.80400","10.57904","0.03493"
"3.81000","10.57952","0.03520"
"3.81600","10.58000","0.03550"
"3.82200","10.58053","0.03563"
"3.82800","10.58101","0.03559"
"3.83400","10.58149","0.03559"
"3.84000","10.58203","0.03562"
"3.84600","10.58251","0.03569"
"3.85200","10.58305","0.03585"
"3.85800","10.58352","0.03594"
"3.86400","10.58400","0.03601"
"3.87000","10.58454","0.03604"
"3.87600","10.58502","0.03599"
"3.88200","10.58556","0.03610"
"3.88800","10.58604","0.03610"
"3.89400","10.58657","0.03609"
"3.90000","10.58705","0.03607"
"3.90600","10.58753","0.03592"
"3.91200","10.58807","0.03585"
"3.91800","10.58861","0.03582"
"3.92400","10.58909","0.03570"
"3.93000","10.58956","0.03567"
"3.93600","10.59010","0.03574"
"3.94200","10.59058","0.03580"
"3.94800","10.59112","0.03590"
"3.95400","10.59160","0.03605"
"3.96000","10.59208","0.03617"
"3.96600","10.59261","0.03626"
"3.97200","10.59309","0.03631"
"3.97800","10.59357","0.03634"
"3.98400","10.59411","0.03654"
"3.99000","10.59459","0.03664"
"3.99600","10.59512","0.03657"
"4.00200","10.59560","0.03643"
"4.00800","10.59608","0.03628"
"4.01400","10.59656","0.03622"
"4.02000","10.59710","0.03618"
"4.02600","10.59758","0.03608"
"4.03200","10.59805","0.03610"
"4.03800","10.59853","0.03622"
"4.04400","10.59907","0.03629"
"4.05000","10.59955","0.03641"
"4.05600","10.60009","0.03643"
"4.06200","10.60056","0.03634"
"4.06800","10.60110","0.03638"
"4.07400","10.60158","0.03633"
"4.08000","10.60206","0.03636"
"4.08600","10.60260","0.03642"
"4.09200","10.60308","0.03646"
