End date,"12/18/2016"
Specimen label,"16AT_26_run2"
Maximum Load,"0.19149",N

Time,Extension,Load
(s),(mm),(N)
"1.08600","0.09058","0.00075"
"1.09200","0.09112","0.00055"
"1.09800","0.09160","0.00034"
"1.10400","0.09208","0.00022"
"1.11000","0.09261","0.00018"
"1.11600","0.09309","0.00027"
"1.12200","0.09363","0.00042"
"1.12800","0.09411","0.00048"
"1.13400","0.09465","0.00055"
"1.14000","0.09513","0.00065"
"1.14600","0.09566","0.00068"
"1.15200","0.09614","0.00071"
"1.15800","0.09668","0.00075"
"1.16400","0.09716","0.00071"
"1.17000","0.09764","0.00081"
"1.17600","0.09817","0.00093"
"1.18200","0.09865","0.00093"
"1.18800","0.09913","0.00100"
"1.19400","0.09967","0.00103"
"1.20000","0.10015","0.00095"
"1.20600","0.10063","0.00085"
"1.21200","0.10116","0.00075"
"1.21800","0.10164","0.00067"
"1.22400","0.10212","0.00062"
"1.23000","0.10266","0.00053"
"1.23600","0.10314","0.00049"
"1.24200","0.10368","0.00055"
"1.24800","0.10415","0.00055"
"1.25400","0.10469","0.00071"
"1.26000","0.10517","0.00090"
"1.26600","0.10565","0.00096"
"1.27200","0.10619","0.00093"
"1.27800","0.10672","0.00091"
"1.28400","0.10720","0.00087"
"1.29000","0.10768","0.00075"
"1.29600","0.10822","0.00060"
"1.30200","0.10870","0.00051"
"1.30800","0.10924","0.00046"
"1.31400","0.10971","0.00036"
"1.32000","0.11019","0.00038"
"1.32600","0.11073","0.00040"
"1.33200","0.11121","0.00043"
"1.33800","0.11169","0.00048"
"1.34400","0.11217","0.00051"
"1.35000","0.11264","0.00047"
"1.35600","0.11318","0.00050"
"1.36200","0.11366","0.00050"
"1.36800","0.11414","0.00054"
"1.37400","0.11462","0.00057"
"1.38000","0.11515","0.00055"
"1.38600","0.11563","0.00048"
"1.39200","0.11617","0.00042"
"1.39800","0.11665","0.00035"
"1.40400","0.11719","0.00042"
"1.41000","0.11767","0.00054"
"1.41600","0.11820","0.00063"
"1.42200","0.11868","0.00076"
"1.42800","0.11922","0.00083"
"1.43400","0.11970","0.00091"
"1.44000","0.12018","0.00096"
"1.44600","0.12072","0.00082"
"1.45200","0.12119","0.00076"
"1.45800","0.12173","0.00073"
"1.46400","0.12221","0.00072"
"1.47000","0.12269","0.00078"
"1.47600","0.12323","0.00079"
"1.48200","0.12370","0.00075"
"1.48800","0.12418","0.00066"
"1.49400","0.12472","0.00062"
"1.50000","0.12520","0.00065"
"1.50600","0.12568","0.00077"
"1.51200","0.12616","0.00081"
"1.51800","0.12669","0.00084"
"1.52400","0.12717","0.00081"
"1.53000","0.12765","0.00067"
"1.53600","0.12813","0.00064"
"1.54200","0.12867","0.00068"
"1.54800","0.12915","0.00070"
"1.55400","0.12962","0.00075"
"1.56000","0.13016","0.00075"
"1.56600","0.13064","0.00068"
"1.57200","0.13118","0.00064"
"1.57800","0.13166","0.00057"
"1.58400","0.13213","0.00057"
"1.59000","0.13267","0.00062"
"1.59600","0.13315","0.00059"
"1.60200","0.13363","0.00064"
"1.60800","0.13411","0.00070"
"1.61400","0.13465","0.00071"
"1.62000","0.13512","0.00080"
"1.62600","0.13560","0.00091"
"1.63200","0.13614","0.00090"
"1.63800","0.13662","0.00089"
"1.64400","0.13710","0.00082"
"1.65000","0.13758","0.00077"
"1.65600","0.13811","0.00078"
"1.66200","0.13859","0.00069"
"1.66800","0.13907","0.00066"
"1.67400","0.13955","0.00067"
"1.68000","0.14009","0.00066"
"1.68600","0.14057","0.00064"
"1.69200","0.14110","0.00068"
"1.69800","0.14158","0.00073"
"1.70400","0.14212","0.00078"
"1.71000","0.14260","0.00088"
"1.71600","0.14314","0.00085"
"1.72200","0.14361","0.00084"
"1.72800","0.14415","0.00077"
"1.73400","0.14463","0.00068"
"1.74000","0.14517","0.00063"
"1.74600","0.14565","0.00053"
"1.75200","0.14613","0.00058"
"1.75800","0.14660","0.00070"
"1.76400","0.14714","0.00080"
"1.77000","0.14762","0.00094"
"1.77600","0.14810","0.00106"
"1.78200","0.14864","0.00110"
"1.78800","0.14912","0.00112"
"1.79400","0.14965","0.00098"
"1.80000","0.15013","0.00087"
"1.80600","0.15061","0.00083"
"1.81200","0.15115","0.00074"
"1.81800","0.15163","0.00076"
"1.82400","0.15216","0.00075"
"1.83000","0.15264","0.00066"
"1.83600","0.15318","0.00068"
"1.84200","0.15366","0.00074"
"1.84800","0.15420","0.00068"
"1.85400","0.15468","0.00069"
"1.86000","0.15521","0.00079"
"1.86600","0.15569","0.00083"
"1.87200","0.15623","0.00087"
"1.87800","0.15671","0.00086"
