End date,"12/18/2016"
Specimen label,"16AT_26"
Maximum Load,"0.01147",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","0.92094","0.01105"
"1.11000","0.92142","0.01100"
"1.11600","0.92195","0.01102"
"1.12200","0.92243","0.01102"
"1.12800","0.92297","0.01100"
"1.13400","0.92345","0.01114"
"1.14000","0.92399","0.01124"
"1.14600","0.92447","0.01127"
"1.15200","0.92500","0.01113"
"1.15800","0.92548","0.01107"
"1.16400","0.92602","0.01112"
"1.17000","0.92650","0.01114"
"1.17600","0.92698","0.01113"
"1.18200","0.92746","0.01108"
"1.18800","0.92793","0.01101"
"1.19400","0.92847","0.01091"
"1.20000","0.92895","0.01077"
"1.20600","0.92943","0.01060"
"1.21200","0.92991","0.01050"
"1.21800","0.93044","0.01048"
"1.22400","0.93092","0.01051"
"1.23000","0.93140","0.01065"
"1.23600","0.93194","0.01075"
"1.24200","0.93242","0.01087"
"1.24800","0.93290","0.01103"
"1.25400","0.93343","0.01104"
"1.26000","0.93391","0.01100"
"1.26600","0.93439","0.01100"
"1.27200","0.93493","0.01103"
"1.27800","0.93541","0.01106"
"1.28400","0.93595","0.01108"
"1.29000","0.93642","0.01118"
"1.29600","0.93696","0.01132"
"1.30200","0.93744","0.01139"
"1.30800","0.93792","0.01137"
"1.31400","0.93840","0.01140"
"1.32000","0.93888","0.01143"
"1.32600","0.93941","0.01136"
"1.33200","0.93989","0.01131"
"1.33800","0.94037","0.01124"
"1.34400","0.94085","0.01121"
"1.35000","0.94139","0.01124"
"1.35600","0.94186","0.01129"
"1.36200","0.94234","0.01133"
"1.36800","0.94282","0.01136"
"1.37400","0.94336","0.01135"
"1.38000","0.94384","0.01141"
"1.38600","0.94438","0.01145"
"1.39200","0.94485","0.01147"
"1.39800","0.94539","0.01141"
"1.40400","0.94587","0.01128"
"1.41000","0.94641","0.01113"
"1.41600","0.94689","0.01109"
"1.42200","0.94743","0.01117"
"1.42800","0.94796","0.01118"
"1.43400","0.94844","0.01116"
"1.44000","0.94898","0.01103"
"1.44600","0.94946","0.01094"
"1.45200","0.95000","0.01086"
"1.45800","0.95047","0.01078"
"1.46400","0.95095","0.01085"
"1.47000","0.95149","0.01093"
"1.47600","0.95197","0.01097"
"1.48200","0.95245","0.01105"
"1.48800","0.95293","0.01101"
"1.49400","0.95346","0.01102"
"1.50000","0.95394","0.01108"
"1.50600","0.95448","0.01113"
"1.51200","0.95496","0.01119"
"1.51800","0.95544","0.01125"
"1.52400","0.95592","0.01132"
"1.53000","0.95645","0.01136"
"1.53600","0.95693","0.01135"
"1.54200","0.95741","0.01133"
"1.54800","0.95795","0.01131"
"1.55400","0.95843","0.01125"
"1.56000","0.95896","0.01119"
"1.56600","0.95950","0.01121"
"1.57200","0.95998","0.01118"
"1.57800","0.96046","0.01117"
"1.58400","0.96100","0.01123"
"1.59000","0.96148","0.01129"
"1.59600","0.96195","0.01133"
"1.60200","0.96243","0.01126"
"1.60800","0.96297","0.01121"
"1.61400","0.96345","0.01125"
"1.62000","0.96393","0.01133"
"1.62600","0.96441","0.01139"
"1.63200","0.96494","0.01145"
"1.63800","0.96542","0.01142"
"1.64400","0.96596","0.01130"
"1.65000","0.96644","0.01126"
"1.65600","0.96692","0.01108"
"1.66200","0.96745","0.01089"
"1.66800","0.96793","0.01076"
"1.67400","0.96841","0.01066"
"1.68000","0.96895","0.01059"
"1.68600","0.96943","0.01055"
"1.69200","0.96997","0.01053"
"1.69800","0.97044","0.01063"
"1.70400","0.97098","0.01069"
"1.71000","0.97146","0.01080"
"1.71600","0.97200","0.01094"
"1.72200","0.97248","0.01103"
"1.72800","0.97296","0.01106"
"1.73400","0.97349","0.01111"
"1.74000","0.97397","0.01111"
"1.74600","0.97445","0.01111"
"1.75200","0.97493","0.01101"
"1.75800","0.97547","0.01091"
"1.76400","0.97594","0.01094"
"1.77000","0.97642","0.01092"
"1.77600","0.97690","0.01082"
"1.78200","0.97744","0.01078"
"1.78800","0.97792","0.01075"
"1.79400","0.97840","0.01072"
"1.80000","0.97893","0.01073"
"1.80600","0.97941","0.01073"
"1.81200","0.97989","0.01071"
"1.81800","0.98043","0.01064"
"1.82400","0.98091","0.01056"
"1.83000","0.98139","0.01060"
"1.83600","0.98192","0.01063"
"1.84200","0.98240","0.01063"
"1.84800","0.98288","0.01068"
