End date,"12/18/2016"
Specimen label,""
Maximum Load,"0.00305",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00024","0.00233"
"0.00600","-0.00024","0.00225"
"0.01200","-0.00024","0.00229"
"0.01800","-0.00012","0.00230"
"0.02400","0.00000","0.00221"
"0.03000","0.00006","0.00218"
"0.03600","0.00018","0.00213"
"0.04200","0.00036","0.00216"
"0.04800","0.00054","0.00229"
"0.05400","0.00072","0.00240"
"0.06000","0.00096","0.00242"
"0.06600","0.00126","0.00235"
"0.07200","0.00155","0.00233"
"0.07800","0.00185","0.00244"
"0.08400","0.00221","0.00250"
"0.09000","0.00263","0.00252"
"0.09600","0.00305","0.00258"
"0.10200","0.00347","0.00255"
"0.10800","0.00395","0.00248"
"0.11400","0.00442","0.00261"
"0.12000","0.00496","0.00268"
"0.12600","0.00550","0.00273"
"0.13200","0.00610","0.00271"
"0.13800","0.00664","0.00265"
"0.14400","0.00723","0.00256"
"0.15000","0.00789","0.00249"
"0.15600","0.00855","0.00245"
"0.16200","0.00915","0.00249"
"0.16800","0.00987","0.00245"
"0.17400","0.01052","0.00238"
"0.18000","0.01118","0.00235"
"0.18600","0.01184","0.00230"
"0.19200","0.01250","0.00232"
"0.19800","0.01321","0.00234"
"0.20400","0.01387","0.00240"
"0.21000","0.01453","0.00244"
"0.21600","0.01519","0.00239"
"0.22200","0.01590","0.00240"
"0.22800","0.01656","0.00247"
"0.23400","0.01722","0.00253"
"0.24000","0.01788","0.00252"
"0.24600","0.01853","0.00248"
"0.25200","0.01919","0.00248"
"0.25800","0.01979","0.00248"
"0.26400","0.02045","0.00248"
"0.27000","0.02111","0.00248"
"0.27600","0.02176","0.00241"
"0.28200","0.02236","0.00230"
"0.28800","0.02296","0.00222"
"0.29400","0.02356","0.00223"
"0.30000","0.02415","0.00222"
"0.30600","0.02475","0.00223"
"0.31200","0.02529","0.00221"
"0.31800","0.02589","0.00219"
"0.32400","0.02643","0.00220"
"0.33000","0.02702","0.00229"
"0.33600","0.02756","0.00238"
"0.34200","0.02816","0.00250"
"0.34800","0.02870","0.00254"
"0.35400","0.02924","0.00254"
"0.36000","0.02978","0.00255"
"0.36600","0.03031","0.00260"
"0.37200","0.03085","0.00261"
"0.37800","0.03133","0.00266"
"0.38400","0.03187","0.00262"
"0.39000","0.03241","0.00259"
"0.39600","0.03294","0.00254"
"0.40200","0.03348","0.00253"
"0.40800","0.03402","0.00256"
"0.41400","0.03450","0.00261"
