"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
116.85,0.09017,116.922,0.05315,0.03702,"b",0
142.956,0.26021,143.076,0.17423,0.08598,"0",0
144.456,0.19809,144.528,0.15076,0.04733,"0",0
154.866,0.30839,154.932,0.25205,0.05634,"0",0
173.862,0.4845,173.928,0.41219,0.07231,"0",0
174.078,0.41285,174.162,0.11857,0.29428,"0",0
193.746,0.22671,193.806,0.10111,0.1256,"0",0
268.77,0.30895,268.842,0.06914,0.23981,"0",0
268.848,0.07275,268.866,0.06008,0.01267,"0",0
278.922,0.13623,278.964,0.01377,0.12246,"0",0
278.97,0.01398,278.994,0,0.02515,"0",0
