"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","12/18/2016",""
"3",2,"Specimen label","16DG_31",""
"4",3,"Maximum Load","0.03697","N"
"5",4,"Time","Extension","Load"
