"Ptime","Pload","Vtime","Vload"
214.17,0.69719,214.25999,0.59604
228.60001,0.73628,228.69,0.68763
236.166,0.77683,236.226,0.69767
260.51401,0.93404,260.57999,0.72539
266.25,0.756,266.358,0.67177
266.36401,0.67201,266.42401,0.40567
323.30399,1.06474,323.40601,0.89296
337.75201,1.12722,337.82401,1.07791
350.802,1.27251,350.88,1.23789
372.75601,1.63142,372.86401,1.44645
373.04999,1.02557,373.06201,1.01167
373.06799,1.01979,373.086,1.00518
396.58801,1.11815,396.66,0.58493
396.67801,0.60386,396.68399,0.59203
396.76199,0.57571,396.78,0.56303
396.858,0.56406,396.92401,0.40882
410.09399,0.57984,410.16599,0.44462
475.07401,1.35519,475.164,1.31167
487.026,1.51057,487.10999,1.20976
487.70999,1.23271,487.82401,0.55775
