End date,"12/18/2016"
Specimen label,"16DG_31_run2"
Maximum Load,"0.05678",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","39.49153","0.01700"
"1.11000","39.49200","0.01718"
"1.11600","39.49254","0.01710"
"1.12200","39.49302","0.01677"
"1.12800","39.49356","0.01666"
"1.13400","39.49404","0.01670"
"1.14000","39.49451","0.01668"
"1.14600","39.49505","0.01664"
"1.15200","39.49553","0.01671"
"1.15800","39.49601","0.01670"
"1.16400","39.49655","0.01666"
"1.17000","39.49702","0.01675"
"1.17600","39.49756","0.01672"
"1.18200","39.49804","0.01663"
"1.18800","39.49858","0.01655"
"1.19400","39.49906","0.01657"
"1.20000","39.49953","0.01650"
"1.20600","39.50008","0.01646"
"1.21200","39.50055","0.01658"
"1.21800","39.50109","0.01664"
"1.22400","39.50157","0.01675"
"1.23000","39.50205","0.01683"
"1.23600","39.50259","0.01676"
"1.24200","39.50306","0.01674"
"1.24800","39.50354","0.01677"
"1.25400","39.50408","0.01701"
"1.26000","39.50456","0.01714"
"1.26600","39.50510","0.01718"
"1.27200","39.50557","0.01718"
"1.27800","39.50611","0.01727"
"1.28400","39.50659","0.01737"
"1.29000","39.50707","0.01735"
"1.29600","39.50755","0.01728"
"1.30200","39.50809","0.01715"
"1.30800","39.50857","0.01704"
"1.31400","39.50904","0.01689"
"1.32000","39.50958","0.01680"
"1.32600","39.51006","0.01677"
"1.33200","39.51054","0.01679"
"1.33800","39.51108","0.01688"
"1.34400","39.51155","0.01685"
"1.35000","39.51204","0.01693"
"1.35600","39.51257","0.01698"
"1.36200","39.51304","0.01715"
"1.36800","39.51352","0.01723"
"1.37400","39.51406","0.01726"
"1.38000","39.51455","0.01741"
"1.38600","39.51502","0.01749"
"1.39200","39.51556","0.01754"
"1.39800","39.51604","0.01753"
"1.40400","39.51652","0.01743"
"1.41000","39.51706","0.01737"
"1.41600","39.51753","0.01729"
"1.42200","39.51807","0.01727"
"1.42800","39.51855","0.01737"
"1.43400","39.51903","0.01738"
"1.44000","39.51956","0.01722"
"1.44600","39.52004","0.01708"
"1.45200","39.52052","0.01709"
"1.45800","39.52100","0.01700"
"1.46400","39.52153","0.01684"
"1.47000","39.52202","0.01679"
"1.47600","39.52250","0.01676"
"1.48200","39.52304","0.01676"
"1.48800","39.52351","0.01686"
"1.49400","39.52399","0.01707"
"1.50000","39.52453","0.01724"
"1.50600","39.52500","0.01722"
"1.51200","39.52548","0.01730"
"1.51800","39.52602","0.01727"
"1.52400","39.52650","0.01728"
"1.53000","39.52698","0.01736"
"1.53600","39.52751","0.01753"
"1.54200","39.52805","0.01758"
"1.54800","39.52853","0.01754"
"1.55400","39.52901","0.01753"
"1.56000","39.52955","0.01756"
"1.56600","39.53003","0.01756"
"1.57200","39.53051","0.01752"
"1.57800","39.53104","0.01760"
"1.58400","39.53152","0.01763"
"1.59000","39.53200","0.01761"
"1.59600","39.53248","0.01776"
"1.60200","39.53296","0.01788"
"1.60800","39.53349","0.01807"
"1.61400","39.53398","0.01812"
"1.62000","39.53451","0.01807"
"1.62600","39.53499","0.01797"
"1.63200","39.53547","0.01786"
"1.63800","39.53601","0.01772"
"1.64400","39.53649","0.01778"
"1.65000","39.53696","0.01774"
"1.65600","39.53751","0.01748"
"1.66200","39.53798","0.01726"
"1.66800","39.53852","0.01727"
"1.67400","39.53900","0.01734"
"1.68000","39.53953","0.01745"
"1.68600","39.54001","0.01744"
"1.69200","39.54055","0.01735"
"1.69800","39.54103","0.01722"
"1.70400","39.54157","0.01708"
"1.71000","39.54205","0.01702"
"1.71600","39.54258","0.01689"
"1.72200","39.54306","0.01678"
"1.72800","39.54360","0.01670"
"1.73400","39.54408","0.01666"
"1.74000","39.54456","0.01674"
"1.74600","39.54510","0.01683"
"1.75200","39.54557","0.01686"
"1.75800","39.54605","0.01690"
"1.76400","39.54659","0.01707"
"1.77000","39.54707","0.01719"
"1.77600","39.54755","0.01723"
"1.78200","39.54802","0.01734"
"1.78800","39.54856","0.01750"
"1.79400","39.54904","0.01780"
"1.80000","39.54952","0.01798"
"1.80600","39.55000","0.01798"
"1.81200","39.55054","0.01791"
"1.81800","39.55102","0.01781"
"1.82400","39.55155","0.01776"
"1.83000","39.55203","0.01771"
"1.83600","39.55257","0.01759"
"1.84200","39.55305","0.01742"
"1.84800","39.55353","0.01732"
"1.85400","39.55406","0.01731"
