End date,"12/18/2016"
Specimen label,"16CT_28"
Maximum Load,"0.01260",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00002"
"0.00600","0.00000","0.00004"
"0.01200","0.00000","0.00009"
"0.01800","0.00012","0.00007"
"0.02400","0.00018","0.00004"
"0.03000","0.00030","-0.00001"
"0.03600","0.00042","-0.00001"
"0.04200","0.00060","0.00004"
"0.04800","0.00072","0.00013"
"0.05400","0.00102","0.00013"
"0.06000","0.00126","0.00003"
"0.06600","0.00155","0.00002"
"0.07200","0.00191","0.00003"
"0.07800","0.00227","0.00003"
"0.08400","0.00263","0.00003"
"0.09000","0.00305","0.00010"
"0.09600","0.00347","0.00013"
"0.10200","0.00401","0.00008"
"0.10800","0.00448","0.00000"
"0.11400","0.00502","-0.00009"
"0.12000","0.00556","-0.00021"
"0.12600","0.00616","-0.00023"
"0.13200","0.00676","-0.00010"
"0.13800","0.00735","0.00000"
"0.14400","0.00795","0.00006"
"0.15000","0.00861","0.00008"
"0.15600","0.00927","-0.00007"
"0.16200","0.00987","-0.00021"
"0.16800","0.01052","-0.00026"
"0.17400","0.01118","-0.00024"
"0.18000","0.01184","-0.00027"
"0.18600","0.01250","-0.00039"
"0.19200","0.01315","-0.00048"
"0.19800","0.01387","-0.00050"
"0.20400","0.01453","-0.00049"
"0.21000","0.01519","-0.00046"
"0.21600","0.01584","-0.00044"
"0.22200","0.01650","-0.00037"
"0.22800","0.01716","-0.00032"
"0.23400","0.01782","-0.00021"
"0.24000","0.01847","-0.00014"
"0.24600","0.01907","-0.00007"
"0.25200","0.01973","0.00004"
"0.25800","0.02033","0.00010"
"0.26400","0.02099","0.00018"
"0.27000","0.02158","0.00020"
"0.27600","0.02218","0.00018"
"0.28200","0.02284","0.00013"
"0.28800","0.02338","0.00002"
"0.29400","0.02398","-0.00005"
"0.30000","0.02457","-0.00012"
"0.30600","0.02511","-0.00007"
"0.31200","0.02571","0.00002"
"0.31800","0.02625","0.00002"
"0.32400","0.02685","-0.00003"
"0.33000","0.02738","-0.00017"
"0.33600","0.02792","-0.00029"
"0.34200","0.02846","-0.00034"
"0.34800","0.02906","-0.00024"
"0.35400","0.02960","-0.00005"
"0.36000","0.03007","0.00016"
"0.36600","0.03061","0.00027"
"0.37200","0.03115","0.00030"
"0.37800","0.03169","0.00032"
"0.38400","0.03223","0.00035"
"0.39000","0.03270","0.00033"
"0.39600","0.03324","0.00034"
"0.40200","0.03372","0.00031"
"0.40800","0.03426","0.00029"
"0.41400","0.03474","0.00030"
"0.42000","0.03528","0.00038"
"0.42600","0.03575","0.00049"
"0.43200","0.03629","0.00056"
"0.43800","0.03677","0.00057"
"0.44400","0.03725","0.00050"
"0.45000","0.03779","0.00046"
"0.45600","0.03827","0.00041"
"0.46200","0.03874","0.00031"
"0.46800","0.03922","0.00023"
"0.47400","0.03976","0.00018"
"0.48000","0.04024","0.00009"
"0.48600","0.04072","0.00002"
"0.49200","0.04125","0.00003"
"0.49800","0.04173","0.00008"
"0.50400","0.04221","0.00012"
"0.51000","0.04269","0.00008"
"0.51600","0.04323","0.00015"
"0.52200","0.04371","0.00030"
"0.52800","0.04424","0.00040"
"0.53400","0.04472","0.00046"
"0.54000","0.04526","0.00052"
"0.54600","0.04574","0.00060"
"0.55200","0.04628","0.00064"
"0.55800","0.04676","0.00070"
"0.56400","0.04729","0.00076"
"0.57000","0.04777","0.00072"
"0.57600","0.04831","0.00061"
"0.58200","0.04879","0.00049"
"0.58800","0.04927","0.00037"
"0.59400","0.04980","0.00025"
"0.60000","0.05028","0.00020"
"0.60600","0.05076","0.00018"
"0.61200","0.05130","0.00022"
"0.61800","0.05178","0.00032"
"0.62400","0.05226","0.00042"
"0.63000","0.05279","0.00049"
"0.63600","0.05327","0.00057"
"0.64200","0.05381","0.00062"
"0.64800","0.05429","0.00067"
"0.65400","0.05477","0.00069"
"0.66000","0.05525","0.00067"
"0.66600","0.05578","0.00074"
"0.67200","0.05626","0.00094"
"0.67800","0.05674","0.00098"
"0.68400","0.05728","0.00087"
"0.69000","0.05776","0.00066"
"0.69600","0.05824","0.00042"
"0.70200","0.05877","0.00018"
"0.70800","0.05925","0.00007"
"0.71400","0.05979","0.00012"
"0.72000","0.06027","0.00021"
"0.72600","0.06075","0.00027"
"0.73200","0.06128","0.00027"
"0.73800","0.06176","0.00030"
"0.74400","0.06224","0.00027"
"0.75000","0.06278","0.00028"
"0.75600","0.06326","0.00035"
"0.76200","0.06374","0.00044"
"0.76800","0.06421","0.00046"
"0.77400","0.06475","0.00045"
"0.78000","0.06523","0.00039"
"0.78600","0.06571","0.00035"
"0.79200","0.06619","0.00041"
"0.79800","0.06673","0.00043"
"0.80400","0.06720","0.00039"
"0.81000","0.06768","0.00030"
"0.81600","0.06822","0.00021"
"0.82200","0.06870","0.00019"
"0.82800","0.06924","0.00018"
"0.83400","0.06971","0.00022"
"0.84000","0.07019","0.00029"
"0.84600","0.07073","0.00036"
"0.85200","0.07121","0.00043"
"0.85800","0.07175","0.00051"
"0.86400","0.07223","0.00057"
"0.87000","0.07276","0.00066"
"0.87600","0.07324","0.00078"
"0.88200","0.07372","0.00083"
"0.88800","0.07426","0.00067"
"0.89400","0.07474","0.00052"
"0.90000","0.07522","0.00048"
"0.90600","0.07569","0.00053"
"0.91200","0.07617","0.00063"
"0.91800","0.07671","0.00062"
"0.92400","0.07719","0.00052"
"0.93000","0.07773","0.00043"
"0.93600","0.07820","0.00040"
"0.94200","0.07868","0.00040"
"0.94800","0.07922","0.00043"
"0.95400","0.07970","0.00045"
"0.96000","0.08018","0.00044"
"0.96600","0.08072","0.00036"
"0.97200","0.08119","0.00025"
"0.97800","0.08173","0.00028"
"0.98400","0.08221","0.00034"
"0.99000","0.08275","0.00038"
"0.99600","0.08323","0.00032"
"1.00200","0.08377","0.00022"
"1.00800","0.08424","0.00015"
"1.01400","0.08472","0.00014"
"1.02000","0.08526","0.00023"
"1.02600","0.08574","0.00033"
"1.03200","0.08622","0.00044"
"1.03800","0.08669","0.00060"
"1.04400","0.08717","0.00069"
"1.05000","0.08771","0.00068"
"1.05600","0.08819","0.00070"
"1.06200","0.08867","0.00074"
"1.06800","0.08915","0.00071"
"1.07400","0.08968","0.00058"
"1.08000","0.09016","0.00048"
"1.08600","0.09064","0.00049"
"1.09200","0.09118","0.00050"
"1.09800","0.09166","0.00052"
"1.10400","0.09220","0.00054"
"1.11000","0.09267","0.00060"
"1.11600","0.09321","0.00057"
"1.12200","0.09369","0.00044"
"1.12800","0.09423","0.00032"
"1.13400","0.09471","0.00027"
"1.14000","0.09524","0.00036"
"1.14600","0.09572","0.00044"
"1.15200","0.09626","0.00048"
"1.15800","0.09674","0.00043"
"1.16400","0.09722","0.00034"
"1.17000","0.09776","0.00033"
"1.17600","0.09823","0.00024"
"1.18200","0.09871","0.00024"
"1.18800","0.09925","0.00042"
"1.19400","0.09973","0.00046"
"1.20000","0.10021","0.00038"
"1.20600","0.10075","0.00037"
"1.21200","0.10122","0.00037"
"1.21800","0.10170","0.00036"
"1.22400","0.10224","0.00037"
"1.23000","0.10272","0.00035"
"1.23600","0.10320","0.00033"
"1.24200","0.10373","0.00039"
"1.24800","0.10421","0.00048"
"1.25400","0.10469","0.00058"
"1.26000","0.10523","0.00059"
"1.26600","0.10571","0.00065"
"1.27200","0.10625","0.00076"
"1.27800","0.10672","0.00079"
"1.28400","0.10726","0.00079"
"1.29000","0.10780","0.00084"
"1.29600","0.10828","0.00090"
"1.30200","0.10876","0.00090"
"1.30800","0.10930","0.00085"
"1.31400","0.10977","0.00078"
"1.32000","0.11025","0.00071"
"1.32600","0.11073","0.00060"
"1.33200","0.11127","0.00056"
"1.33800","0.11175","0.00065"
