End date,"12/18/2016"
Specimen label,"16BG_30"
Maximum Load,"0.63762",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00041"
"0.00600","0.00000","0.00037"
"0.01200","0.00006","0.00031"
"0.01800","0.00012","0.00028"
"0.02400","0.00018","0.00018"
"0.03000","0.00030","0.00012"
"0.03600","0.00042","0.00012"
"0.04200","0.00060","0.00012"
"0.04800","0.00078","0.00016"
"0.05400","0.00102","0.00033"
"0.06000","0.00126","0.00038"
"0.06600","0.00149","0.00033"
"0.07200","0.00167","0.00016"
"0.07800","0.00203","0.00016"
"0.08400","0.00239","0.00028"
"0.09000","0.00275","0.00040"
"0.09600","0.00311","0.00064"
"0.10200","0.00353","0.00095"
"0.10800","0.00395","0.00117"
"0.11400","0.00442","0.00120"
"0.12000","0.00490","0.00125"
"0.12600","0.00544","0.00135"
"0.13200","0.00598","0.00155"
"0.13800","0.00652","0.00165"
"0.14400","0.00711","0.00171"
"0.15000","0.00771","0.00183"
"0.15600","0.00837","0.00173"
"0.16200","0.00903","0.00165"
"0.16800","0.00963","0.00167"
"0.17400","0.01028","0.00180"
"0.18000","0.01100","0.00196"
"0.18600","0.01166","0.00217"
"0.19200","0.01232","0.00239"
"0.19800","0.01303","0.00257"
"0.20400","0.01375","0.00282"
"0.21000","0.01441","0.00313"
"0.21600","0.01513","0.00338"
"0.22200","0.01578","0.00356"
"0.22800","0.01644","0.00372"
"0.23400","0.01716","0.00387"
"0.24000","0.01782","0.00404"
"0.24600","0.01847","0.00406"
"0.25200","0.01913","0.00403"
"0.25800","0.01979","0.00403"
"0.26400","0.02045","0.00398"
"0.27000","0.02105","0.00396"
"0.27600","0.02170","0.00403"
"0.28200","0.02236","0.00417"
"0.28800","0.02296","0.00427"
"0.29400","0.02356","0.00439"
"0.30000","0.02421","0.00452"
"0.30600","0.02481","0.00475"
"0.31200","0.02541","0.00492"
"0.31800","0.02601","0.00514"
"0.32400","0.02661","0.00543"
"0.33000","0.02720","0.00560"
"0.33600","0.02780","0.00563"
"0.34200","0.02834","0.00562"
"0.34800","0.02888","0.00569"
"0.35400","0.02942","0.00571"
"0.36000","0.02995","0.00574"
"0.36600","0.03049","0.00575"
"0.37200","0.03103","0.00582"
"0.37800","0.03157","0.00594"
"0.38400","0.03211","0.00593"
"0.39000","0.03265","0.00597"
"0.39600","0.03318","0.00605"
"0.40200","0.03372","0.00616"
"0.40800","0.03420","0.00637"
"0.41400","0.03474","0.00652"
"0.42000","0.03528","0.00655"
"0.42600","0.03575","0.00652"
"0.43200","0.03629","0.00647"
"0.43800","0.03683","0.00640"
"0.44400","0.03731","0.00637"
"0.45000","0.03785","0.00631"
"0.45600","0.03838","0.00640"
"0.46200","0.03886","0.00656"
"0.46800","0.03934","0.00664"
"0.47400","0.03988","0.00670"
"0.48000","0.04036","0.00677"
"0.48600","0.04084","0.00691"
"0.49200","0.04131","0.00710"
"0.49800","0.04179","0.00714"
"0.50400","0.04233","0.00717"
"0.51000","0.04281","0.00718"
"0.51600","0.04329","0.00723"
"0.52200","0.04377","0.00722"
"0.52800","0.04430","0.00718"
"0.53400","0.04478","0.00721"
"0.54000","0.04526","0.00730"
"0.54600","0.04580","0.00747"
"0.55200","0.04628","0.00752"
"0.55800","0.04676","0.00759"
"0.56400","0.04729","0.00752"
"0.57000","0.04777","0.00747"
"0.57600","0.04831","0.00747"
"0.58200","0.04879","0.00748"
"0.58800","0.04927","0.00755"
"0.59400","0.04980","0.00762"
"0.60000","0.05028","0.00768"
"0.60600","0.05076","0.00779"
"0.61200","0.05124","0.00793"
"0.61800","0.05178","0.00806"
"0.62400","0.05226","0.00830"
"0.63000","0.05273","0.00838"
"0.63600","0.05321","0.00837"
"0.64200","0.05369","0.00841"
"0.64800","0.05417","0.00841"
"0.65400","0.05471","0.00842"
"0.66000","0.05519","0.00848"
"0.66600","0.05566","0.00850"
