End date,"1/22/2017"
Specimen label,"18BG_46"
Maximum Load,"0.05879",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00024"
"0.00600","0.00006","-0.00010"
"0.01200","0.00006","-0.00005"
"0.01800","0.00012","-0.00012"
"0.02400","0.00018","-0.00017"
"0.03000","0.00030","-0.00016"
"0.03600","0.00042","-0.00014"
"0.04200","0.00060","0.00000"
"0.04800","0.00078","0.00014"
"0.05400","0.00102","0.00026"
"0.06000","0.00126","0.00037"
"0.06600","0.00155","0.00048"
"0.07200","0.00185","0.00053"
"0.07800","0.00221","0.00061"
"0.08400","0.00257","0.00060"
"0.09000","0.00299","0.00061"
"0.09600","0.00347","0.00075"
"0.10200","0.00395","0.00082"
"0.10800","0.00442","0.00081"
"0.11400","0.00496","0.00077"
"0.12000","0.00556","0.00088"
"0.12600","0.00610","0.00097"
"0.13200","0.00664","0.00098"
"0.13800","0.00723","0.00096"
"0.14400","0.00789","0.00100"
"0.15000","0.00849","0.00105"
"0.15600","0.00915","0.00099"
"0.16200","0.00975","0.00098"
"0.16800","0.01040","0.00108"
"0.17400","0.01106","0.00122"
"0.18000","0.01172","0.00117"
"0.18600","0.01244","0.00110"
"0.19200","0.01309","0.00112"
"0.19800","0.01375","0.00113"
"0.20400","0.01441","0.00116"
"0.21000","0.01507","0.00127"
"0.21600","0.01572","0.00132"
"0.22200","0.01638","0.00131"
"0.22800","0.01710","0.00126"
"0.23400","0.01776","0.00116"
"0.24000","0.01842","0.00105"
"0.24600","0.01907","0.00094"
"0.25200","0.01967","0.00069"
"0.25800","0.02033","0.00060"
"0.26400","0.02093","0.00064"
"0.27000","0.02152","0.00065"
"0.27600","0.02212","0.00081"
"0.28200","0.02272","0.00100"
"0.28800","0.02332","0.00117"
"0.29400","0.02392","0.00131"
"0.30000","0.02451","0.00150"
"0.30600","0.02511","0.00170"
"0.31200","0.02565","0.00187"
"0.31800","0.02625","0.00184"
"0.32400","0.02679","0.00166"
"0.33000","0.02732","0.00143"
"0.33600","0.02792","0.00125"
"0.34200","0.02846","0.00116"
"0.34800","0.02906","0.00107"
"0.35400","0.02960","0.00115"
"0.36000","0.03013","0.00122"
"0.36600","0.03067","0.00126"
"0.37200","0.03121","0.00137"
"0.37800","0.03175","0.00152"
"0.38400","0.03223","0.00163"
"0.39000","0.03270","0.00176"
"0.39600","0.03324","0.00177"
"0.40200","0.03372","0.00177"
"0.40800","0.03426","0.00176"
"0.41400","0.03474","0.00170"
"0.42000","0.03528","0.00155"
"0.42600","0.03575","0.00146"
"0.43200","0.03629","0.00142"
"0.43800","0.03677","0.00140"
"0.44400","0.03731","0.00147"
"0.45000","0.03779","0.00153"
"0.45600","0.03833","0.00162"
"0.46200","0.03880","0.00171"
"0.46800","0.03928","0.00172"
"0.47400","0.03982","0.00165"
"0.48000","0.04030","0.00153"
"0.48600","0.04078","0.00144"
"0.49200","0.04131","0.00149"
"0.49800","0.04179","0.00180"
"0.50400","0.04227","0.00197"
"0.51000","0.04275","0.00205"
"0.51600","0.04329","0.00219"
"0.52200","0.04377","0.00229"
"0.52800","0.04424","0.00229"
"0.53400","0.04472","0.00238"
"0.54000","0.04526","0.00250"
"0.54600","0.04574","0.00255"
"0.55200","0.04622","0.00261"
"0.55800","0.04670","0.00275"
"0.56400","0.04723","0.00283"
"0.57000","0.04771","0.00277"
"0.57600","0.04819","0.00277"
"0.58200","0.04867","0.00296"
"0.58800","0.04921","0.00307"
"0.59400","0.04969","0.00308"
"0.60000","0.05016","0.00306"
"0.60600","0.05064","0.00304"
"0.61200","0.05118","0.00298"
"0.61800","0.05166","0.00293"
"0.62400","0.05214","0.00287"
"0.63000","0.05267","0.00292"
"0.63600","0.05315","0.00306"
"0.64200","0.05363","0.00317"
"0.64800","0.05417","0.00325"
"0.65400","0.05465","0.00327"
"0.66000","0.05519","0.00331"
"0.66600","0.05566","0.00334"
"0.67200","0.05614","0.00348"
"0.67800","0.05662","0.00375"
"0.68400","0.05716","0.00397"
"0.69000","0.05764","0.00412"
"0.69600","0.05812","0.00419"
"0.70200","0.05865","0.00416"
"0.70800","0.05913","0.00411"
"0.71400","0.05961","0.00406"
"0.72000","0.06015","0.00408"
"0.72600","0.06063","0.00412"
"0.73200","0.06110","0.00425"
"0.73800","0.06164","0.00446"
"0.74400","0.06212","0.00468"
"0.75000","0.06266","0.00476"
"0.75600","0.06314","0.00470"
"0.76200","0.06362","0.00461"
"0.76800","0.06415","0.00443"
"0.77400","0.06463","0.00431"
"0.78000","0.06517","0.00430"
"0.78600","0.06571","0.00427"
"0.79200","0.06619","0.00423"
"0.79800","0.06673","0.00418"
"0.80400","0.06720","0.00407"
