End date,"1/22/2017"
Specimen label,"18BG_46 run 2"
Maximum Load,"0.06005",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","29.48927","0.04583"
"1.11000","29.48975","0.04575"
"1.11600","29.49023","0.04568"
"1.12200","29.49077","0.04573"
"1.12800","29.49125","0.04581"
"1.13400","29.49173","0.04590"
"1.14000","29.49226","0.04601"
"1.14600","29.49274","0.04614"
"1.15200","29.49328","0.04622"
"1.15800","29.49376","0.04618"
"1.16400","29.49424","0.04615"
"1.17000","29.49477","0.04619"
"1.17600","29.49525","0.04628"
"1.18200","29.49573","0.04634"
"1.18800","29.49627","0.04639"
"1.19400","29.49675","0.04642"
"1.20000","29.49723","0.04628"
"1.20600","29.49776","0.04615"
"1.21200","29.49824","0.04617"
"1.21800","29.49872","0.04627"
"1.22400","29.49926","0.04639"
"1.23000","29.49974","0.04653"
"1.23600","29.50028","0.04661"
"1.24200","29.50075","0.04667"
"1.24800","29.50123","0.04661"
"1.25400","29.50171","0.04659"
"1.26000","29.50225","0.04658"
"1.26600","29.50273","0.04653"
"1.27200","29.50320","0.04641"
"1.27800","29.50368","0.04636"
"1.28400","29.50422","0.04642"
"1.29000","29.50470","0.04645"
"1.29600","29.50518","0.04642"
"1.30200","29.50572","0.04644"
"1.30800","29.50620","0.04641"
"1.31400","29.50667","0.04631"
"1.32000","29.50721","0.04625"
"1.32600","29.50769","0.04617"
"1.33200","29.50817","0.04605"
"1.33800","29.50871","0.04598"
"1.34400","29.50918","0.04595"
"1.35000","29.50966","0.04597"
"1.35600","29.51020","0.04594"
"1.36200","29.51068","0.04595"
"1.36800","29.51116","0.04619"
"1.37400","29.51170","0.04642"
"1.38000","29.51217","0.04654"
"1.38600","29.51265","0.04661"
"1.39200","29.51319","0.04665"
"1.39800","29.51367","0.04661"
"1.40400","29.51415","0.04649"
"1.41000","29.51463","0.04632"
"1.41600","29.51516","0.04621"
"1.42200","29.51564","0.04630"
"1.42800","29.51618","0.04654"
"1.43400","29.51666","0.04674"
"1.44000","29.51714","0.04682"
"1.44600","29.51767","0.04676"
"1.45200","29.51815","0.04664"
"1.45800","29.51869","0.04650"
"1.46400","29.51917","0.04646"
"1.47000","29.51965","0.04652"
"1.47600","29.52019","0.04664"
"1.48200","29.52066","0.04660"
"1.48800","29.52114","0.04671"
"1.49400","29.52168","0.04677"
"1.50000","29.52216","0.04680"
"1.50600","29.52270","0.04674"
"1.51200","29.52318","0.04672"
"1.51800","29.52371","0.04680"
"1.52400","29.52419","0.04685"
"1.53000","29.52467","0.04694"
"1.53600","29.52521","0.04704"
"1.54200","29.52569","0.04704"
"1.54800","29.52617","0.04696"
"1.55400","29.52670","0.04691"
"1.56000","29.52718","0.04675"
"1.56600","29.52766","0.04660"
"1.57200","29.52820","0.04649"
"1.57800","29.52874","0.04651"
"1.58400","29.52921","0.04649"
"1.59000","29.52975","0.04657"
"1.59600","29.53023","0.04675"
"1.60200","29.53077","0.04682"
"1.60800","29.53125","0.04683"
"1.61400","29.53173","0.04691"
"1.62000","29.53226","0.04702"
"1.62600","29.53274","0.04707"
"1.63200","29.53328","0.04710"
"1.63800","29.53376","0.04710"
"1.64400","29.53430","0.04707"
"1.65000","29.53477","0.04703"
"1.65600","29.53525","0.04707"
"1.66200","29.53579","0.04709"
"1.66800","29.53627","0.04704"
"1.67400","29.53675","0.04703"
"1.68000","29.53723","0.04706"
"1.68600","29.53771","0.04713"
"1.69200","29.53818","0.04718"
"1.69800","29.53872","0.04708"
"1.70400","29.53920","0.04713"
"1.71000","29.53968","0.04728"
"1.71600","29.54021","0.04742"
"1.72200","29.54070","0.04756"
"1.72800","29.54123","0.04768"
"1.73400","29.54171","0.04761"
"1.74000","29.54225","0.04751"
"1.74600","29.54272","0.04745"
