End date,"12/26/2016"
Specimen label,"22AG_78"
Maximum Load,"0.48193",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00007"
"0.00600","0.00000","0.00014"
"0.01200","0.00000","0.00003"
"0.01800","0.00012","0.00004"
"0.02400","0.00024","0.00008"
"0.03000","0.00036","0.00020"
"0.03600","0.00054","0.00030"
"0.04200","0.00072","0.00026"
"0.04800","0.00096","0.00032"
"0.05400","0.00120","0.00037"
"0.06000","0.00143","0.00017"
"0.06600","0.00179","0.00002"
"0.07200","0.00215","-0.00017"
"0.07800","0.00251","-0.00031"
"0.08400","0.00287","-0.00028"
"0.09000","0.00329","-0.00026"
"0.09600","0.00371","-0.00024"
"0.10200","0.00425","-0.00018"
"0.10800","0.00478","-0.00010"
"0.11400","0.00526","-0.00001"
"0.12000","0.00586","0.00004"
"0.12600","0.00646","-0.00002"
"0.13200","0.00706","-0.00002"
"0.13800","0.00765","0.00001"
"0.14400","0.00825","-0.00006"
"0.15000","0.00891","0.00000"
"0.15600","0.00951","0.00006"
"0.16200","0.01016","-0.00002"
"0.16800","0.01082","0.00000"
"0.17400","0.01142","0.00010"
"0.18000","0.01208","0.00022"
"0.18600","0.01274","0.00036"
"0.19200","0.01339","0.00030"
"0.19800","0.01399","0.00032"
"0.20400","0.01465","0.00034"
"0.21000","0.01531","0.00028"
"0.21600","0.01596","0.00026"
"0.22200","0.01662","0.00026"
"0.22800","0.01722","0.00022"
"0.23400","0.01788","0.00021"
"0.24000","0.01853","0.00007"
"0.24600","0.01913","-0.00018"
"0.25200","0.01979","-0.00030"
"0.25800","0.02039","-0.00033"
"0.26400","0.02099","-0.00022"
"0.27000","0.02158","0.00003"
"0.27600","0.02218","0.00012"
"0.28200","0.02278","0.00032"
"0.28800","0.02332","0.00049"
"0.29400","0.02392","0.00046"
"0.30000","0.02445","0.00049"
"0.30600","0.02505","0.00060"
"0.31200","0.02559","0.00064"
"0.31800","0.02619","0.00066"
"0.32400","0.02673","0.00061"
"0.33000","0.02726","0.00063"
"0.33600","0.02786","0.00056"
"0.34200","0.02840","0.00034"
"0.34800","0.02894","0.00024"
"0.35400","0.02942","0.00018"
"0.36000","0.02995","0.00022"
"0.36600","0.03049","0.00036"
"0.37200","0.03103","0.00049"
"0.37800","0.03157","0.00055"
"0.38400","0.03211","0.00063"
"0.39000","0.03259","0.00063"
"0.39600","0.03312","0.00053"
"0.40200","0.03360","0.00054"
"0.40800","0.03414","0.00047"
"0.41400","0.03462","0.00042"
"0.42000","0.03516","0.00044"
"0.42600","0.03563","0.00036"
"0.43200","0.03617","0.00035"
"0.43800","0.03665","0.00041"
"0.44400","0.03719","0.00043"
"0.45000","0.03767","0.00043"
"0.45600","0.03821","0.00034"
"0.46200","0.03868","0.00026"
"0.46800","0.03922","0.00032"
"0.47400","0.03970","0.00043"
"0.48000","0.04018","0.00060"
"0.48600","0.04072","0.00075"
"0.49200","0.04119","0.00072"
"0.49800","0.04167","0.00080"
"0.50400","0.04221","0.00087"
"0.51000","0.04269","0.00095"
"0.51600","0.04317","0.00112"
"0.52200","0.04371","0.00112"
"0.52800","0.04418","0.00097"
"0.53400","0.04466","0.00080"
"0.54000","0.04520","0.00058"
"0.54600","0.04568","0.00049"
"0.55200","0.04622","0.00054"
"0.55800","0.04670","0.00055"
"0.56400","0.04723","0.00056"
"0.57000","0.04771","0.00057"
"0.57600","0.04819","0.00050"
"0.58200","0.04867","0.00050"
"0.58800","0.04921","0.00052"
"0.59400","0.04969","0.00047"
"0.60000","0.05016","0.00047"
"0.60600","0.05064","0.00049"
"0.61200","0.05118","0.00055"
"0.61800","0.05166","0.00069"
"0.62400","0.05220","0.00079"
"0.63000","0.05267","0.00073"
"0.63600","0.05315","0.00058"
"0.64200","0.05369","0.00033"
"0.64800","0.05417","0.00021"
"0.65400","0.05465","0.00038"
"0.66000","0.05513","0.00047"
"0.66600","0.05566","0.00063"
"0.67200","0.05614","0.00077"
"0.67800","0.05662","0.00075"
"0.68400","0.05716","0.00082"
"0.69000","0.05764","0.00090"
"0.69600","0.05812","0.00088"
"0.70200","0.05865","0.00090"
"0.70800","0.05913","0.00082"
"0.71400","0.05961","0.00074"
"0.72000","0.06009","0.00073"
"0.72600","0.06063","0.00071"
"0.73200","0.06110","0.00084"
"0.73800","0.06158","0.00096"
"0.74400","0.06212","0.00080"
"0.75000","0.06260","0.00077"
"0.75600","0.06314","0.00079"
"0.76200","0.06362","0.00067"
"0.76800","0.06409","0.00069"
"0.77400","0.06457","0.00071"
"0.78000","0.06511","0.00069"
"0.78600","0.06559","0.00065"
"0.79200","0.06607","0.00063"
"0.79800","0.06661","0.00067"
"0.80400","0.06708","0.00079"
"0.81000","0.06762","0.00081"
"0.81600","0.06810","0.00075"
"0.82200","0.06864","0.00064"
"0.82800","0.06912","0.00053"
"0.83400","0.06960","0.00051"
"0.84000","0.07013","0.00052"
"0.84600","0.07061","0.00045"
"0.85200","0.07109","0.00044"
"0.85800","0.07163","0.00040"
"0.86400","0.07211","0.00034"
"0.87000","0.07258","0.00032"
"0.87600","0.07312","0.00028"
"0.88200","0.07360","0.00033"
"0.88800","0.07408","0.00052"
"0.89400","0.07462","0.00059"
"0.90000","0.07510","0.00061"
"0.90600","0.07557","0.00060"
"0.91200","0.07605","0.00053"
"0.91800","0.07659","0.00043"
"0.92400","0.07707","0.00044"
"0.93000","0.07761","0.00044"
"0.93600","0.07809","0.00050"
"0.94200","0.07856","0.00055"
"0.94800","0.07910","0.00061"
"0.95400","0.07958","0.00065"
"0.96000","0.08012","0.00069"
"0.96600","0.08066","0.00083"
"0.97200","0.08113","0.00100"
"0.97800","0.08161","0.00095"
"0.98400","0.08215","0.00088"
"0.99000","0.08263","0.00088"
"0.99600","0.08311","0.00085"
"1.00200","0.08359","0.00092"
"1.00800","0.08412","0.00097"
"1.01400","0.08460","0.00092"
"1.02000","0.08508","0.00086"
"1.02600","0.08556","0.00078"
"1.03200","0.08610","0.00086"
"1.03800","0.08658","0.00087"
"1.04400","0.08711","0.00078"
"1.05000","0.08759","0.00078"
"1.05600","0.08813","0.00073"
"1.06200","0.08861","0.00068"
"1.06800","0.08915","0.00070"
"1.07400","0.08962","0.00078"
"1.08000","0.09016","0.00087"
"1.08600","0.09064","0.00097"
"1.09200","0.09118","0.00087"
"1.09800","0.09172","0.00077"
"1.10400","0.09220","0.00078"
"1.11000","0.09273","0.00068"
"1.11600","0.09321","0.00067"
"1.12200","0.09375","0.00073"
"1.12800","0.09423","0.00076"
"1.13400","0.09471","0.00075"
"1.14000","0.09518","0.00082"
"1.14600","0.09566","0.00090"
"1.15200","0.09620","0.00103"
"1.15800","0.09668","0.00113"
"1.16400","0.09716","0.00116"
"1.17000","0.09764","0.00129"
"1.17600","0.09817","0.00138"
"1.18200","0.09865","0.00133"
"1.18800","0.09919","0.00125"
"1.19400","0.09967","0.00106"
"1.20000","0.10015","0.00102"
"1.20600","0.10069","0.00103"
"1.21200","0.10116","0.00100"
"1.21800","0.10170","0.00104"
"1.22400","0.10218","0.00104"
"1.23000","0.10266","0.00095"
"1.23600","0.10320","0.00084"
"1.24200","0.10368","0.00068"
"1.24800","0.10421","0.00066"
"1.25400","0.10469","0.00068"
"1.26000","0.10517","0.00065"
"1.26600","0.10565","0.00072"
"1.27200","0.10613","0.00092"
"1.27800","0.10666","0.00093"
"1.28400","0.10714","0.00097"
"1.29000","0.10762","0.00105"
"1.29600","0.10810","0.00101"
"1.30200","0.10864","0.00100"
"1.30800","0.10912","0.00082"
"1.31400","0.10959","0.00080"
"1.32000","0.11013","0.00093"
"1.32600","0.11061","0.00095"
"1.33200","0.11109","0.00095"
"1.33800","0.11163","0.00095"
"1.34400","0.11211","0.00085"
"1.35000","0.11258","0.00081"
"1.35600","0.11312","0.00079"
"1.36200","0.11360","0.00072"
"1.36800","0.11408","0.00079"
"1.37400","0.11462","0.00089"
"1.38000","0.11509","0.00099"
"1.38600","0.11563","0.00100"
"1.39200","0.11611","0.00088"
"1.39800","0.11659","0.00080"
"1.40400","0.11713","0.00086"
"1.41000","0.11761","0.00089"
"1.41600","0.11808","0.00094"
"1.42200","0.11862","0.00093"
"1.42800","0.11910","0.00082"
"1.43400","0.11958","0.00087"
"1.44000","0.12012","0.00098"
"1.44600","0.12060","0.00110"
"1.45200","0.12107","0.00110"
"1.45800","0.12161","0.00112"
"1.46400","0.12209","0.00126"
"1.47000","0.12263","0.00152"
"1.47600","0.12311","0.00167"
"1.48200","0.12358","0.00177"
"1.48800","0.12412","0.00168"
"1.49400","0.12460","0.00135"
"1.50000","0.12508","0.00107"
"1.50600","0.12562","0.00100"
"1.51200","0.12610","0.00089"
"1.51800","0.12663","0.00088"
"1.52400","0.12711","0.00088"
"1.53000","0.12759","0.00085"
"1.53600","0.12813","0.00084"
"1.54200","0.12861","0.00079"
"1.54800","0.12915","0.00085"
"1.55400","0.12962","0.00100"
"1.56000","0.13010","0.00110"
"1.56600","0.13064","0.00117"
"1.57200","0.13112","0.00116"
"1.57800","0.13160","0.00114"
"1.58400","0.13213","0.00120"
"1.59000","0.13261","0.00120"
"1.59600","0.13315","0.00116"
"1.60200","0.13363","0.00125"
"1.60800","0.13417","0.00119"
"1.61400","0.13465","0.00120"
"1.62000","0.13512","0.00127"
"1.62600","0.13566","0.00129"
"1.63200","0.13614","0.00140"
"1.63800","0.13662","0.00153"
"1.64400","0.13716","0.00150"
"1.65000","0.13764","0.00148"
"1.65600","0.13817","0.00150"
"1.66200","0.13865","0.00153"
"1.66800","0.13913","0.00164"
"1.67400","0.13967","0.00159"
"1.68000","0.14015","0.00159"
"1.68600","0.14062","0.00157"
"1.69200","0.14116","0.00133"
"1.69800","0.14164","0.00127"
"1.70400","0.14212","0.00130"
"1.71000","0.14266","0.00123"
"1.71600","0.14314","0.00115"
"1.72200","0.14361","0.00109"
"1.72800","0.14415","0.00091"
"1.73400","0.14463","0.00078"
"1.74000","0.14517","0.00073"
"1.74600","0.14565","0.00065"
"1.75200","0.14619","0.00071"
"1.75800","0.14666","0.00075"
"1.76400","0.14720","0.00082"
"1.77000","0.14768","0.00095"
"1.77600","0.14816","0.00093"
"1.78200","0.14870","0.00093"
"1.78800","0.14917","0.00086"
"1.79400","0.14965","0.00068"
"1.80000","0.15013","0.00062"
"1.80600","0.15061","0.00061"
"1.81200","0.15115","0.00058"
"1.81800","0.15163","0.00069"
"1.82400","0.15216","0.00069"
"1.83000","0.15264","0.00083"
"1.83600","0.15312","0.00102"
"1.84200","0.15366","0.00117"
"1.84800","0.15414","0.00123"
"1.85400","0.15462","0.00120"
"1.86000","0.15515","0.00120"
"1.86600","0.15563","0.00130"
"1.87200","0.15611","0.00142"
"1.87800","0.15659","0.00136"
"1.88400","0.15713","0.00135"
"1.89000","0.15761","0.00138"
"1.89600","0.15808","0.00137"
"1.90200","0.15862","0.00133"
"1.90800","0.15910","0.00119"
"1.91400","0.15958","0.00109"
"1.92000","0.16012","0.00100"
"1.92600","0.16059","0.00071"
"1.93200","0.16107","0.00063"
"1.93800","0.16161","0.00066"
"1.94400","0.16209","0.00075"
"1.95000","0.16257","0.00097"
"1.95600","0.16311","0.00121"
"1.96200","0.16358","0.00125"
"1.96800","0.16406","0.00134"
"1.97400","0.16460","0.00140"
"1.98000","0.16508","0.00143"
"1.98600","0.16556","0.00153"
"1.99200","0.16610","0.00149"
"1.99800","0.16657","0.00134"
"2.00400","0.16711","0.00134"
"2.01000","0.16759","0.00130"
"2.01600","0.16813","0.00140"
"2.02200","0.16861","0.00145"
"2.02800","0.16908","0.00140"
"2.03400","0.16962","0.00112"
"2.04000","0.17010","0.00090"
"2.04600","0.17064","0.00083"
"2.05200","0.17112","0.00092"
"2.05800","0.17160","0.00100"
"2.06400","0.17213","0.00114"
"2.07000","0.17261","0.00133"
"2.07600","0.17315","0.00135"
"2.08200","0.17363","0.00151"
"2.08800","0.17411","0.00170"
"2.09400","0.17465","0.00166"
"2.10000","0.17512","0.00160"
"2.10600","0.17566","0.00169"
"2.11200","0.17614","0.00165"
"2.11800","0.17668","0.00158"
"2.12400","0.17716","0.00150"
"2.13000","0.17769","0.00154"
"2.13600","0.17817","0.00162"
"2.14200","0.17865","0.00159"
"2.14800","0.17919","0.00156"
"2.15400","0.17967","0.00162"
"2.16000","0.18015","0.00160"
"2.16600","0.18068","0.00169"
"2.17200","0.18116","0.00183"
"2.17800","0.18164","0.00189"
"2.18400","0.18218","0.00186"
"2.19000","0.18266","0.00167"
"2.19600","0.18314","0.00147"
"2.20200","0.18367","0.00143"
"2.20800","0.18415","0.00136"
"2.21400","0.18463","0.00122"
"2.22000","0.18511","0.00112"
"2.22600","0.18565","0.00098"
"2.23200","0.18612","0.00087"
"2.23800","0.18666","0.00084"
"2.24400","0.18714","0.00077"
"2.25000","0.18768","0.00078"
"2.25600","0.18816","0.00085"
"2.26200","0.18870","0.00081"
"2.26800","0.18917","0.00092"
"2.27400","0.18965","0.00105"
"2.28000","0.19019","0.00122"
"2.28600","0.19067","0.00125"
"2.29200","0.19115","0.00110"
"2.29800","0.19163","0.00099"
"2.30400","0.19216","0.00114"
"2.31000","0.19264","0.00129"
"2.31600","0.19312","0.00144"
"2.32200","0.19366","0.00160"
"2.32800","0.19414","0.00159"
"2.33400","0.19467","0.00154"
"2.34000","0.19515","0.00151"
"2.34600","0.19563","0.00154"
"2.35200","0.19617","0.00152"
"2.35800","0.19665","0.00147"
"2.36400","0.19713","0.00138"
"2.37000","0.19766","0.00150"
"2.37600","0.19814","0.00153"
"2.38200","0.19868","0.00154"
"2.38800","0.19916","0.00154"
"2.39400","0.19970","0.00137"
"2.40000","0.20018","0.00133"
"2.40600","0.20071","0.00134"
"2.41200","0.20119","0.00117"
